Row.names	SAMN14088077	SAMN14088076	SAMN14088075	median_TPM	gene_id.84	gene_type.84	chr	start	stop	loc.84	gene_name.107	gene_type.107	chr.107	start.107	stop.107	loc.107	gene_id.107
AATF	60.7775	62.1576	64.1098	62.1576	ENSG00000275700	protein_coding	chr17	36948875	37056871	chr17:36948875	AATF	protein_coding	chr17	36948925	37056871	chr17:36948925	ENSG00000275700
ABALON	1.67306	1.14065	1.46621	1.46621	ENSG00000281376	antisense	chr20	31721507	31723409	chr20:31721507	ABALON	lncRNA	chr20	31721507	31723409	chr20:31721507	ENSG00000281376
ABAT	2.419564	2.44433	2.512805	2.44433	ENSG00000183044	protein_coding	chr16	8674565	8784575	chr16:8674565	ABAT	protein_coding	chr16	8674596	8784575	chr16:8674596	ENSG00000183044
ABC7-42404400C24.1	1.243478	1.172672	1.014476	1.172672	ENSG00000277758	protein_coding	chr10	47750864	47763592	chr10:47750864	SYT15B	protein_coding	chr10	47744717	47763592	chr10:47744717	ENSG00000277758
ABCA2	5.379127621589	5.0690953319132	5.434030675	5.379127621589	ENSG00000107331	protein_coding	chr9	137007227	137028922	chr9:137007227	ABCA2	protein_coding	chr9	137007234	137028915	chr9:137007234	ENSG00000107331
ABCA3	16.724705	16.18807	15.582379	16.18807	ENSG00000167972	protein_coding	chr16	2275881	2340746	chr16:2275881	ABCA3	protein_coding	chr16	2275881	2340746	chr16:2275881	ENSG00000167972
ABCA5	5.417223	5.238228	5.740988	5.417223	ENSG00000154265	protein_coding	chr17	69244311	69327244	chr17:69244311	ABCA5	protein_coding	chr17	69244311	69327244	chr17:69244311	ENSG00000154265
ABCA7	2.724307	2.4335811	2.636807	2.636807	ENSG00000064687	protein_coding	chr19	1040101	1065572	chr19:1040101	ABCA7	protein_coding	chr19	1039997	1065572	chr19:1039997	ENSG00000064687
ABCB1	5.500751528	5.439366	5.52083	5.500751528	ENSG00000085563	protein_coding	chr7	87503633	87713323	chr7:87503633	ABCB1	protein_coding	chr7	87503017	87713323	chr7:87503017	ENSG00000085563
ABCB10	47.841	46.0419	46.5006	46.5006	ENSG00000135776	protein_coding	chr1	229516582	229558695	chr1:229516582	ABCB10	protein_coding	chr1	229516582	229558707	chr1:229516582	ENSG00000135776
ABCB6	5.01314	5.05946	4.676	5.01314	ENSG00000115657	protein_coding	chr2	219209768	219218990	chr2:219209768	ABCB6	protein_coding	chr2	219209772	219218994	chr2:219209772	ENSG00000115657
ABCB7	41.78714	44.19329	40.91174	41.78714	ENSG00000131269	protein_coding	chrX	75053172	75156732	chrX:75053172	ABCB7	protein_coding	chrX	75051048	75156732	chrX:75051048	ENSG00000131269
ABCB8	14.39314041	14.344051153209	15.704803	14.39314041	ENSG00000197150	protein_coding	chr7	151028422	151047782	chr7:151028422	ABCB8	protein_coding	chr7	151028422	151047782	chr7:151028422	ENSG00000197150
ABCB9	3.931863	4.0343540158	4.062116	4.0343540158	ENSG00000150967	protein_coding	chr12	122920951	122981649	chr12:122920951	ABCB9	protein_coding	chr12	122920951	122981649	chr12:122920951	ENSG00000150967
ABCC1	15.2906000303767	15.701000168361	15.772300401889	15.701000168361	ENSG00000103222	protein_coding	chr16	15949577	16143074	chr16:15949577	ABCC1	protein_coding	chr16	15949138	16143257	chr16:15949138	ENSG00000103222
ABCC10	5.412964	5.477583	5.709194	5.477583	ENSG00000124574	protein_coding	chr6	43427366	43450430	chr6:43427366	ABCC10	protein_coding	chr6	43427366	43450427	chr6:43427366	ENSG00000124574
ABCC4	19.234527	18.660705	19.241495	19.234527	ENSG00000125257	protein_coding	chr13	95019829	95301446	chr13:95019829	ABCC4	protein_coding	chr13	95019835	95301475	chr13:95019835	ENSG00000125257
ABCC5	21.36192717812	20.889971	22.80547	21.36192717812	ENSG00000114770	protein_coding	chr3	183919934	184018015	chr3:183919934	ABCC5	protein_coding	chr3	183919934	184017939	chr3:183919934	ENSG00000114770
ABCC6	4.547545	5.048101	7.929141	5.048101	ENSG00000091262	protein_coding	chr16	16148928	16223522	chr16:16148928	ABCC6	protein_coding	chr16	16149565	16223522	chr16:16149565	ENSG00000091262
ABCC9	1.3959193	1.220521	1.426745	1.3959193	ENSG00000069431	protein_coding	chr12	21797401	21941402	chr12:21797401	ABCC9	protein_coding	chr12	21797389	21942543	chr12:21797389	ENSG00000069431
ABCD1	2.703383	3.51273	3.123774	3.123774	ENSG00000101986	protein_coding	chrX	153724868	153744762	chrX:153724868	ABCD1	protein_coding	chrX	153724856	153744755	chrX:153724856	ENSG00000101986
ABCD3	96.73532	98.07177	97.03496	97.03496	ENSG00000117528	protein_coding	chr1	94418455	94518666	chr1:94418455	ABCD3	protein_coding	chr1	94418389	94518666	chr1:94418389	ENSG00000117528
ABCD4	16.21102	16.3	16.76017	16.3	ENSG00000119688	protein_coding	chr14	74285423	74303056	chr14:74285423	ABCD4	protein_coding	chr14	74285269	74303055	chr14:74285269	ENSG00000119688
ABCE1	198.784	199.008	193.666	198.784	ENSG00000164163	protein_coding	chr4	145097932	145129179	chr4:145097932	ABCE1	protein_coding	chr4	145098288	145129524	chr4:145098288	ENSG00000164163
ABCF1	80.8666	77.9326	81.9313	80.8666	ENSG00000204574	protein_coding	chr6	30571376	30597179	chr6:30571376	ABCF1	protein_coding	chr6	30571393	30597179	chr6:30571393	ENSG00000204574
ABCF2	111.8678	112.2836	111.5559	111.8678	ENSG00000033050	protein_coding	chr7	151207837	151227230	chr7:151207837	ABCF2	protein_coding	chr7	151211484	151227205	chr7:151211484	ENSG00000033050
ABCF3	14.73437	14.94091	15.26757	14.94091	ENSG00000161204	protein_coding	chr3	184186023	184194012	chr3:184186023	ABCF3	protein_coding	chr3	184186095	184194012	chr3:184186095	ENSG00000161204
ABCG1	1.946977	2.20732689	2.548633653	2.20732689	ENSG00000160179	protein_coding	chr21	42199689	42297244	chr21:42199689	ABCG1	protein_coding	chr21	42199689	42297244	chr21:42199689	ENSG00000160179
ABCG2	2.094314	2.10279	1.810726	2.094314	ENSG00000118777	protein_coding	chr4	88090264	88231322	chr4:88090264	ABCG2	protein_coding	chr4	88090150	88231628	chr4:88090150	ENSG00000118777
ABHD10	62.96998	65.03895	62.68241	62.96998	ENSG00000144827	protein_coding	chr3	111979010	111993363	chr3:111979010	ABHD10	protein_coding	chr3	111979010	111993368	chr3:111979010	ENSG00000144827
ABHD11	13.471575	12.540636	13.197911	13.197911	ENSG00000106077	protein_coding	chr7	73736094	73738867	chr7:73736094	ABHD11	protein_coding	chr7	73736094	73738852	chr7:73736094	ENSG00000106077
ABHD12	26.10402	26.0641	25.69956	26.0641	ENSG00000100997	protein_coding	chr20	25294743	25390983	chr20:25294743	ABHD12	protein_coding	chr20	25294742	25390835	chr20:25294742	ENSG00000100997
ABHD13	7.64336	7.79014	7.06116	7.64336	ENSG00000139826	protein_coding	chr13	108218379	108234255	chr13:108218379	ABHD13	protein_coding	chr13	108218392	108234243	chr13:108218392	ENSG00000139826
ABHD14A	12.051182	12.1776080334369	13.427445	12.1776080334369	ENSG00000248487	protein_coding	chr3	51971426	51981199	chr3:51971426	ABHD14A	protein_coding	chr3	51971426	51981196	chr3:51971426	ENSG00000248487
ABHD14B	25.878884	25.558825	27.702542	25.878884	ENSG00000114779	protein_coding	chr3	51968510	51983409	chr3:51968510	ABHD14B	protein_coding	chr3	51968510	51983409	chr3:51968510	ENSG00000114779
ABHD15	6.26325	5.78076	6.34803	6.26325	ENSG00000168792	protein_coding	chr17	29560547	29567137	chr17:29560547	ABHD15	protein_coding	chr17	29560547	29567037	chr17:29560547	ENSG00000168792
ABHD16A	10.3091	10.98316	10.908591	10.908591	ENSG00000204427	protein_coding	chr6	31686949	31703444	chr6:31686949	ABHD16A	protein_coding	chr6	31686955	31703356	chr6:31686955	ENSG00000204427
ABHD17A	28.77627	30.12795	29.63715	29.63715	ENSG00000129968	protein_coding	chr19	1876810	1885547	chr19:1876810	ABHD17A	protein_coding	chr19	1876810	1885496	chr19:1876810	ENSG00000129968
ABHD17B	28.21812	28.17003	28.92463	28.21812	ENSG00000107362	protein_coding	chr9	71862452	71910931	chr9:71862452	ABHD17B	protein_coding	chr9	71862452	71911193	chr9:71862452	ENSG00000107362
ABHD17C	19.26519	21.94179	19.496182	19.496182	ENSG00000136379	protein_coding	chr15	80679684	80755621	chr15:80679684	ABHD17C	protein_coding	chr15	80679684	80755621	chr15:80679684	ENSG00000136379
ABHD18	15.469716	17.37404	14.825705	15.469716	ENSG00000164074	protein_coding	chr4	127965306	128039711	chr4:127965306	ABHD18	protein_coding	chr4	127965306	128039953	chr4:127965306	ENSG00000164074
ABHD2	17.95205	17.984121	18.564944775	17.984121	ENSG00000140526	protein_coding	chr15	89087459	89202360	chr15:89087459	ABHD2	protein_coding	chr15	89087459	89202355	chr15:89087459	ENSG00000140526
ABHD3	30.27397733	31.744740341818	28.555735	30.27397733	ENSG00000158201	protein_coding	chr18	21650897	21704805	chr18:21650897	ABHD3	protein_coding	chr18	21650901	21704780	chr18:21650901	ENSG00000158201
ABHD4	4.846491	3.69448	4.722614	4.722614	ENSG00000100439	protein_coding	chr14	22598237	22613215	chr14:22598237	ABHD4	protein_coding	chr14	22598290	22612963	chr14:22598290	ENSG00000100439
ABHD5	19.5543	20.7321	21.0604	20.7321	ENSG00000011198	protein_coding	chr3	43690113	43734371	chr3:43690113	ABHD5	protein_coding	chr3	43690108	43734371	chr3:43690108	ENSG00000011198
ABHD6	9.93959	10.25924	10.78466	10.25924	ENSG00000163686	protein_coding	chr3	58237506	58295693	chr3:58237506	ABHD6	protein_coding	chr3	58237532	58295693	chr3:58237532	ENSG00000163686
ABHD8	2.66654	3.16925	3.26144	3.16925	ENSG00000127220	protein_coding	chr19	17292131	17310236	chr19:17292131	ABHD8	protein_coding	chr19	17292131	17310236	chr19:17292131	ENSG00000127220
ABI1	44.972524000165	43.6308290551379	43.7622087362633	43.7622087362633	ENSG00000136754	protein_coding	chr10	26746593	26861087	chr10:26746593	ABI1	protein_coding	chr10	26746593	26861087	chr10:26746593	ENSG00000136754
ABI2	36.699607	33.98157844211	34.1416379502418	34.1416379502418	ENSG00000138443	protein_coding	chr2	203328219	203447723	chr2:203328219	ABI2	protein_coding	chr2	203328280	203447728	chr2:203328280	ENSG00000138443
ABL1	20.91704	21.42888	21.16208	21.16208	ENSG00000097007	protein_coding	chr9	130713946	130887675	chr9:130713946	ABL1	protein_coding	chr9	130713016	130887675	chr9:130713016	ENSG00000097007
ABL2	14.4507450002815	13.162527	14.241898381	14.241898381	ENSG00000143322	protein_coding	chr1	179099327	179229684	chr1:179099327	ABL2	protein_coding	chr1	179099330	179229684	chr1:179099330	ENSG00000143322
ABLIM1	32.676476	31.4098314	33.572503	32.676476	ENSG00000099204	protein_coding	chr10	114431113	114685003	chr10:114431113	ABLIM1	protein_coding	chr10	114431112	114768061	chr10:114431112	ENSG00000099204
ABR	15.4756406	16.858714	16.472492	16.472492	ENSG00000159842	protein_coding	chr17	1003518	1229021	chr17:1003518	ABR	protein_coding	chr17	1003519	1229738	chr17:1003519	ENSG00000159842
ABRACL	129.776	130.959575	127.004	129.776	ENSG00000146386	protein_coding	chr6	139028682	139043302	chr6:139028682	ABRACL	protein_coding	chr6	139028745	139043302	chr6:139028745	ENSG00000146386
ABT1	44.1166	44.5759	42.7765	44.1166	ENSG00000146109	protein_coding	chr6	26596952	26600744	chr6:26596952	ABT1	protein_coding	chr6	26596953	26600739	chr6:26596953	ENSG00000146109
ABTB1	1.008144	1.058751	1.170668	1.058751	ENSG00000114626	protein_coding	chr3	127672935	127680920	chr3:127672935	ABTB1	protein_coding	chr3	127672935	127680926	chr3:127672935	ENSG00000114626
ABTB2	2.8079	3.14118	2.84855	2.84855	ENSG00000166016	protein_coding	chr11	34150988	34358008	chr11:34150988	ABTB2	protein_coding	chr11	34150987	34358010	chr11:34150987	ENSG00000166016
AC000068.5	1.90145	2.01431	2.13804	2.01431	ENSG00000185065	antisense	chr22	19447893	19450105	chr22:19447893	UFD1-AS1	lncRNA	chr22	19447893	19450105	chr22:19447893	ENSG00000185065
AC002076.10	1.78204	2.8307	1.7798	1.78204	ENSG00000234695	antisense	chr7	93890913	93893601	chr7:93890913	TFPI2-DT	lncRNA	chr7	93890913	93893601	chr7:93890913	ENSG00000234695
AC002310.12	5.11836	3.8844	4.31003	4.31003	ENSG00000235560	antisense	chr16	30534752	30537144	chr16:30534752	ZNF747-DT	lncRNA	chr16	30534752	30537149	chr16:30534752	ENSG00000235560
AC002467.7	4.19163	4.88576	4.988	4.88576	ENSG00000241764	antisense	chr7	107742817	107744581	chr7:107742817	CBLL1-AS1	lncRNA	chr7	107739999	107744581	chr7:107739999	ENSG00000241764
AC003664.1	0.424426	1.5134	1.4259	1.4259	ENSG00000234634	lincRNA	chr17	13299184	13306760	chr17:13299184	LINC02093	lncRNA	chr17	13299184	13306771	chr17:13299184	ENSG00000234634
AC004381.6	9.95001	9.18372	10.03708	9.95001	ENSG00000005189	protein_coding	chr16	20806429	20849668	chr16:20806429	REXO5	protein_coding	chr16	20806429	20849665	chr16:20806429	ENSG00000005189
AC004540.4	1.691636	2.31935	1.17583	1.691636	ENSG00000225792	antisense	chr7	26372144	26376701	chr7:26372144	SNX10-AS1	lncRNA	chr7	26369310	26376701	chr7:26369310	ENSG00000225792
AC004854.4	1.92337	1.12551	2.41207	1.92337	ENSG00000234183	antisense	chr7	44848416	44849568	chr7:44848416	H2AZ2-DT	lncRNA	chr7	44848416	44849568	chr7:44848416	ENSG00000234183
AC005076.5	2.6681	2.46464	2.61874	2.61874	ENSG00000224046	antisense	chr7	87151423	87152420	chr7:87151423	DMTF1-AS1	lncRNA	chr7	87151419	87152420	chr7:87151419	ENSG00000224046
AC005154.6	13.4422824	13.026954	15.838883	13.4422824	ENSG00000196295	processed_transcript	chr7	30516309	30594809	chr7:30516309	GARS1-DT	lncRNA	chr7	30516309	30595286	chr7:30516309	ENSG00000196295
AC005682.5	1.998809	1.930088	2.045468	1.998809	ENSG00000228649	processed_transcript	chr7	22854178	22861579	chr7:22854178	SNHG26	lncRNA	chr7	22854126	22872952	chr7:22854126	ENSG00000228649
AC005775.2	2.12963	2.13491	2.29416	2.13491	ENSG00000266933	antisense	chr19	490046	507833	chr19:490046	MADCAM1-AS1	lncRNA	chr19	490046	507833	chr19:490046	ENSG00000266933
AC006145.4	1.16835	0.92966	1.16117	1.16117	ENSG00000223770	antisense	chr7	82009177	82029955	chr7:82009177	CACNA2D1-AS1	lncRNA	chr7	82009177	82029955	chr7:82009177	ENSG00000223770
AC007038.7	1.21908	0.93508	1.04242	1.04242	ENSG00000229127	antisense	chr2	210030733	210064356	chr2:210030733	KANSL1L-AS1	lncRNA	chr2	210030572	210064356	chr2:210030572	ENSG00000229127
AC007383.3	5.245432	5.28428	4.464474	5.245432	ENSG00000227946	lincRNA	chr2	206084605	206086564	chr2:206084605	INO80D-AS1	lncRNA	chr2	206084605	206086863	chr2:206084605	ENSG00000227946
AC007773.2	1.51992	1.371	1.57129	1.51992	ENSG00000267213	antisense	chr19	32390050	32405560	chr19:32390050	DPY19L3-DT	lncRNA	chr19	32390050	32405560	chr19:32390050	ENSG00000267213
AC009005.2	4.62963	3.29139	2.26136	3.29139	ENSG00000267751	antisense	chr19	567210	572228	chr19:567210	BSG-AS1	lncRNA	chr19	562360	572228	chr19:562360	ENSG00000267751
AC009133.12	22.24721	17.0393	21.71849	21.71849	ENSG00000238045	antisense	chr16	29808636	29821252	chr16:29808636	MVP-DT	lncRNA	chr16	29808636	29821252	chr16:29808636	ENSG00000238045
AC009299.3	2.252117	2.282095	1.939707	2.252117	ENSG00000227403	lincRNA	chr2	161244739	161249050	chr2:161244739	LINC01806	lncRNA	chr2	161244720	161249095	chr2:161244720	ENSG00000227403
AC009403.2	17.09737	15.27127	16.09231	16.09231	ENSG00000216895	antisense	chr7	155611231	155645205	chr7:155611231	RBM33-DT	lncRNA	chr7	155611231	155645205	chr7:155611231	ENSG00000216895
AC009506.1	1.50327	1.00677	1.23137	1.23137	ENSG00000224152	antisense	chr2	159615296	159617082	chr2:159615296	BAZ2B-AS1	lncRNA	chr2	159615292	159618637	chr2:159615292	ENSG00000224152
AC009948.5	18.80286	15.76747	17.44448	17.44448	ENSG00000223960	antisense	chr2	178413939	178440243	chr2:178413939	CHROMR	lncRNA	chr2	178413635	178440243	chr2:178413635	ENSG00000223960
AC010642.1	1.13466	1.20363	1.14825	1.14825	ENSG00000267216	protein_coding	chr19	58278966	58315197	chr19:58278966	ZNF8-ERVK3-1	lncRNA	chr19	58278966	58315197	chr19:58278966	ENSG00000267216
AC010894.3	4.04524	2.222859	2.292392	2.292392	ENSG00000226853	lincRNA	chr2	174487389	174488386	chr2:174487389	GPR155-DT	lncRNA	chr2	174487380	174488455	chr2:174487380	ENSG00000226853
AC012146.7	20.64266	23.65437	17.59253	20.64266	ENSG00000234327	processed_transcript	chr17	5111468	5115004	chr17:5111468	ZNF232-AS1	lncRNA	chr17	5097223	5115004	chr17:5097223	ENSG00000234327
AC013461.1	21.42738	21.82863	22.224172	21.82863	ENSG00000091436	protein_coding	chr2	173075435	173268010	chr2:173075435	MAP3K20	protein_coding	chr2	173075435	173268015	chr2:173075435	ENSG00000091436
AC015971.2	1.390057	1.681738	1.995996	1.681738	ENSG00000228363	antisense	chr2	86562070	86618766	chr2:86562070	CHMP3-AS1	lncRNA	chr2	86562070	86618766	chr2:86562070	ENSG00000228363
AC016700.5	1.07645	0.992666	1.21687	1.07645	ENSG00000231327	lincRNA	chr2	70124036	70125317	chr2:70124036	LINC01816	lncRNA	chr2	70124034	70132923	chr2:70124034	ENSG00000231327
AC016747.3	9.47226	11.29693	10.17339	10.17339	ENSG00000212978	processed_transcript	chr2	61141592	61144969	chr2:61141592	C2orf74-DT	lncRNA	chr2	61141592	61144969	chr2:61141592	ENSG00000212978
AC025335.1	6.35837	5.81101	5.31353	5.81101	ENSG00000179859	antisense	chr17	7913324	7915953	chr17:7913324	RNF227	protein_coding	chr17	7913339	7916289	chr17:7913339	ENSG00000179859
AC034220.3	1.72421	1.379424	2.234593	1.72421	ENSG00000233006	processed_transcript	chr5	132311285	132369916	chr5:132311285	MIR3936HG	lncRNA	chr5	132311285	132370170	chr5:132311285	ENSG00000233006
AC062017.1	1.00881	0.666149	1.43786	1.00881	ENSG00000222020	antisense	chr2	239401436	239402364	chr2:239401436	HDAC4-AS1	lncRNA	chr2	239401436	239402657	chr2:239401436	ENSG00000222020
AC062029.1	1.077456	1.037271	0.927032	1.037271	ENSG00000234028	antisense	chr2	88627539	88631821	chr2:88627539	EIF2AK3-DT	lncRNA	chr2	88627539	88631821	chr2:88627539	ENSG00000234028
AC068831.10	1.311183	1.077855	1.168811	1.168811	ENSG00000214432	antisense	chr15	91022619	91036611	chr15:91022619	VPS33B-DT	lncRNA	chr15	91022619	91036611	chr15:91022619	ENSG00000214432
AC072062.1	1.26154	0.99315	1.38396	1.26154	ENSG00000229267	antisense	chr2	214810229	214963274	chr2:214810229	SNHG31	lncRNA	chr2	214810181	214963575	chr2:214810181	ENSG00000229267
AC073869.1	1.309393138	1.1436264173	0.7305887087	1.1436264173	ENSG00000233087	transcribed_processed_pseudogene	chr2	131362956	131363720	chr2:131362956	RAB6D	protein_coding	chr2	131360492	131364168	chr2:131360492	ENSG00000233087
AC074117.10	18.626749	22.61322	19.98887	19.98887	ENSG00000234072	antisense	chr2	27356246	27367622	chr2:27356246	GTF3C2-AS2	lncRNA	chr2	27356246	27367622	chr2:27356246	ENSG00000234072
AC074212.6	1.335198	0.503925	1.2942166	1.2942166	ENSG00000267395	antisense	chr19	45767796	45772504	chr19:45767796	DM1-AS	lncRNA	chr19	45767796	45772504	chr19:45767796	ENSG00000267395
AC079610.2	1.98418	1.74826	1.9235	1.9235	ENSG00000196096	lincRNA	chr2	213276552	213284205	chr2:213276552	SPAG16-DT	lncRNA	chr2	213276552	213284205	chr2:213276552	ENSG00000196096
AC083843.1	5.33896	5.7004	5.67125	5.67125	ENSG00000259820	lincRNA	chr8	134792020	134798272	chr8:134792020	MIR30DHG	lncRNA	chr8	134792020	134798272	chr8:134792020	ENSG00000259820
AC084219.4	2.27116	1.97543	1.36246	1.97543	ENSG00000186019	antisense	chr19	44105463	44113145	chr19:44105463	ZNF225-AS1	lncRNA	chr19	44103007	44113183	chr19:44103007	ENSG00000186019
AC090505.4	1.46475	2.81591	2.20465	2.20465	ENSG00000230401	lincRNA	chr3	194765238	194768712	chr3:194765238	LINC01972	lncRNA	chr3	194765238	194768712	chr3:194765238	ENSG00000230401
AC090587.5	1.19896	2.07795	2.05463	2.05463	ENSG00000228661	antisense	chr11	3854318	3855509	chr11:3854318	STIM1-AS1	lncRNA	chr11	3854318	3855509	chr11:3854318	ENSG00000228661
AC091729.9	7.11301	7.16458	7.17394	7.16458	ENSG00000229043	antisense	chr7	1160374	1165267	chr7:1160374	ZFAND2A-DT	lncRNA	chr7	1160374	1165607	chr7:1160374	ENSG00000229043
AC092415.1	6.644718	6.91119	7.143248	6.91119	ENSG00000235493	lincRNA	chr3	27997210	28028604	chr3:27997210	LINC01967	lncRNA	chr3	27916774	28059268	chr3:27916774	ENSG00000235493
AC092669.3	25.8742	23.6615	24.2138	24.2138	ENSG00000232164	lincRNA	chr2	66383306	66392450	chr2:66383306	LINC01873	lncRNA	chr2	66383306	66392450	chr2:66383306	ENSG00000232164
AC093110.3	1.51965	3.82449	3.34985	3.34985	ENSG00000238018	antisense	chr2	54661011	54680045	chr2:54661011	SPTBN1-AS2	lncRNA	chr2	54661011	54680045	chr2:54661011	ENSG00000238018
AC093375.1	2.870305	2.721689	4.0189	2.870305	ENSG00000226383	lincRNA	chr2	156011617	156024613	chr2:156011617	LINC01876	lncRNA	chr2	156011530	156254950	chr2:156011530	ENSG00000226383
AC093495.4	1.9433674	2.0460141	1.7564762	1.9433674	ENSG00000228242	antisense	chr3	14144637	14165978	chr3:14144637	XPC-AS1	lncRNA	chr3	14144637	14165978	chr3:14144637	ENSG00000228242
AC093627.9	6.672655	6.044451	6.174353	6.174353	ENSG00000242474	lincRNA	chr7	135853	149466	chr7:135853	LINC03015	lncRNA	chr7	135853	149527	chr7:135853	ENSG00000242474
AC093673.5	4.20879	4.40622	5.4926	4.40622	ENSG00000232533	antisense	chr7	143379692	143380495	chr7:143379692	FAM131B-AS2	lncRNA	chr7	143379683	143381036	chr7:143379683	ENSG00000232533
AC093818.1	0.697123	1.103064	1.08347	1.08347	ENSG00000225205	antisense	chr2	172480840	172556596	chr2:172480840	PDK1-AS1	lncRNA	chr2	172480840	172556596	chr2:172480840	ENSG00000225205
AC097467.2	2.396259	1.82034	1.31143	1.82034	ENSG00000250910	antisense	chr4	155173716	155381694	chr4:155173716	MAP9-AS1	lncRNA	chr4	155173716	155381694	chr4:155173716	ENSG00000250910
AC097724.3	1.23093	1.463218	1.10126	1.23093	ENSG00000226833	antisense	chr2	28708953	28736205	chr2:28708953	PPP1CB-DT	lncRNA	chr2	28707511	28751722	chr2:28707511	ENSG00000226833
AC098973.2	5.95282	6.26817	6.63749	6.26817	ENSG00000225548	lincRNA	chr3	27802762	27891301	chr3:27802762	LINC01980	lncRNA	chr3	27797552	27931579	chr3:27797552	ENSG00000225548
AC105760.2	1.25911	1.02568	1.16247	1.16247	ENSG00000227252	antisense	chr2	237059434	237085817	chr2:237059434	COPS8-DT	lncRNA	chr2	236910797	237085838	chr2:236910797	ENSG00000227252
AC106786.1	4.15991	3.60177	3.37158	3.60177	ENSG00000223652	antisense	chr5	123087248	123090299	chr5:123087248	PRDM6-AS1	lncRNA	chr5	123087248	123090299	chr5:123087248	ENSG00000223652
AC108142.1	3.469142	2.750415	2.775872	2.775872	ENSG00000177822	antisense	chr4	181874438	182145249	chr4:181874438	TENM3-AS1	lncRNA	chr4	181874438	182145249	chr4:181874438	ENSG00000177822
