hek293t	hct116	mcf7	c42b	pct_peaks
ADIPOR2	1	1	0	0	0.5
CDKL3	0	0	0	0	0
UPP2	NA	NA	NA	NA	NA
PRSS21	NA	NA	NA	NA	NA
MARK4	0	1	0	0	0.25
PROM1	NA	0	NA	NA	0
CCDC124	0	0	0	0	0
CEACAM21	NA	NA	NA	NA	NA
PAFAH1B1	1	1	1	1	1
NOS2	NA	NA	NA	NA	NA
DNAH9	NA	NA	NA	NA	NA
KIAA0100	1	1	1	1	1
SLC13A2	NA	NA	NA	NA	NA
GAS7	NA	0	NA	NA	0
TRAPPC6A	1	1	1	1	1
MATK	1	NA	0	NA	0.5
CEACAM7	NA	NA	NA	NA	NA
CD79B	NA	NA	NA	NA	NA
SCN4A	NA	0	NA	NA	0
ST7L	1	1	1	1	1
TKTL1	NA	NA	NA	NA	NA
PAX6	1	1	NA	NA	1
RPUSD1	1	1	0	1	0.75
RHBDF1	1	1	1	1	1
LUC7L	1	1	1	1	1
CACNA2D2	1	1	NA	NA	1
BAIAP3	NA	0	0	0	0
TSR3	1	1	1	1	1
PIGQ	1	1	1	1	1
CRAMP1	1	1	1	1	1
TEAD3	1	1	1	1	1
SELE	NA	NA	NA	NA	NA
DNAJC11	1	1	1	1	1
FMO3	NA	NA	NA	NA	NA
MYLIP	1	1	1	1	1
NOX1	NA	NA	NA	NA	NA
E2F2	1	1	1	1	1
PSMB1	1	1	1	1	1
SYN1	NA	NA	NA	NA	NA
JARID2	0	0	0	0	0
CDKL5	0	0	0	0	0
CAMK1G	NA	NA	NA	NA	NA
CDK11A	1	1	1	1	1
NADK	1	1	1	1	1
TFAP2B	NA	NA	NA	NA	NA
TFAP2D	NA	NA	NA	NA	NA
DLEC1	NA	NA	NA	NA	NA
CYTH3	1	1	0	1	0.75
ADAM22	1	1	0	0	0.5
SYPL1	1	1	1	1	1
CYB561	1	1	1	1	1
SPAG9	1	1	1	1	1
CELSR3	0	0	0	NA	0
AASS	1	0	NA	0	0.333333333333333
PLEKHG6	NA	1	1	NA	1
SS18L2	1	1	1	1	1
MPND	0	0	0	1	0.25
MGST1	0	0	0	0	0
CRY1	1	0	1	0	0.5
PGLYRP1	NA	NA	NA	NA	NA
NFIX	0	1	0	1	0.5
ST3GAL1	1	1	1	1	1
MMP25	NA	1	NA	NA	1
IL32	NA	0	0	0	0
PKD1	0	1	0	1	0.5
MAPK8IP2	0	0	0	0	0
MED24	0	0	0	0	0
RHOBTB2	1	1	1	1	1
HEATR5B	1	1	1	1	1
SEC62	1	1	1	1	1
RPS20	0	0	0	0	0
CSDE1	1	1	0	0	0.5
UBE3C	1	1	1	1	1
REV3L	1	1	1	1	1
TENM1	0	NA	NA	0	0
PAX7	NA	NA	NA	NA	NA
MASP2	0	NA	NA	0	0
IYD	NA	NA	NA	0	0
FAM76A	1	1	1	1	1
TRAF3IP3	NA	NA	NA	NA	NA
POMT2	1	1	1	1	1
VTA1	0	0	1	0	0.25
MLXIPL	1	1	0	0	0.5
BAZ1B	1	1	1	1	1
RANBP9	1	1	1	1	1
ETV7	NA	NA	NA	0	0
SPRTN	1	0	0	0	0.25
METTL13	1	1	1	0	0.75
DYRK4	1	1	0	1	0.75
ZNF207	0	0	1	1	0.5
UQCRC1	1	1	1	1	1
STARD3NL	1	1	0	1	0.75
CD9	1	1	1	1	1
HHATL	NA	NA	NA	NA	NA
NCAPD2	0	0	0	0	0
IFFO1	1	NA	NA	NA	1
GIPR	NA	1	NA	NA	1
PHF7	1	1	NA	0	0.666666666666667
SEMA3G	1	1	NA	1	1
NISCH	1	1	1	0	0.75
STAB1	NA	NA	NA	NA	NA
FUZ	1	NA	0	0	0.333333333333333
SLC6A13	NA	NA	NA	NA	NA
IDS	1	1	1	1	1
PRSS3	NA	0	NA	NA	0
ZNF200	1	1	1	1	1
CD4	NA	NA	NA	NA	NA
LRRC23	0	0	0	0	0
BTK	NA	NA	NA	NA	NA
HFE	NA	1	NA	1	1
SCMH1	1	1	1	1	1
FYN	1	1	NA	NA	1
HIVEP2	1	1	1	1	1
FMO1	NA	NA	NA	NA	NA
TCEB3	1	1	1	1	1
LYPLA2	0	0	0	0	0
CLCN6	0	0	0	0	0
MRC2	0	0	0	NA	0
NME1-NME2	1	1	1	0	0.75
SLC6A7	NA	NA	NA	NA	NA
TSPAN9	1	1	1	1	1
BTBD7	1	0	1	1	0.75
APBA3	0	0	0	0	0
MKS1	0	1	1	0	0.5
ABHD5	0	0	0	0	0
ANOS1	NA	NA	NA	NA	NA
AKAP8L	1	1	1	1	1
MBTD1	0	0	1	0	0.25
UTP18	1	1	1	1	1
RNF216	1	1	1	1	1
TTC19	1	1	0	0	0.5
PTBP1	1	1	1	1	1
DPF1	0	0	0	0	0
SYT7	0	0	0	0	0
LARS2	1	1	1	1	1
PIK3C2A	1	0	1	1	0.75
PLAUR	1	1	0	NA	0.666666666666667
ANLN	1	0	1	1	0.75
WIZ	1	1	1	1	1
RABGAP1	1	1	1	1	1
DCN	NA	0	NA	NA	0
QPCTL	1	1	0	0	0.5
PPP5C	1	1	1	1	1
CEP68	1	1	1	1	1
MAP4K3	1	1	1	0	0.75
ZBTB32	NA	NA	NA	NA	NA
TYROBP	NA	NA	NA	NA	NA
TMEM159	0	1	0	0	0.25
GABRA3	NA	NA	NA	0	0
BRCA1	1	1	1	1	1
ERCC1	1	1	0	0	0.5
CD22	NA	0	NA	NA	0
SEMA3B	NA	0	1	0	0.333333333333333
MBTPS2	1	1	1	1	1
PRICKLE3	1	1	0	0	0.5
LTF	NA	NA	NA	NA	NA
EXTL3	0	1	0	1	0.5
NR1H4	NA	NA	NA	NA	NA
ELOVL5	1	1	1	1	1
ALOX5	NA	0	NA	NA	0
KDM5D	NA	0	NA	NA	0
CALCOCO1	0	1	1	0	0.5
UBR7	1	1	1	1	1
MAP4K5	1	1	1	1	1
EHD3	1	NA	1	1	1
PSMC4	1	1	0	1	0.75
MAN2B2	1	1	1	1	1
SLC7A14	NA	NA	NA	NA	NA
CLDN11	0	NA	0	0	0
SLC25A39	1	1	1	1	1
MVP	NA	1	0	NA	0.5
NUB1	1	1	1	1	1
PGM3	1	1	1	1	1
RWDD2A	0	1	0	0	0.25
CLK1	1	1	1	1	1
POLR3B	1	1	1	1	1
ANGEL1	1	1	1	1	1
RNF14	1	1	1	1	1
DNASE1L1	0	0	0	0	0
DDX11	0	0	1	1	0.5
HEBP1	1	1	1	1	1
GPRC5A	1	0	0	NA	0.333333333333333
MAMLD1	1	0	1	NA	0.666666666666667
CD6	NA	NA	NA	NA	NA
TACC3	0	1	1	1	0.75
UFL1	0	1	1	1	0.75
POLA2	1	1	0	1	0.75
ZC3H3	1	1	0	1	0.75
CAPN1	1	1	1	1	1
ACPP	NA	NA	NA	0	0
MDH1	0	0	0	0	0
SLC30A9	1	1	1	1	1
MTMR11	NA	0	0	0	0
COX15	0	1	0	0	0.25
CCDC88C	0	0	0	0	0
YAF2	1	1	1	1	1
ZMYND11	1	1	1	1	1
WAS	NA	NA	NA	NA	NA
DPEP1	NA	NA	NA	NA	NA
BID	1	1	1	1	1
MATR3	1	1	1	1	1
NPC1L1	NA	NA	NA	NA	NA
XYLT2	1	1	1	1	1
RGPD5	0	0	0	0	0
STMN4	NA	NA	NA	NA	NA
NUDCD3	1	1	1	1	1
ISL1	0	NA	NA	NA	0
CHDH	1	1	1	1	1
IL20RA	NA	NA	NA	NA	NA
CLCA1	NA	NA	NA	NA	NA
CLCA4	NA	NA	NA	NA	NA
GLT8D1	0	1	1	1	0.75
ATP2C1	1	1	1	1	1
IGF1	NA	NA	NA	0	0
SLC38A5	NA	0	NA	NA	0
RALBP1	1	1	1	1	1
RUFY3	1	1	1	1	1
CNTN1	0	0	NA	NA	0
SLC11A1	NA	NA	NA	NA	NA
WWTR1	1	1	1	NA	1
AGPS	1	1	NA	1	1
CXorf56	0	0	0	0	0
ATP1A2	NA	NA	NA	NA	NA
TTC27	1	1	1	1	1
ZNF582	1	NA	NA	0	0.5
VSIG2	NA	NA	NA	NA	NA
PHLDB1	1	1	0	0	0.5
MARCO	NA	NA	NA	NA	NA
CYP24A1	NA	1	0	NA	0.5
PRDM11	1	1	NA	NA	1
SYT13	NA	NA	NA	NA	NA
SNAI2	0	NA	0	0	0
CD74	NA	0	NA	NA	0
HGF	NA	NA	NA	NA	NA
ZRANB1	0	0	0	0	0
NCDN	0	0	0	0	0
ADGRA2	1	1	NA	NA	1
ZFP64	1	1	1	1	1
MNAT1	1	1	1	1	1
SAMD4A	1	1	1	NA	1
RUNX3	1	1	NA	NA	1
MRE11A	0	0	0	0	0
PLEKHB1	0	0	1	0	0.25
SERPINB1	1	1	1	NA	1
CYP3A43	NA	NA	NA	NA	NA
SLC7A9	NA	NA	NA	NA	NA
SPAST	1	1	1	1	1
NRXN3	0	NA	NA	0	0
OSBPL5	1	1	1	1	1
AQR	1	0	1	1	0.75
CPS1	0	0	NA	NA	0
C8B	NA	NA	NA	NA	NA
FHL1	1	1	0	NA	0.666666666666667
RTFDC1	0	0	0	0	0
GABRA1	NA	NA	NA	NA	NA
NLRP2	NA	0	NA	0	0
SLC45A4	1	1	0	1	0.75
RNF10	1	1	1	1	1
ZNF839	1	1	1	1	1
ZDHHC6	0	0	1	1	0.5
GRAMD1B	0	1	NA	NA	0.5
RNH1	1	1	1	0	0.75
NDUFS1	1	1	1	1	1
RB1CC1	1	1	1	1	1
ERP44	1	1	1	0	0.75
ALAS1	1	1	1	1	1
BIRC3	NA	0	0	0	0
AKAP11	1	1	1	0	0.75
GLRX2	1	1	1	0	0.75
SNAPC1	1	1	1	1	1
DERA	1	1	1	1	1
STRAP	1	1	1	1	1
ABCC2	NA	0	NA	NA	0
DEF6	1	1	1	1	1
PLEKHO1	1	1	1	1	1
GCLM	1	1	1	1	1
UBR2	1	1	1	1	1
EHD2	0	1	0	NA	0.333333333333333
DEPDC1	0	0	0	0	0
CCDC28A	0	0	0	0	0
RRAGD	1	1	1	0	0.75
HSF2	1	1	1	1	1
PHF20	1	1	1	1	1
HSD17B6	0	NA	NA	0	0
NR1H3	1	0	0	0	0.25
TYMP	NA	1	NA	1	1
NCAPH2	1	0	0	1	0.5
TOMM34	1	1	1	1	1
SEC63	1	1	1	1	1
KPNA6	1	1	1	1	1
VIM	1	0	NA	0	0.333333333333333
RTEL1-TNFRSF6B	NA	0	0	NA	0
FAS	1	0	0	0	0.25
RNASET2	0	1	1	1	0.75
CD44	NA	1	0	NA	0.5
KCNG1	1	1	0	NA	0.666666666666667
AGPAT4	0	0	NA	NA	0
SLAMF7	NA	NA	NA	NA	NA
BTN3A1	0	0	NA	0	0
MIPEP	0	1	0	0	0.25
PRKCH	1	1	1	1	1
INSRR	NA	NA	NA	NA	NA
IFNGR1	1	1	0	0	0.5
B4GALT7	1	1	1	1	1
SH2D2A	0	1	NA	NA	0.5
VRK2	1	1	1	1	1
TNFRSF1B	NA	NA	NA	NA	NA
VEZT	1	1	1	1	1
POU2F2	NA	NA	NA	NA	NA
BRD9	1	1	1	1	1
SNX1	1	1	1	1	1
TBPL1	1	1	1	1	1
ARNTL2	1	1	1	1	1
BCLAF1	1	1	1	1	1
SLC39A9	1	1	1	1	1
ANK1	1	NA	NA	NA	1
IBSP	NA	NA	NA	NA	NA
TFB1M	0	0	0	0	0
RABEP1	1	1	1	1	1
HMGB3	1	0	0	0	0.25
NUP160	1	0	0	1	0.5
BAK1	1	1	1	1	1
MUSK	NA	NA	NA	NA	NA
IKZF2	0	NA	0	NA	0
GRN	0	0	0	0	0
FAM13B	0	1	1	1	0.75
ARHGAP31	1	NA	NA	NA	1
CENPQ	0	0	0	0	0
SARS	1	0	0	0	0.25
RANBP3	1	1	1	1	1
ARID4A	1	1	1	0	0.75
TSSC1	1	1	1	1	1
PNPLA6	1	1	1	1	1
IFT88	0	0	0	1	0.25
ALG1	0	1	0	0	0.25
ZCCHC8	1	1	1	1	1
ABCF2	1	1	1	1	1
CHPF2	1	1	1	1	1
LRRC7	NA	NA	NA	NA	NA
FUT8	0	0	0	0	0
UBA6	1	1	1	1	1
GAB2	0	NA	0	NA	0
ATP6V0A1	1	1	0	0	0.5
PIAS1	1	1	1	1	1
SLC4A7	1	1	1	1	1
APBA2	1	NA	NA	1	1
MAP2K3	1	1	1	1	1
EFCAB1	NA	NA	NA	NA	NA
TMSB10	1	1	1	1	1
ASTE1	0	NA	0	1	0.333333333333333
RNF19A	1	1	1	1	1
PEX3	0	0	1	0	0.25
GABARAPL2	1	1	1	1	1
MYOC	NA	NA	NA	NA	NA
SH3YL1	1	1	1	1	1
FAM136A	0	0	0	1	0.25
VCL	1	1	1	1	1
DEPDC1B	1	1	1	1	1
DAPK2	NA	1	0	1	0.666666666666667
NSMAF	1	1	1	1	1
ADSS	1	1	1	1	1
STAP1	NA	NA	NA	NA	NA
TIMP2	1	1	0	0	0.5
RFC1	1	1	1	1	1
TBC1D23	1	1	1	0	0.75
CUL3	1	1	1	1	1
MYOM2	0	0	NA	NA	0
OTC	NA	NA	NA	NA	NA
CYP46A1	NA	NA	NA	NA	NA
ZZZ3	1	1	1	1	1
SLC18A1	NA	NA	NA	NA	NA
USP2	0	0	0	0	0
CASR	NA	NA	NA	NA	NA
TUBG2	1	1	1	1	1
RPL26L1	1	0	0	0	0.25
FLT4	1	NA	NA	NA	1
NSUN2	1	1	1	1	1
FBXO42	1	1	1	1	1
MFAP3	1	0	0	0	0.25
MRI1	1	1	0	1	0.75
METTL1	1	1	1	1	1
HOXC8	0	NA	NA	0	0
AGA	1	1	1	1	1
PI4K2B	1	1	1	1	1
BOD1L1	1	0	1	0	0.5
MAT2B	1	1	1	1	1
TLL1	0	NA	NA	NA	0
EDC4	1	1	1	1	1
TRIO	1	1	1	1	1
VCAN	0	0	NA	NA	0
CLEC16A	1	1	1	1	1
MSR1	NA	NA	NA	NA	NA
CDH1	0	0	0	0	0
SKIV2L2	0	0	0	0	0
DNAH5	NA	NA	NA	1	1
ZFYVE16	1	1	1	1	1
FAM65A	1	1	1	1	1
C6	NA	NA	NA	NA	NA
RAI14	1	1	0	1	0.75
SOX30	NA	NA	NA	NA	NA
PNKP	1	1	1	1	1
BEST2	NA	NA	NA	NA	NA
PHLPP2	0	0	0	1	0.25
SPDL1	1	1	1	1	1
STAU2	1	1	0	1	0.75
PQLC2	0	0	1	1	0.5
CTNS	0	0	0	1	0.25
RTN4R	0	1	0	1	0.5
PHF23	0	1	1	1	0.75
CDH10	NA	NA	NA	NA	NA
INPP4A	1	1	1	1	1
RAB27B	NA	NA	1	0	0.5
PSMA4	1	1	1	1	1
MYO16	NA	NA	NA	NA	NA
LSG1	0	0	0	0	0
PARP3	1	1	NA	1	1
TNC	NA	NA	NA	NA	NA
THAP3	1	1	1	1	1
FAM65C	NA	NA	0	NA	0
TDP1	1	1	1	1	1
AIFM2	1	1	1	NA	1
SPATA7	1	1	1	1	1
MED17	1	1	1	1	1
RETSAT	0	1	1	1	0.75
CAPG	1	1	1	NA	1
AP2S1	1	1	1	1	1
USH2A	NA	NA	NA	NA	NA
ZPBP	NA	NA	NA	NA	NA
TG	NA	NA	NA	NA	NA
ADAM28	NA	NA	NA	NA	NA
BARX2	0	NA	1	NA	0.5
DCUN1D1	1	1	1	1	1
JADE2	0	1	1	0	0.5
ZIC2	1	1	NA	1	1
LCP2	NA	NA	NA	NA	NA
TRIT1	1	1	1	1	1
ADRB1	NA	NA	NA	NA	NA
GUCA2B	NA	NA	NA	NA	NA
CUL7	1	1	1	1	1
CTNNA1	0	1	1	1	0.75
PHKA2	1	1	1	1	1
CNTLN	1	1	NA	1	1
EPHA3	0	NA	NA	0	0
HSPA5	1	1	1	1	1
DSG2	1	1	1	1	1
GEMIN8	1	1	1	1	1
OFD1	1	1	1	1	1
GPM6B	0	NA	0	0	0
MAGEC2	NA	NA	NA	NA	NA
PREX2	1	NA	NA	NA	1
WDR37	1	1	1	1	1
YTHDC2	1	1	1	1	1
CTPS2	1	1	1	1	1
ATP6V1H	1	1	1	1	1
POLR2B	0	0	1	1	0.5
FAM214A	1	1	1	1	1
ARAP2	1	0	1	NA	0.666666666666667
TPR	1	1	1	1	1
CP	NA	NA	NA	NA	NA
KIAA0556	0	0	0	0	0
DTNBP1	1	1	1	1	1
XK	1	1	NA	NA	1
ANO2	NA	NA	NA	NA	NA
C12orf4	0	0	0	0	0
SCML1	1	0	1	0	0.5
WWC3	NA	0	0	0	0
ARHGAP6	NA	NA	NA	1	1
FAM184B	NA	NA	NA	NA	NA
MAP4	1	1	1	1	1
GOPC	1	1	1	1	1
ROS1	NA	NA	NA	NA	NA
USP28	1	1	1	1	1
HDAC9	NA	1	NA	NA	1
TSPAN17	1	1	1	1	1
NOP16	1	1	1	1	1
CC2D2A	0	0	0	0	0
RRM2B	1	1	1	1	1
ZNF800	1	1	1	1	1
TNFRSF17	NA	NA	NA	NA	NA
SNX29	0	0	0	0	0
LMO3	NA	NA	NA	NA	NA
MRPS10	0	0	0	0	0
GUCA1A	NA	NA	NA	NA	NA
RSF1	1	1	1	1	1
VPS13D	1	1	1	1	1
CELF2	1	NA	NA	NA	1
FAM120A	1	1	1	1	1
R3HDM1	1	1	1	1	1
COL9A2	NA	NA	NA	NA	NA
KITLG	0	0	0	0	0
ERCC8	0	0	0	0	0
ADAMTS6	NA	NA	NA	NA	NA
H6PD	1	1	1	1	1
VAMP3	1	1	1	1	1
PER3	0	0	0	1	0.25
UTS2	NA	0	NA	NA	0
TNFRSF9	NA	NA	NA	NA	NA
EPN3	NA	0	1	1	0.666666666666667
LTBP1	1	1	1	1	1
RCN1	1	1	1	1	1
ELN	NA	NA	NA	NA	NA
RFC2	1	1	1	1	1
ARID1B	1	1	1	1	1
CLPTM1L	1	1	1	1	1
NEDD4L	0	0	0	0	0
FOXP3	NA	NA	NA	0	0
PPP1R3F	1	NA	1	1	1
HEXB	1	1	1	1	1
PTCD2	1	0	0	0	0.25
KIAA2022	NA	NA	NA	NA	NA
JKAMP	0	0	0	0	0
DKK3	NA	NA	NA	NA	NA
ARHGEF5	NA	0	0	0	0
NFE2L3	0	1	1	0	0.5
MCUR1	1	1	1	1	1
LIMA1	1	1	1	1	1
LETMD1	1	1	0	1	0.75
SLC4A8	NA	NA	NA	NA	NA
LAMC3	1	1	NA	1	1
PTGER3	NA	NA	NA	NA	NA
TNIP3	NA	NA	NA	NA	NA
MAPK9	1	1	1	1	1
COL23A1	NA	NA	NA	NA	NA
BCAR1	1	1	1	1	1
FAM160A2	1	1	1	1	1
HERPUD1	1	1	1	0	0.75
HOMER3	1	1	0	1	0.75
RAD51	1	1	1	1	1
POLQ	1	1	1	1	1
PIK3CB	1	1	1	1	1
CYBA	1	1	0	NA	0.666666666666667
THOC3	0	0	0	0	0
HEBP2	1	1	1	1	1
MPHOSPH9	0	0	1	0	0.25
PLEKHA5	1	1	1	1	1
PRSS8	NA	1	0	0	0.333333333333333
SIKE1	0	0	1	0	0.25
RRP12	0	0	0	0	0
FNIP2	1	1	0	1	0.75
MSMO1	1	1	1	1	1
TTC17	1	1	1	1	1
ALX4	1	NA	NA	NA	1
FSTL4	NA	NA	0	NA	0
FOXN3	1	1	0	0	0.5
METTL24	NA	NA	NA	NA	NA
AKR7A2	1	1	1	1	1
MRTO4	1	1	1	0	0.75
NNAT	NA	NA	NA	0	0
USE1	1	1	1	0	0.75
MCF2L2	NA	NA	NA	NA	NA
NRIP2	NA	NA	NA	0	0
LAMA3	1	0	1	1	0.75
AP5M1	0	0	0	0	0
ANAPC4	0	1	1	0	0.5
KCNQ1	NA	1	NA	1	1
TRAPPC3	1	1	1	1	1
THRAP3	1	1	1	1	1
PHPT1	1	1	1	1	1
ENTPD2	NA	1	1	1	1
LY75	NA	NA	NA	NA	NA
ARID4B	1	0	1	0	0.5
OPN3	1	1	0	NA	0.666666666666667
SDCCAG8	1	1	1	1	1
PTPRN	NA	NA	NA	NA	NA
HHAT	1	1	1	NA	1
KIF1B	0	1	1	1	0.75
FOXC1	1	1	1	NA	1
TBC1D22A	0	1	1	0	0.5
SYNE2	1	1	1	1	1
PLEKHH1	1	1	1	1	1
ATP9A	1	1	0	1	0.75
SPO11	NA	NA	NA	NA	NA
CBLN4	NA	NA	NA	NA	NA
CHRDL2	NA	NA	NA	NA	NA
FAM168A	1	1	1	1	1
RELT	1	1	1	1	1
GALC	1	NA	1	1	1
NOP58	1	1	1	1	1
SZRD1	1	1	1	1	1
KCNH2	0	1	NA	NA	0.5
CUL1	1	1	1	1	1
FAM114A2	0	1	1	1	0.75
CYFIP2	1	1	1	1	1
TAB2	1	0	1	1	0.75
GINM1	1	1	1	1	1
EIF2AK2	1	1	1	1	1
USP36	1	1	1	1	1
KMT2C	1	0	1	1	0.75
MCOLN3	1	1	1	NA	1
CCDC85A	NA	NA	0	0	0
PUM2	1	1	1	1	1
MRPL43	1	1	0	1	0.75
ITIH4	NA	0	NA	NA	0
ITIH1	NA	NA	NA	NA	NA
C4orf27	1	1	1	1	1
ZFR	1	1	1	1	1
ZNF280C	1	1	1	1	1
NPFFR2	NA	NA	NA	NA	NA
PHF21B	1	NA	NA	NA	1
TRAF1	NA	NA	NA	NA	NA
RC3H2	1	1	1	1	1
IL17RB	0	0	0	0	0
TRAF3IP2	1	1	1	0	0.75
GYG2	0	NA	0	NA	0
DCBLD2	1	1	1	1	1
SERPINB3	NA	NA	NA	NA	NA
SOAT1	1	1	1	0	0.75
PKP2	0	0	0	0	0
MSH4	NA	NA	NA	NA	NA
F7	NA	NA	NA	NA	NA
GDI2	1	1	1	1	1
PRDM1	NA	0	NA	NA	0
ATG5	1	1	0	0	0.5
TMCC3	0	0	NA	NA	0
PITHD1	0	0	0	1	0.25
MTA3	1	1	1	1	1
USP13	1	1	1	1	1
ATP11B	1	1	1	1	1
LAMC2	NA	1	0	NA	0.5
CDK14	1	1	1	1	1
SEC61A1	1	1	1	1	1
PPP1R12A	1	1	1	1	1
RASGRF1	NA	NA	NA	NA	NA
CAMK2B	1	NA	1	NA	1
CROCC	0	0	0	1	0.25
POLR3E	1	1	1	1	1
ATP2B4	0	0	0	0	0
ZC3H11A	1	1	1	1	1
RIOK2	0	0	0	1	0.25
