baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id.84	Gene	gene_type.84	chr	start	stop	loc.84	gene_name.107	gene_type.107	chr.107	start.107	stop.107	loc.107	gene_id.107
3451.70990609115	-0.74438278116047	0.0747741151588966	-9.95508645710673	2.39614513702942e-23	1.48401255486689e-20	ENSG00000215440	NPEPL1	protein_coding	chr20	58689131	58719238	chr20:58689131	NPEPL1	protein_coding	chr20	58689131	58719238	chr20:58689131	ENSG00000215440
428.048238129159	-1.12687607777082	0.114747587518287	-9.82047729405402	9.1907352567747e-23	5.45151598729529e-20	ENSG00000138463	DIRC2	protein_coding	chr3	122794795	122881139	chr3:122794795	SLC49A4	protein_coding	chr3	122795069	122881139	chr3:122795069	ENSG00000138463
1066.5158577803	-0.794650108842502	0.0809482929857045	-9.8167617812872	9.53575186152297e-23	5.45151598729529e-20	ENSG00000119684	MLH3	protein_coding	chr14	75013764	75051532	chr14:75013764	MLH3	protein_coding	chr14	75013769	75051532	chr14:75013769	ENSG00000119684
1319.5338560335	-0.816843186832198	0.083333155775931	-9.8021391272947	1.10226194275149e-22	6.06815611742895e-20	ENSG00000140577	CRTC3	protein_coding	chr15	90529925	90645345	chr15:90529925	CRTC3	protein_coding	chr15	90529923	90645345	chr15:90529923	ENSG00000140577
6417.07026030336	-0.624209992420695	0.063814676499283	-9.78160552812186	1.35050979274683e-22	7.16927769978176e-20	ENSG00000114978	MOB1A	protein_coding	chr2	74152528	74178898	chr2:74152528	MOB1A	protein_coding	chr2	74152528	74178898	chr2:74152528	ENSG00000114978
622.593798752742	-1.08769297641849	0.111478864968433	-9.75694340560868	1.72269051571911e-22	8.82967993987893e-20	ENSG00000055163	CYFIP2	protein_coding	chr5	157266079	157395595	chr5:157266079	CYFIP2	protein_coding	chr5	157266079	157395595	chr5:157266079	ENSG00000055163
2469.73191026151	0.693954192048688	0.0717668797958442	9.66956058313786	4.06118043432501e-22	2.0121795325269e-19	ENSG00000130766	SESN2	protein_coding	chr1	28259527	28282491	chr1:28259527	SESN2	protein_coding	chr1	28259518	28282491	chr1:28259518	ENSG00000130766
1404.09215043002	-0.839697537187423	0.0870648004006762	-9.64451228651644	5.18571080847756e-22	2.48646469216808e-19	ENSG00000132128	LRRC41	protein_coding	chr1	46261196	46303608	chr1:46261196	LRRC41	protein_coding	chr1	46261196	46303616	chr1:46261196	ENSG00000132128
503.495058131101	1.03814929569651	0.108386549630532	9.57821149612525	9.87399124820856e-22	4.44748502767794e-19	ENSG00000113070	HBEGF	protein_coding	chr5	140332843	140346631	chr5:140332843	HBEGF	protein_coding	chr5	140332843	140346603	chr5:140332843	ENSG00000113070
10391.5571301418	0.599730861703055	0.0627828310732411	9.55246603969517	1.26645132340995e-21	5.53662719740161e-19	ENSG00000172216	CEBPB	protein_coding	chr20	50190734	50192689	chr20:50190734	CEBPB	protein_coding	chr20	50190830	50192668	chr20:50190830	ENSG00000172216
1973.23840371031	-0.732224691064548	0.0781267903809099	-9.37226126268032	7.0994928073441e-21	2.8520773267125e-18	ENSG00000134247	PTGFRN	protein_coding	chr1	116910057	116990358	chr1:116910057	PTGFRN	protein_coding	chr1	116909916	116990353	chr1:116909916	ENSG00000134247
7413.1007261106	-0.523183845865541	0.0570529656242625	-9.17014286884065	4.72392540830944e-20	1.8004212120285e-17	ENSG00000120802	TMPO	protein_coding	chr12	98515512	98550379	chr12:98515512	TMPO	protein_coding	chr12	98515579	98550351	chr12:98515579	ENSG00000120802
1195.8505371117	-0.807824166983511	0.0890468208689201	-9.07190351211589	1.16955647322474e-19	4.13911605190776e-17	ENSG00000143952	VPS54	protein_coding	chr2	63892146	64019072	chr2:63892146	VPS54	protein_coding	chr2	63892146	64019428	chr2:63892146	ENSG00000143952
625.313130630184	-0.895008290741807	0.0989085906815223	-9.04884282118286	1.44491391728173e-19	4.99469778290131e-17	ENSG00000083290	ULK2	protein_coding	chr17	19770829	19867936	chr17:19770829	ULK2	protein_coding	chr17	19770829	19867936	chr17:19770829	ENSG00000083290
5327.02707678007	-0.800138392890845	0.088757372952662	-9.01489494644678	1.97059241646114e-19	6.65701947233601e-17	ENSG00000180776	ZDHHC20	protein_coding	chr13	21372573	21459370	chr13:21372573	ZDHHC20	protein_coding	chr13	21348784	21459370	chr13:21348784	ENSG00000180776
2676.6467909635	-0.627015215166526	0.0707960318677287	-8.85664349575419	8.24597192214574e-19	2.45136253301549e-16	ENSG00000196704	AMZ2	protein_coding	chr17	68247574	68257164	chr17:68247574	AMZ2	protein_coding	chr17	68205481	68257712	chr17:68205481	ENSG00000196704
19863.8752050987	0.594262312748431	0.0681086760490122	8.72520723087892	2.65693628596004e-18	7.7436668538255e-16	ENSG00000149428	HYOU1	protein_coding	chr11	119044189	119057202	chr11:119044189	HYOU1	protein_coding	chr11	119044188	119057227	chr11:119044188	ENSG00000149428
329.059154785495	-1.22303828250176	0.140357236383902	-8.71375294934234	2.93976671277932e-18	8.40321008052921e-16	ENSG00000100599	RIN3	protein_coding	chr14	92513774	92688994	chr14:92513774	RIN3	protein_coding	chr14	92513781	92688994	chr14:92513781	ENSG00000100599
18084.8179631342	0.549558534436916	0.0631310023747528	8.70505003507904	3.17434685872384e-18	8.90254560529645e-16	ENSG00000198431	TXNRD1	protein_coding	chr12	104215779	104350305	chr12:104215779	TXNRD1	protein_coding	chr12	104215779	104350307	chr12:104215779	ENSG00000198431
3314.44327356262	-0.561250648977882	0.0645685936612731	-8.692316452209	3.55123274577834e-18	9.7750969506017e-16	ENSG00000160216	AGPAT3	protein_coding	chr21	43865186	43986536	chr21:43865186	AGPAT3	protein_coding	chr21	43865223	43987592	chr21:43865223	ENSG00000160216
1742.80836386244	-0.698527140607093	0.0806945407821876	-8.65643615833408	4.86743472841108e-18	1.31544636005641e-15	ENSG00000084112	SSH1	protein_coding	chr12	108778192	108857590	chr12:108778192	SSH1	protein_coding	chr12	108778191	108857590	chr12:108778191	ENSG00000084112
2229.93960902078	-0.773884012636308	0.0894861914014594	-8.64808302282588	5.23717249485864e-18	1.39009521363534e-15	ENSG00000162430	SEPN1	protein_coding	chr1	25800176	25818224	chr1:25800176	SELENON	protein_coding	chr1	25800193	25818221	chr1:25800193	ENSG00000162430
1959.86125920978	-0.635554661222054	0.0738447175176951	-8.60663677222082	7.52353680639626e-18	1.96192721211007e-15	ENSG00000149679	CABLES2	protein_coding	chr20	62388632	62407285	chr20:62388632	CABLES2	protein_coding	chr20	62388634	62407285	chr20:62388634	ENSG00000149679
514.517048774423	-0.929036374144293	0.107985592871668	-8.60333632884137	7.74316443694556e-18	1.98438614121998e-15	ENSG00000196177	ACADSB	protein_coding	chr10	123008979	123058311	chr10:123008979	ACADSB	protein_coding	chr10	123008979	123058290	chr10:123008979	ENSG00000196177
617.32975814683	-0.973471060785508	0.113364791294182	-8.58706702206462	8.92175942751936e-18	2.24767851068894e-15	ENSG00000157657	ZNF618	protein_coding	chr9	113876282	114056591	chr9:113876282	ZNF618	protein_coding	chr9	113876282	114056593	chr9:113876282	ENSG00000157657
1092.15913964672	-0.718273334019793	0.0841692621499102	-8.53367744557993	1.41767744195067e-17	3.51205958285912e-15	ENSG00000162378	ZYG11B	protein_coding	chr1	52726467	52827342	chr1:52726467	ZYG11B	protein_coding	chr1	52726453	52827336	chr1:52726453	ENSG00000162378
3962.69193935767	0.617878078637708	0.0725008992268188	8.5223505532625	1.56347323936898e-17	3.80974856229189e-15	ENSG00000070669	ASNS	protein_coding	chr7	97852118	97872542	chr7:97852118	ASNS	protein_coding	chr7	97851677	97872542	chr7:97851677	ENSG00000070669
2746.33335131757	0.563981206879759	0.0669269324536763	8.42681990946052	3.551858594357e-17	8.12228094561885e-15	ENSG00000178607	ERN1	protein_coding	chr17	64039142	64130819	chr17:64039142	ERN1	protein_coding	chr17	64039080	64130819	chr17:64039080	ENSG00000178607
1258.91128360905	-0.779043783440862	0.0926660156477486	-8.40700636576673	4.20608256824588e-17	9.33122556632937e-15	ENSG00000085998	POMGNT1	protein_coding	chr1	46188682	46220305	chr1:46188682	POMGNT1	protein_coding	chr1	46188683	46220305	chr1:46188683	ENSG00000085998
359.766251004362	-1.10536076426809	0.132043592722872	-8.37118061902467	5.70437958163511e-17	1.24691026619742e-14	ENSG00000169740	ZNF32	protein_coding	chr10	43643859	43648856	chr10:43643859	ZNF32	protein_coding	chr10	43643860	43648881	chr10:43643860	ENSG00000169740
520.671617926834	-0.921656166118236	0.110146117209876	-8.36757744589475	5.88148670505178e-17	1.26699157078101e-14	ENSG00000135776	ABCB10	protein_coding	chr1	229516582	229558695	chr1:229516582	ABCB10	protein_coding	chr1	229516582	229558707	chr1:229516582	ENSG00000135776
538.061499177306	-0.936334768611596	0.112045060222457	-8.35676973846569	6.44589425663503e-17	1.36873960329461e-14	ENSG00000204104	TRAF3IP1	protein_coding	chr2	238320441	238400900	chr2:238320441	TRAF3IP1	protein_coding	chr2	238320441	238400897	chr2:238320441	ENSG00000204104
423.363013292871	-1.1926556269487	0.142950885820224	-8.34311463063327	7.2358962668941e-17	1.51485017057907e-14	ENSG00000120784	ZFP30	protein_coding	chr19	37613749	37692337	chr19:37613749	ZFP30	protein_coding	chr19	37613749	37692337	chr19:37613749	ENSG00000120784
697.017463439404	0.807846654909287	0.097594166627782	8.27761210350167	1.25669808122874e-16	2.59438337213666e-14	ENSG00000185022	MAFF	protein_coding	chr22	38200767	38216511	chr22:38200767	MAFF	protein_coding	chr22	38200767	38216507	chr22:38200767	ENSG00000185022
11950.4969083216	0.553166126275907	0.0670215514411356	8.25355597388323	1.53749814186069e-16	3.13059895624895e-14	ENSG00000120742	SERP1	protein_coding	chr3	150541994	150603228	chr3:150541994	SERP1	protein_coding	chr3	150541998	150603228	chr3:150541998	ENSG00000120742
28194.1625360238	0.484980795706091	0.0587965719744073	8.24845359891374	1.60457298232368e-16	3.18004970790123e-14	ENSG00000179218	CALR	protein_coding	chr19	12938578	12944489	chr19:12938578	CALR	protein_coding	chr19	12938578	12944489	chr19:12938578	ENSG00000179218
588.225994886979	-0.957819146955202	0.116266241262251	-8.23815353929552	1.74888660877911e-16	3.42045402011747e-14	ENSG00000197603	C5orf42	protein_coding	chr5	37106228	37249428	chr5:37106228	CPLANE1	protein_coding	chr5	37106228	37249376	chr5:37106228	ENSG00000197603
1264.72552998588	-0.682801306633105	0.08295349549422	-8.23113363174288	1.85449943972676e-16	3.57990645092188e-14	ENSG00000049239	H6PD	protein_coding	chr1	9234775	9271337	chr1:9234775	H6PD	protein_coding	chr1	9234774	9271337	chr1:9234774	ENSG00000049239
4735.7162719672	0.591642532418856	0.0719353905909916	8.224637797309	1.95781591445986e-16	3.73089432724761e-14	ENSG00000059728	MXD1	protein_coding	chr2	69897688	69942945	chr2:69897688	MXD1	protein_coding	chr2	69897688	69942945	chr2:69897688	ENSG00000059728
1103.3487147746	-0.684690460748423	0.0833388663673817	-8.21574003334904	2.10859817770634e-16	3.96736750802875e-14	ENSG00000187634	SAMD11	protein_coding	chr1	924880	944581	chr1:924880	SAMD11	protein_coding	chr1	923923	944575	chr1:923923	ENSG00000187634
322.197621606905	-1.07363789813549	0.131751712214383	-8.14894835209803	3.67102684854608e-16	6.73656087367764e-14	ENSG00000174516	PELI3	protein_coding	chr11	66466327	66477337	chr11:66466327	PELI3	protein_coding	chr11	66466327	66477337	chr11:66466327	ENSG00000174516
306.028877223002	-1.12784861891289	0.138625637174653	-8.13593100020834	4.08784599305579e-16	7.40996863911967e-14	ENSG00000158856	DMTN	protein_coding	chr8	22048995	22082527	chr8:22048995	DMTN	protein_coding	chr8	22048995	22082527	chr8:22048995	ENSG00000158856
4208.98752384708	0.515731006409064	0.0637790907550926	8.08620819618511	6.1550936064868e-16	1.1022808598412e-13	ENSG00000077150	NFKB2	protein_coding	chr10	102394110	102402529	chr10:102394110	NFKB2	protein_coding	chr10	102394110	102402524	chr10:102394110	ENSG00000077150
7304.19022958161	0.474183446431298	0.0586521023389272	8.08467944918974	6.23279117328728e-16	1.10290723809217e-13	ENSG00000112473	SLC39A7	protein_coding	chr6	33200445	33204439	chr6:33200445	SLC39A7	protein_coding	chr6	33200305	33204439	chr6:33200305	ENSG00000112473
666.663377849201	-0.82385533079184	0.101995246026059	-8.07738951461865	6.61679324168794e-16	1.15708252640529e-13	ENSG00000157077	ZFYVE9	protein_coding	chr1	52142094	52346686	chr1:52142094	ZFYVE9	protein_coding	chr1	52142089	52348671	chr1:52142089	ENSG00000157077
1739.0444676832	0.791058397886371	0.098802305271269	8.00647713344807	1.1804108480858e-15	2.01673871792498e-13	ENSG00000116717	GADD45A	protein_coding	chr1	67685061	67688338	chr1:67685061	GADD45A	protein_coding	chr1	67685201	67688334	chr1:67685201	ENSG00000116717
998.075186955857	-0.676503231091122	0.0849270296491153	-7.96569989420522	1.64291220390446e-15	2.7438479773973e-13	ENSG00000090470	PDCD7	protein_coding	chr15	65117379	65133836	chr15:65117379	PDCD7	protein_coding	chr15	65117379	65133808	chr15:65117379	ENSG00000090470
321.409794598387	-1.01689410876005	0.128995410392373	-7.88318053849286	3.19151427802869e-15	5.21304046468335e-13	ENSG00000082146	STRADB	protein_coding	chr2	201387858	201480846	chr2:201387858	STRADB	protein_coding	chr2	201387858	201480846	chr2:201387858	ENSG00000082146
10108.946017437	-0.522698210736781	0.0663685901609413	-7.87568651781298	3.38876923232789e-15	5.47507237710019e-13	ENSG00000077097	TOP2B	protein_coding	chr3	25597905	25664907	chr3:25597905	TOP2B	protein_coding	chr3	25597978	25664909	chr3:25597978	ENSG00000077097
5731.19608163993	-0.583791221242039	0.0742784317554692	-7.85949847681125	3.85674513328758e-15	6.16415695281576e-13	ENSG00000015171	ZMYND11	protein_coding	chr10	134465	254637	chr10:134465	ZMYND11	protein_coding	chr10	134465	254637	chr10:134465	ENSG00000015171
286.625041997584	-1.04751438173901	0.134306547128383	-7.79942902364765	6.21879045624905e-15	9.73011593070378e-13	ENSG00000134897	BIVM	protein_coding	chr13	102799049	102841535	chr13:102799049	BIVM	protein_coding	chr13	102799119	102841533	chr13:102799119	ENSG00000134897
442.402667404975	-1.02751284295288	0.131780849705694	-7.79713323481846	6.33293669169483e-15	9.80549697764083e-13	ENSG00000107560	RAB11FIP2	protein_coding	chr10	118004916	118046603	chr10:118004916	RAB11FIP2	protein_coding	chr10	118004916	118046941	chr10:118004916	ENSG00000107560
437.331826792938	-0.911016919097414	0.117161586452833	-7.77573048197138	7.50132652620168e-15	1.14948162356146e-12	ENSG00000177706	FAM20C	protein_coding	chr7	192969	260745	chr7:192969	FAM20C	protein_coding	chr7	192571	260772	chr7:192571	ENSG00000177706
9765.76016407165	-0.457593574708215	0.058920920100791	-7.76623267127276	8.08549664501374e-15	1.22635532787229e-12	ENSG00000152518	ZFP36L2	protein_coding	chr2	43222402	43226609	chr2:43222402	ZFP36L2	protein_coding	chr2	43222402	43226606	chr2:43222402	ENSG00000152518
2104.59927319842	-0.566507641165436	0.0731213081907238	-7.74750418424958	9.37162467339784e-15	1.40706898126652e-12	ENSG00000131507	NDFIP1	protein_coding	chr5	142108505	142154443	chr5:142108505	NDFIP1	protein_coding	chr5	142108779	142154440	chr5:142108779	ENSG00000131507
1392.86280264686	-0.635731510160374	0.082163205297473	-7.73742343496337	1.01451738855165e-14	1.50797864634317e-12	ENSG00000116641	DOCK7	protein_coding	chr1	62454726	62688368	chr1:62454726	DOCK7	protein_coding	chr1	62454298	62688386	chr1:62454298	ENSG00000116641
6746.24213894368	-0.459106842452992	0.0596232010532707	-7.70013743547249	1.35919962854422e-14	2.00031121571101e-12	ENSG00000088888	MAVS	protein_coding	chr20	3846799	3876123	chr20:3846799	MAVS	protein_coding	chr20	3846799	3876123	chr20:3846799	ENSG00000088888
3277.21080736484	0.517379687282863	0.0676537659676414	7.64746322518578	2.04982841841888e-14	2.95812132149303e-12	ENSG00000099875	MKNK2	protein_coding	chr19	2037465	2051244	chr19:2037465	MKNK2	protein_coding	chr19	2037465	2051244	chr19:2037465	ENSG00000099875
545.838234335306	-0.886640220976863	0.115963914138984	-7.64582868351798	2.07603922029137e-14	2.96713913177028e-12	ENSG00000136870	ZNF189	protein_coding	chr9	101398873	101410660	chr9:101398873	ZNF189	protein_coding	chr9	101398851	101410660	chr9:101398851	ENSG00000136870
4819.3895834078	-0.47137019310124	0.0617261415151493	-7.63647591653776	2.2324799320109e-14	3.13052657635944e-12	ENSG00000074696	HACD3	protein_coding	chr15	65530418	65578352	chr15:65530418	HACD3	protein_coding	chr15	65530418	65578349	chr15:65530418	ENSG00000074696
3053.89799049518	-0.555374788895762	0.0728228950305763	-7.62637613710051	2.41444690400228e-14	3.29250814505411e-12	ENSG00000117906	RCN2	protein_coding	chr15	76931619	76954392	chr15:76931619	RCN2	protein_coding	chr15	76931738	76954393	chr15:76931738	ENSG00000117906
217.466797814933	-1.18068599210657	0.155191186374258	-7.60794488199374	2.78488549137461e-14	3.76313981307202e-12	ENSG00000166188	ZNF319	protein_coding	chr16	57994668	58000453	chr16:57994668	ZNF319	protein_coding	chr16	57994676	58000672	chr16:57994676	ENSG00000166188
1183.22085739506	-0.596945128405659	0.0784923532397982	-7.60513736391571	2.84601443984534e-14	3.81109537241993e-12	ENSG00000124098	FAM210B	protein_coding	chr20	56358915	56368663	chr20:56358915	FAM210B	protein_coding	chr20	56358974	56368663	chr20:56358974	ENSG00000124098
2573.81427956231	-0.508861301343806	0.0669244274588905	-7.60352117552866	2.88180072923941e-14	3.82456125351915e-12	ENSG00000164402	SEPT8	protein_coding	chr5	132750817	132807241	chr5:132750817	SEPTIN8	protein_coding	chr5	132750819	132807241	chr5:132750819	ENSG00000164402
1685.30367549063	-0.575686592851863	0.0759021011171866	-7.5845936328304	3.33530737629764e-14	4.38725741958302e-12	ENSG00000112294	ALDH5A1	protein_coding	chr6	24494852	24537207	chr6:24494852	ALDH5A1	protein_coding	chr6	24494867	24537207	chr6:24494867	ENSG00000112294
311.442504136727	-1.05662065499362	0.139803614947406	-7.55789222897504	4.09653232830417e-14	5.29485708938375e-12	ENSG00000132879	FBXO44	protein_coding	chr1	11654375	11663327	chr1:11654375	FBXO44	protein_coding	chr1	11654375	11663327	chr1:11654375	ENSG00000132879
1239.33672770502	-0.637668435413589	0.0846151155390505	-7.53610547419628	4.84214984075272e-14	6.1515995925597e-12	ENSG00000159593	NAE1	protein_coding	chr16	66802875	66873256	chr16:66802875	NAE1	protein_coding	chr16	66802875	66873256	chr16:66802875	ENSG00000159593
7785.11341620488	0.465789845532653	0.0627859038999022	7.41870095993599	1.18274615975039e-13	1.47733940491846e-11	ENSG00000075426	FOSL2	protein_coding	chr2	28392448	28417312	chr2:28392448	FOSL2	protein_coding	chr2	28392448	28417317	chr2:28392448	ENSG00000075426
4810.29932230559	-0.456807404327812	0.0618656524896438	-7.38386141493102	1.5376349785515e-13	1.88887655547021e-11	ENSG00000166454	ATMIN	protein_coding	chr16	81035847	81047358	chr16:81035847	ATMIN	protein_coding	chr16	81035842	81047350	chr16:81035842	ENSG00000166454
6180.66081832694	0.452835750528312	0.0615845300149642	7.35307633943588	1.93696236213764e-13	2.3407324025052e-11	ENSG00000111266	DUSP16	protein_coding	chr12	12474210	12562383	chr12:12474210	DUSP16	protein_coding	chr12	12473282	12562863	chr12:12473282	ENSG00000111266
1227.0259838773	0.632639966241133	0.0862651465784751	7.33366824648727	2.23937038483521e-13	2.64174614287227e-11	ENSG00000100311	PDGFB	protein_coding	chr22	39223359	39244751	chr22:39223359	PDGFB	protein_coding	chr22	39223359	39244982	chr22:39223359	ENSG00000100311
1226.80749841658	-0.583712825850124	0.0797388224362923	-7.32030907926291	2.47400465226196e-13	2.89555946072612e-11	ENSG00000119979	FAM45A	protein_coding	chr10	119104086	119137984	chr10:119104086	DENND10	protein_coding	chr10	119104086	119137984	chr10:119104086	ENSG00000119979
1337.16445968109	-0.581740580730657	0.079489556902027	-7.31845293146706	2.50845973461895e-13	2.91294886682626e-11	ENSG00000140391	TSPAN3	protein_coding	chr15	77041404	77083984	chr15:77041404	TSPAN3	protein_coding	chr15	77041404	77083984	chr15:77041404	ENSG00000140391
263.533253592948	-1.02727143718341	0.140475252435341	-7.31282855431246	2.61576680624407e-13	3.01401223317921e-11	ENSG00000167363	FN3K	protein_coding	chr17	82735575	82751197	chr17:82735575	FN3K	protein_coding	chr17	82735615	82751196	chr17:82735615	ENSG00000167363
2709.83541614645	-0.503016404975291	0.0694012854886909	-7.24794074682173	4.23155642305898e-13	4.8382965132576e-11	ENSG00000116005	PCYOX1	protein_coding	chr2	70257386	70281191	chr2:70257386	PCYOX1	protein_coding	chr2	70257386	70281185	chr2:70257386	ENSG00000116005
37063.8279430302	0.573056070837443	0.0791281962272893	7.24212225426429	4.41717390066712e-13	4.97400551966031e-11	ENSG00000106541	AGR2	protein_coding	chr7	16791811	16833433	chr7:16791811	AGR2	protein_coding	chr7	16791811	16833433	chr7:16791811	ENSG00000106541
1122.40410641846	-0.651435440108816	0.0903228059899893	-7.2123029501654	5.50134083986352e-13	6.1482654318595e-11	ENSG00000128829	EIF2AK4	protein_coding	chr15	39934146	40035591	chr15:39934146	EIF2AK4	protein_coding	chr15	39934115	40035591	chr15:39934115	ENSG00000128829
1414.70201327226	0.599857269257392	0.0833596236547567	7.1960170038887	6.1996901029755e-13	6.7758965948991e-11	ENSG00000106853	PTGR1	protein_coding	chr9	111549722	111599855	chr9:111549722	PTGR1	protein_coding	chr9	111549722	111599893	chr9:111549722	ENSG00000106853
3974.79834358441	-0.491648497766818	0.0686533947034852	-7.16131372512975	7.99075409932868e-13	8.66967656441033e-11	ENSG00000071054	MAP4K4	protein_coding	chr2	101696850	101894689	chr2:101696850	MAP4K4	protein_coding	chr2	101696850	101894690	chr2:101696850	ENSG00000071054
464.56414818701	-0.789908525021342	0.111004999115054	-7.11597253563888	1.1112642401542e-12	1.18833321335626e-10	ENSG00000131943	C19orf12	protein_coding	chr19	29698886	29715789	chr19:29698886	C19orf12	protein_coding	chr19	29698937	29715789	chr19:29698937	ENSG00000131943
