SRR7629063	SRR7629064	SRR7629065	SRR7629066
ABCB10P1	0	0	0	0
ABCB10P3	0	0	0	0
ABCB10P4	0	0	0	0
ABCB11	0	0	0	0
ABCB4	0.32157326816	0.249529	0.190706	0.102641
ABCB5	0.124369	0.3055606	0.364486	0.123524
ABCB6	21.3665	19.6336	19.3541	20.5401
ABCB7	11.931837	11.3820983455784	12.1364900030494	10.79854
ABCB8	25.462079	24.27409	21.972618	23.255877
ABCB9	7.504848337545	8.00612532335	6.0081601337508	6.493186
ABCC1	24.97034	24.4157	20.32015	20.4090000512706
ABCC10	12.99894	12.00692	10.123383	11.00221
ABCC11	0.121244	0.0783768	0.134737	0.0962013
ABCC12	0	0	0	0
ABCC13	0.0898122	0.0823719	0.131046	0.0405528
ABCC2	1.00133	0.848229	1.1162	0.928609
ABCC3	23.524777	22.756367	13.30454	12.809095
ABCC4	1.670327	1.60201	1.632647	1.2476541
ABCC5	59.41609	56.15537	31.906625	33.722232
ABCC5-AS1	0	0.21829	0	0.265349
ABCC6	0.236091	0.14648	0.204306	0.151817
ABCC6P1	0	0	0	0
ABCC6P2	0.317706	0.461569	0	0.420412
ABCC8	1.399778	1.364065	0.968148	0.9839480174797
ABCC9	2.32624	2.40754	2.42168	2.68614
ABCD1	20.75656	18.05515	11.417522	12.9931
ABCD1P2	0	0	0	0
ABCD1P3	0	0.13059	0	0
ABCD1P4	0	0	0	0
ABCD1P5	0	0	0	0
ABCD2	0	0	0	0
ABCD3	18.588604	18.95103	23.18606	16.008113
ABCD4	13.86191	12.85723	10.31254	10.2522
ABCE1	42.13	42.4106	65.3153	60.0578
ABCF1	63.2994	64.4358	68.9912	73.7071
ABCF2	35.7449	39.4128	46.9535	46.1851
ABCF2P1	0	0	0	0
ABCF2P2	0	0	0	0
ABCF3	51.9941	53.3763	46.3013	50.2022
ABCG1	16.69399	17.39312	7.55368408528	7.735673
ABCG2	14.02193	13.90281	12.251349	10.883616
ABCG4	0.0658088	0.0145275	0.0168173	0.0874666
ABCG5	0	0	0	0
ABCG8	0	0	0	0
ABHD1	0.2538401	0.421162	0.157766	0.615034
ABHD10	10.14360026	10.493575	12.19752	10.067846
ABHD11	121.26629419	117.275696154	81.4600993484	86.439832286
ABHD11-AS1	1.98453	2.85587	1.16181	1.22554
ABHD12	70.6681	74.687	70.7461	74.1892
ABHD12B	0	0	0	0
ABHD13	4.682	4.43061	4.62139	4.3096
ABHD14A	5.504383	4.88472	5.58747	7.667568
ABHD14A-ACY1	1.09728	0	1.38256	0
ABHD14B	20.652623	19.783055	16.643019	15.341009
ABHD15	15.1992	16.6156	13.5224	13.934
ABHD15-AS1	0	0	0	0
ABHD16A	35.0764	34.965833	27.123414	28.770953
ABHD16B	0	0	0	0
ABHD17A	27.03991	31.53416	23.96741	28.89146
ABHD17AP1	0	0	0.567057	0
ABHD17AP3	0.220916	0	0	0.112846
ABHD17AP4	0	0	0	0
ABHD17AP5	0	0.252035	0	0
ABHD17AP6	0.339361	0.415025	0.590747	0.517607
ABHD17AP7	0	0	0	0
ABHD17AP8	0	0	0	0
ABHD17AP9	0	0	0	0
ABHD17B	15.83407	15.36793	17.78265	18.35611
ABHD17C	27.20904	29.52747	28.41621	29.89804
ABHD18	11.90898539293	10.05168	9.715017814	8.77409
ABHD2	27.32309	27.228034	44.6443	38.327747
ABHD3	12.97868	14.292561	16.6307245031	16.71917
ABHD4	14.7398	15.35444	9.181076	10.737047
ABHD5	18.6347	19.462	21.8028	20.7831
ABHD6	0.590869	1.13412	0.822287	0.775529
ABHD8	3.69683	3.18273	1.86108	2.28615
ABI1	46.5716840597908	49.39578814924	43.4298630247727	40.1367207769971
ABI2	35.156068	34.820268	37.818816	36.542007
ABI3	0.111968	0.0676719	0	0
ABI3BP	0.0191271	0	0.0159971	0
ABL1	30.4002	29.68725	24.93444	26.39783
ABL2	4.805674	4.7062778	4.23571	4.106339
ABLIM1	6.48252	6.47574	4.7428823	4.613473
ABLIM2	3.335836	3.105167	3.37713749	3.254728
ABLIM3	9.6592121133	9.180569	5.9383257	6.616314
ABO	0	0	0	0
ABR	56.156234	56.382193	43.167423	43.95303
ABRA	0	0.0957422	0	0.09009
ABRACL	77.9051	73.7688	72.87084	64.14318
ABT1	16.9526	17.0798	17.7678	18.0863
ABT1P1	0.246395	0.179097	0.718011	0.771182
ABTB1	13.86589	13.9887	6.73995	6.729364
ABTB2	11.2954	10.5416	11.5711	11.6047
AC000003.1	0	0	0	0
AC000029.1	0	0	0	0
AC000032.2	1.13463	0	0	0
AC000035.3	0	0	0	0
AC000036.4	0	0.129468	0.0364876	0.118654
AC000041.10	0	0	0	0
AC000041.8	0	0	0	0
AC000067.1	0	0	0	0
AC000068.10	0.595813	1.08297	0.253378	0.798114
AC000068.5	1.18364	0.923682	1.15815	1.24538
AC000068.9	5.64946	5.78966	5.58081	7.51634
AC000077.2	0	0	0	0
AC000078.5	0.944393	0.915811	0.395739	0.985826
AC000081.2	0	0	0	0
AC000089.3	1.54261	0.213297	0.572134	0.391039
AC000095.11	0.513977	0.186698	0.20821	0.222287
AC000095.9	0	0.132492	0.405822	0.00991447
AC000099.1	0	0	0.0416189	0
AC000111.3	0	0	0	0
AC000111.4	0	0	0	0
AC000111.5	0	0	0	0
AC000111.6	0	0	0	0
AC000120.7	0.674889	0.769803	0.890995	0.483749
AC000123.2	1.54913	0.995829	1.042	1.11992
AC000123.3	1.96335	0.96504	1.94076	2.10114
AC000123.4	1.3316	1.18232	3.39837	2.19741
AC000124.1	0	0	0	0.0964282
AC000354.1	0	0	0	0
AC000362.1	0	0	0	0
AC000367.1	0.27194	0.240658	0.142956	0.397105
AC000370.2	0	0	0	0
AC000374.1	0	0	0	0
AC000403.1	0	0	0	0
AC000403.4	0.024947	0.0367267	0	0.0223868
AC001226.7	0	0.357746	0	0
AC002044.1	0	0.149954	0.174124	0.0918515
AC002044.3	1.05281	0.383461	0.645395	0.753182
AC002044.4	0	0	0	0
AC002056.3	0.258292	0	0	0.229439
AC002056.5	0	0	0	0
AC002059.10	0	0.405013	0.231442	0.502842
AC002064.4	0	1.24699	0	0
AC002064.5	0	0	0.128521	0
AC002064.7	0	0	0.444019	0
AC002066.1	1.965318	0.299931	1.416589	0.949791
AC002069.5	0	0.0944023	0	0.1149
AC002069.6	0	0	0	0
AC002070.1	0	0	0	0
AC002072.1	0	0	0	0
AC002075.3	0	0	0	0
AC002075.4	2.51101	1.14227	2.36803	1.43609
AC002076.10	1.21289	0.684271	1.0286	0.453595
AC002115.5	0	0	0	0
AC002115.9	0	0	0	0
AC002116.7	1.8044	2.13255	4.15583	2.82283
AC002116.8	8.4049	5.83207	7.00632	7.48929
AC002117.1	0	1.62599	0	0.49174
AC002127.2	0	0	0	0
AC002127.4	0	0	0	0
AC002128.5	1.89634	1.66876	1.23188	1.32948
AC002306.1	0.761368	0.700001	0.309683	0.452508
AC002310.10	0.324211	0.238899	0.405574	0.448069
AC002310.11	0.274534	0	0.268914	1.19484
AC002310.12	3.55754	3.57644	5.01701	3.9553
AC002310.13	0	0.35673	0	0
AC002310.14	2.10385	3.31471	2.26751	2.46353
AC002310.17	1.55484	3.39374	5.09987	4.13059
AC002310.7	0.217099	0	0.0849059	0.333327
AC002314.4	0	0	0	0
AC002331.1	0	0	0	0
AC002366.1	0	0	0	0
AC002366.3	0	0	0	0
AC002368.4	0	0	0	0
AC002383.2	0	0	0	0
AC002386.1	0	0	0	0
AC002389.1	0	0	0	0
AC002395.1	0	0	0	0
AC002398.11	0.736369	1.13972	0.536994	0.582019
AC002398.12	0.154633	0.0529363	0.0981198	0
AC002398.13	19.7349	13.3417	20.6693	17.0308
AC002398.9	6.74482	6.98408	3.76565	3.95635
AC002400.1	0	0	0	0
AC002401.1	0	0	0	0
AC002429.1	0	0	0	0
AC002429.4	0	0	0	0
AC002429.5	0.253427	0.156223	0.0478607	0.0955984
AC002451.3	0	0	0	0
AC002454.1	0	0	0	0
AC002456.2	0	0	0	0.299267
AC002463.3	0.0906481	0.121733	0.206568	0.148735
AC002464.1	0	0	0	0
AC002465.2	0	0	0	0
AC002467.7	6.10446	4.20628	4.72405	6.0211
AC002472.11	0.211747	0.611345	0.717759	0.195259
AC002480.2	0	0	0	0
AC002480.3	0	0	0	0.0317843
AC002480.4	0	0	0	0
AC002480.5	0	0	0	0
AC002486.2	0	0	0	0
AC002486.3	0	0	0	0
AC002511.2	0	0	0	0
AC002511.3	0	0	0	0
AC002519.6	0.155925	0.115019	0	0
AC002519.8	0.40517	0.197931	0.227767	0.107959
AC002523.1	0	0	0	0
AC002530.1	0	0	0	0
AC002539.1	0	0	0	0
AC002539.2	0	0	0	0
AC002542.2	0	0	0	0
AC002543.2	0.0952634	0.0351326	0	0
AC002550.5	3.61605	3.95008	4.81212	4.80903
AC002550.6	0.791869	0.287768	0.334722	1.06593
AC002551.1	0.453345	0.71541	0	0.348366
AC002553.4	0	0	0	0
AC002558.1	0	0	0	0
AC002978.1	0	0	0	0
AC002979.1	0	0	0	0
AC002981.1	0	0	0	0
AC002984.2	0	0	0	0
AC002985.3	0	0	0	1.02986
AC003001.1	0	0	0	0
AC003002.4	0	0	0	0.696762
AC003002.6	0	0.178694	0	0
AC003003.5	0.403841	0.513468	0.355196	0.30226
AC003005.2	0.46681	0.170424	1.18319	0.6307
AC003005.4	0	0	0	0
AC003006.1	0	0	0	0
AC003006.7	0	0	0	0
AC003009.1	0	0	0	0
AC003045.1	0	0	0	0
AC003075.4	1.981409	1.700486	1.96314	2.0992
AC003080.4	0.276976	0	0.229527	0.372435
AC003084.2	0	0	0	0
AC003088.1	0.263357	0.576916	0	0
AC003090.1	0	0	0	0
AC003092.1	0.192365	0.140982	0	0.173703
AC003092.2	0	0	0	0
AC003101.1	0.576876	0	0	0
AC003104.1	0.0655633	0.0483139	0	0.0589488
AC003658.1	0	0	0	0
AC003664.1	0.953778	0.660453	0.245266	0.80032
AC003666.1	0	0	0	0
AC003681.1	0	0	0	0
AC003682.16	0	0.22631	0	0
AC003682.17	0	0	0	0
AC003688.1	0	0	0	0
AC003956.1	0.491766	1.07225	1.66295	0.441309
AC003958.2	0.0419869	0.0835579	0.144128	0.0319284
AC003958.6	0	0	0	0
AC003968.1	0	0	0	0
AC003973.1	0	0	0	0
AC003973.3	0.034915	0.025398	0.0849652	0.0624705
AC003973.4	0	0.106979	0	0.337633
AC003973.5	0	0	0	0
AC003984.1	0	0	0	0
AC003985.1	0	0	0	0
AC003986.5	0	0	0	0
AC003986.6	0.0546726	0.0401854	0	0
AC003986.7	0	0	0.135852	0
AC003988.1	0	0	0	0
AC003989.3	0	0	0	0
AC003989.4	0	0	0	0
AC003991.3	3.421748	3.836673	3.803421	4.759013
AC004000.1	0	0	0	0
AC004000.2	0	0	0	0
AC004004.2	0	0	0	0
AC004006.2	0	0	0	0
AC004009.1	0	0	0	0
AC004009.2	0	0	0	0
AC004009.3	0	0	0	0
AC004012.1	0	0	0	0
AC004014.3	0	0	0	0
AC004016.1	0	0	0	0
AC004019.10	0.232301	0	0.0656298	0.0694609
AC004019.13	0.670683	0.75822	0.546611	0.530043
AC004022.7	0	0	0	0
AC004022.8	0	0	0	0
AC004051.2	0	0	0	0
AC004052.1	0	0	0	0
AC004053.1	0.137078	0.152202	0.132893	0.205737
AC004053.2	0	0	0	0
AC004054.1	0	0	0	0
AC004057.1	239.271	228.562	325.138	453.927
AC004062.2	0	0	0	0
AC004063.1	0	0.589424	0.367373	0.796082
AC004066.2	0	0	0	0
AC004066.3	0	0	0	0
AC004067.5	0.658517	0.483687	1.65533	0.298815
AC004069.1	0.0939322	0.0688582	0.153924	0.168348
AC004069.2	2.39884	2.15022	3.95424	3.54939
AC004070.1	0	0	0	0
AC004074.4	0	0	0	0
AC004076.5	0.293289	0.331757	0.224636	0.250268
AC004076.7	8.23553	9.20905	8.9761	8.15389
AC004076.9	0.663964	0	0.336803	0.282073
AC004079.1	0	0	0	0
AC004108.1	0	0	0	0
AC004112.4	0	0	0	0
AC004125.3	0	0	0	0
AC004129.7	0	0.637663	0	0.793515
AC004129.9	0	0.121637	0	0
AC004156.3	0.978421	1.61552	1.16654	1.32867
AC004158.1	0	0	0	0
AC004158.3	0.124572	0.329038	0.218224	0.113259
AC004159.1	0	0.141123	0	0
AC004160.4	0	0	0	0
AC004221.2	0.220645	0.079645	0.186202	0.294271
AC004231.2	3.9834	4.14032	1.97249	1.66085
AC004237.1	0	0	0	0.243571
AC004257.1	1.22645	0	0	0
AC004381.6	9.93293	9.95727	15.67269	13.51166040372
AC004381.7	0.115947	0	0	0
AC004383.3	0	0	2.17568	0.769836
AC004386.3	0	0	0	0
AC004386.4	0.286299	0.210567	0.240712	0.260524
AC004448.2	0	0	0	0
AC004448.5	0.143571	0	0	0.128524
AC004449.6	0.996953	0.723452	1.40192	1.48257
AC004453.1	0	0	0	0
AC004453.8	1.97201	1.43136	2.61571	2.33156
AC004458.1	0	0	0	0
AC004460.1	0	0	0	0
AC004461.4	0	0	0	0
AC004470.1	0	0	0	0
AC004471.10	0.286193	0.441808	0.255872	0.308217
AC004471.9	0.185777	0.400173	0.155747	0.646764
AC004477.1	0	0	0	0
AC004485.3	0	0	0	0
AC004490.1	0.216965	0.235667	0.118929	0.130165
AC004492.1	0	0	0	0
AC004510.3	0	0.09995	0	0
AC004520.1	0	0	0	0
AC004535.2	0	0	0	0
AC004538.3	0.218496	0.194894546635	0	0.0871714
AC004540.4	3.254654	1.87698	4.198562	4.357641
AC004540.5	0.897425	0.75700414	1.210642486	0.69722
AC004541.1	0	0	0	0
AC004543.1	0	0	0	0
AC004543.2	0	0	0.383946	0
AC004549.6	0.237195	0.114806	0.133463	0.142481
AC004552.1	0	0	0	0
AC004593.3	0	0	0	0
AC004595.1	0	0	0	0
AC004603.4	0	0	0	0
AC004623.2	0	0	1.2921	0
AC004623.3	2.1104	1.91897	2.21257	2.16383
AC004637.1	0	0	0	0
AC004655.1	0	0	0	0
AC004656.1	0	0	0	0
AC004673.1	0	0	0	0
AC004691.1	0	0	0	0
AC004691.5	0	0	0	0
AC004692.4	0	0	0	0
AC004692.5	0	0.25928	0	0
AC004699.1	0	0	0	0
AC004702.2	0	0	0	0
AC004744.3	0	0	0	0
AC004745.1	0	0	0	0
AC004754.3	1.1526	0.409299	0.292212	0.370749
AC004769.1	0	0	0	0
AC004775.5	0	0.117247	0	0.142853
AC004791.2	0	0	0	0
AC004812.1	0	0	0	0
AC004813.1	43.7986	39.3739	36.4363	22.8837
AC004816.1	0	0	0	0
AC004819.1	0	0	0	0
AC004824.1	0	0	0	0
AC004824.2	0	0	0	0
AC004832.1	0	0	0	0
AC004837.1	0	0	0	0
AC004837.3	0.17654	0	0	0
AC004837.4	0	0	0	0
AC004837.5	0	0	0.263569	0.143581
AC004840.8	0	0	0	0
AC004846.1	0	0	0	0
AC004850.1	0	0	0	0
AC004853.1	0	0	0	0
AC004854.4	2.82459	1.36862	2.47659	1.68985
AC004854.5	0	0	0	0
AC004862.6	0.0578892	0	0.0968317	0.0556357
AC004866.1	0	0	0	0
AC004866.3	0	0	0	0
AC004869.2	0	0	0	0
AC004869.3	0	0	0	0
AC004870.3	0	0	0	0
AC004870.4	0	0	0	0
AC004870.5	0	0	0	0
AC004875.1	0	0	0	0
AC004878.2	0	0	0	0
AC004878.8	0	0	0	0
AC004893.10	0.0655345	0.144008	0.109116	0.294207
AC004893.11	5.7364	3.71383	3.69547	4.80955
AC004895.1	0	0	0	0
AC004895.4	0.218232	0	0.183349	0.195658
AC004899.3	0	0.0425425	0	0
AC004901.1	0	0	0	0
AC004906.3	0	0	0	0
AC004911.2	0	0.075105	0.177126	0
AC004915.1	0	0	0	0
AC004920.2	0	0	0	0
AC004920.3	0	0	0	0
AC004924.1	0	0	0	0
AC004932.1	0	0	0	0
AC004938.5	0.708492	0	0.598815	0.635647
AC004941.3	0.260487	0.252969	0.260626	0.285785
AC004941.5	0	0	0	0
AC004943.1	0	0	0	0
AC004945.1	0	0	0	0
AC004946.1	0	0	0	0
AC004947.2	0	0	0.131348	0.0849926
AC004951.5	0.728801	1.03635	1.17104	0.749576
AC004951.6	6.55225	5.42546	4.44849	5.07053
AC004953.1	3.27704	0.221243	2.05731	2.20569
AC004967.7	10.9141	14.1845	9.9291	11.021
AC004969.1	0	0	0	0
AC004980.1	0	0	0	0
AC004980.10	0.362892	0.518739	0.300327	0.688553
AC004980.7	2.78922	2.24881	2.16289	3.89566
AC004980.8	0	3.15259	0	0
AC004980.9	4.36861	2.84915	2.4883	2.76076
AC004984.1	0	0	0	0
AC004985.12	0.132728	0.618583	0.32882	0.418853
AC004987.10	0	0	0	0
AC004987.9	0	0	0	0
AC004988.1	0.353389	0.366045	0.279057	0.254083
AC005000.1	0	0	0	0
AC005008.2	0	0	0	0
AC005008.3	0	0.147502	0	0.365444
AC005009.1	0	0.80142	0	0
AC005009.2	0	0	0	0
AC005013.5	0	0	0.32935	0.348771
AC005014.5	0.0272502	0.0197127	0.0226651	0.0242384
AC005017.2	0	0.202195	0	0.741785
AC005019.2	0.350869	0.256841	0	0
AC005019.3	0	0	0	0
AC005020.1	0	0	0	0
AC005024.1	0	0	0	0
AC005027.3	0	0	0	0
AC005033.6	0	0	0	0
AC005034.2	0	0	0	0
AC005037.1	0	0	0	0
AC005037.3	2.74909	4.18398	3.44373	2.55673
AC005040.3	0	0	0	0
AC005041.11	0	0	0	0
AC005042.1	0	0	0	0
AC005042.2	0.126951	0.370721	0.105454	0
AC005042.3	0	0	0	0
AC005042.4	1.179954	1.052541	0.783369	1.111878
AC005042.5	0	0	0	0
AC005048.1	0	0	0	0
AC005052.1	0	0	0	0
AC005062.2	0.900744	1.206176	0.36998	0.340121
AC005071.1	0	0	0	0
AC005071.2	0	0	0	0
AC005071.3	0	0	0	0
AC005071.4	0	0	0	0
AC005076.5	1.52831	1.52186	2.1093	1.51099
AC005077.14	0.341618	0.330844	0.401432	0.395584
AC005077.5	0	0	0	0
AC005077.7	0	0	0	0
AC005077.8	0	0	0.370857	0
AC005077.9	0	0	0	0
AC005082.1	0	0	0	0
AC005082.12	0	0	0.0736221	0.0390496
AC005083.1	2.42208	2.55093	1.88724	0.815793
AC005086.1	0	0	1.18702	1.38876
AC005086.2	0	0	0	0
AC005086.3	0	0	0	6.99024
AC005088.1	0	0	0	0
AC005094.2	0.456847	0.332039	0	0
AC005102.1	0	0	0.242677	0
AC005104.3	1.04009	0.772357	2.86192	3.39002
AC005105.2	0	0	0	0
AC005150.1	0.454754	1.70199	0.472574	0.824271
AC005150.2	0	0	0	0
AC005150.3	0	0	0	0
AC005152.3	0	0	0	0
AC005154.6	28.59349654	28.037236	25.305939	18.785149
AC005154.7	2.5044	2.20593	1.93563	2.20633
AC005154.8	0	0	0	0.188375
AC005158.1	0	0	0	0
AC005159.1	0	0	0	0
AC005160.3	0	0	0	0
AC005162.4	0	0	0	0
AC005162.5	0	0	0	0
AC005176.1	0	0	0	0
AC005176.2	0.207677	0.352773	0.200764	0
AC005176.3	0	0	0	0
AC005178.1	0	0	0	0
AC005187.1	0	0	0	0
AC005189.6	0	0	0	0
AC005197.2	0.48352	1.26025	1.32652	1.11993
AC005204.1	0	0	0	0
AC005215.1	0	0	0	0
AC005220.3	0.4543	0.248336	0.191843	0.204781
AC005224.2	0.778472	0.492769	0.472852	0.328046
AC005227.1	0	0	0	0
AC005229.1	0	0	0	0
AC005229.5	0	0	0	0
AC005229.7	0	0.245905	0	0
AC005235.1	0.231463	0.17271	0.294308	0.38313
AC005237.2	0	0	0	0
AC005237.4	0.214759	0.155458	0	0
AC005251.3	0.412027	0.305905	1.35875	0.376082
AC005253.2	7.20908	5.3999	4.61947	5.57846
AC005253.4	0	0	0	0
AC005255.3	0	0	0	0
AC005255.5	0	0	0	0
AC005255.6	0	0	0	0
AC005256.1	0	0	0	0
AC005262.2	0	0	0	0
AC005262.3	0	0.705773	0.547893	0.543056
AC005262.4	0	0	0	0
AC005264.2	0	0	0	0
AC005276.1	2.47212	1.26689	2.42996	2.88925
AC005281.1	0	0	0	0
AC005281.2	0.254524	0.263583	0.264515	0
AC005284.1	0	0	0	0
AC005284.2	0	0	0	0
AC005288.1	0	0	0	0
AC005300.5	0	0	0.386828	0.41148
AC005301.8	0.905482	0.496006	0.577518	0.478883
AC005304.1	0	0	0	0
AC005306.3	3.32451	3.81596	1.7516	2.44535
AC005307.1	0.114004	0	0	0
AC005307.3	0.0542757	0.0393528	0.0893038	0.16874
AC005324.6	0.13273	0	0	0
AC005324.7	0	0	0	0
AC005329.7	1.21865	1.07948	1.02074	1.05579
AC005330.2	0	0.0516052	0	0
AC005336.4	1.13575	1.18114	1.73295	2.05745
AC005336.5	0	0	0.0879926	0
AC005339.1	0	0	0	0
AC005339.2	0	0	1.08432	0.00574814
AC005351.1	0	0	0	0
AC005355.1	0	0	0	0
AC005355.2	3.16832	3.19828	4.31789	5.03762
AC005355.3	0.287092	0.424122	0.236105	0.257352
AC005357.1	0	0	0	0
AC005358.3	0	0	0	0
AC005363.11	0	0	2.97712	1.58012
AC005363.9	12.6986	14.3978	19.3236	18.233
AC005371.1	0	0	0	0
AC005375.1	0	0	0	0
AC005387.2	1.2347	0.671476	0.514587	1.11677
AC005387.3	1.51387	0.733525	0	1.35854
AC005391.2	0	0.434997	0	0.537097
AC005392.13	0	0	0	0
AC005394.1	0	0	0	0
AC005412.1	0	0	0	0
AC005477.1	0.182797	0.314818	0	0
AC005480.1	1.13574	0.557857	1.97972	2.12593
AC005481.5	0.0226988	0.0164225	0	0
AC005487.2	0	0	0	0
AC005488.11	0.0393698	0	0.0592621	0.0380415
AC005498.1	0	0	0	0
AC005498.3	0	0	0	0
AC005498.4	0	0	0	0
AC005513.1	0	0	0	0
AC005514.2	0	0	0	0
AC005517.3	0.281537	0.817115	0.69661	0.995173
AC005518.2	0	0	0	0
AC005519.4	3.98518	3.15796	3.07122	3.5028
AC005522.6	0	0	0	0
AC005522.7	0	0.086591	0	0
AC005523.2	12.176	13.8004	11.4689	13.3061
AC005523.3	0.324665	0	0.82518	0
AC005532.5	0	0.234303	0	0
AC005534.6	0.340921	0.743404	0.280715	0.603187
AC005534.8	0.189815	0.257184	0.152892	0
AC005537.2	0	0.0599305	0	0
AC005538.1	0	0	0	0
AC005538.3	3.11916	1.02367	6.97375	4.61507
AC005538.5	0	0	0	0
AC005539.2	0	0	0	0
AC005540.1	0	0	0	0
AC005540.3	0.146023	0.317007	0.389819	0.383331
AC005546.2	0.408835	0.296926	1.02286	0.364984
AC005549.1	0	0	0	0
AC005549.2	0	0	0	0
AC005550.3	0	0	0	0
AC005550.5	0	0	0	0
AC005559.3	0.10557	0.0719576	0.0953668	0
AC005562.1	0.106661	0.0578001	0.0406326	0.0760634
AC005562.2	0	0	0	0
AC005578.3	0.185852	0.202992	0.1587	0.251589
AC005588.2	0	0	0	0
AC005592.1	0	0	0	0
AC005592.2	0.227722	0.292198	0	0
AC005592.3	0	0	0	0
AC005593.2	0.463288	0	0	0.206977
AC005597.1	0	0	0	0
AC005599.1	0	0	0	0
AC005606.14	6.39098	6.48923	3.2988	5.78197
AC005606.15	9.48857	3.44698	7.42423	9.18176
AC005609.16	0.0135658	0.2711793	0.415718	0.273571
AC005609.17	3.01223	2.39822	0.227956	0.834603
AC005609.18	1.89568	2.27997	0.545421	1.93975
AC005609.19	0	0.00539337	0	0
AC005609.2	0	0	0	0
AC005609.20	0.538313	0.547837	0.292428	2.0312
AC005614.3	0.470885	0.292877	0.358587	0.313545
AC005614.5	2.23025	4.54437	0.254143	1.22126
AC005616.1	0	0	0	0
AC005616.2	1.14492	1.14138	1.31512	1.14315
AC005618.6	1.974394	2.41016	2.57779	1.597735
AC005618.8	2.59279e-07	2.7917	1.68937	0.576009
AC005618.9	0.155091	0	0	0
AC005621.1	0	0	0	0
AC005624.2	0.897758	0.65624	1.15885	1.20847
AC005625.1	1.34462	0.837913	0.449674	0.457337
AC005626.3	0	0	0	0
AC005631.1	0	0	0	0
AC005668.1	0	0	0	0
