Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id.84.x	gene_type.84.x	chr.x	start.x	stop.x	loc.84.x	gene_name.107.x	gene_type.107.x	chr.107.x	start.107.x	stop.107.x	loc.107.x	gene_id.107.x	gene_id.84.y	gene_type.84.y	chr.y	start.y	stop.y	loc.84.y	gene_name.107.y	gene_type.107.y	chr.107.y	start.107.y	stop.107.y	loc.107.y	gene_id.107.y
ADAM7	191.803448970146	1.86844010476375	0.311033174436697	6.00720520615727	1.88748564247792e-09	1.37962403952306e-07	ENSG00000069206	protein_coding	chr8	24440930	24526970	chr8:24440930	ADAM7	protein_coding	chr8	24440930	24526970	chr8:24440930	ENSG00000069206	ENSG00000069206	protein_coding	chr8	24440930	24526970	chr8:24440930	ADAM7	protein_coding	chr8	24440930	24526970	chr8:24440930	ENSG00000069206
ADAM9	4110.84230747345	0.766723794740907	0.191855793757658	3.99635465640091	6.4325344124974e-05	0.00188069862060305	ENSG00000168615	protein_coding	chr8	38996869	39105144	chr8:38996869	ADAM9	protein_coding	chr8	38996754	39105445	chr8:38996754	ENSG00000168615	ENSG00000168615	protein_coding	chr8	38996869	39105144	chr8:38996869	ADAM9	protein_coding	chr8	38996754	39105445	chr8:38996754	ENSG00000168615
ADCY1	1276.62183508334	-1.05515264659336	0.20612238261702	-5.11905904248088	3.0706382758244e-07	1.60025710749157e-05	ENSG00000164742	protein_coding	chr7	45574140	45723116	chr7:45574140	ADCY1	protein_coding	chr7	45574140	45723116	chr7:45574140	ENSG00000164742	ENSG00000164742	protein_coding	chr7	45574140	45723116	chr7:45574140	ADCY1	protein_coding	chr7	45574140	45723116	chr7:45574140	ENSG00000164742
ADD3	6719.88456410508	-1.47524544795075	0.198561476139499	-7.42966599882813	1.08872238089835e-13	1.39114526448123e-11	ENSG00000148700	protein_coding	chr10	109996368	110135565	chr10:109996368	ADD3	protein_coding	chr10	109996368	110135565	chr10:109996368	ENSG00000148700	ENSG00000148700	protein_coding	chr10	109996368	110135565	chr10:109996368	ADD3	protein_coding	chr10	109996368	110135565	chr10:109996368	ENSG00000148700
ADH1C	133.042330267085	2.73116994989762	0.373520565543782	7.31196673447285	2.6326029466806e-13	3.22073764753477e-11	ENSG00000248144	protein_coding	chr4	99336492	99353027	chr4:99336492	ADH1C	protein_coding	chr4	99336497	99352746	chr4:99336497	ENSG00000248144	ENSG00000248144	protein_coding	chr4	99336492	99353027	chr4:99336492	ADH1C	protein_coding	chr4	99336497	99352746	chr4:99336497	ENSG00000248144
ADORA1	144.149225881229	-1.08007276936653	0.349000791590237	-3.09475736271295	0.00196973962335638	0.0314902766477271	ENSG00000163485	protein_coding	chr1	203090654	203167405	chr1:203090654	ADORA1	protein_coding	chr1	203090654	203167405	chr1:203090654	ENSG00000163485	ENSG00000163485	protein_coding	chr1	203090654	203167405	chr1:203090654	ADORA1	protein_coding	chr1	203090654	203167405	chr1:203090654	ENSG00000163485
ADRB1	172.041496119646	1.06041296094642	0.328674942948964	3.22632735988967	0.0012538985156914	0.0222528285963752	ENSG00000043591	protein_coding	chr10	114044056	114046908	chr10:114044056	ADRB1	protein_coding	chr10	114043866	114046904	chr10:114043866	ENSG00000043591	ENSG00000043591	protein_coding	chr10	114044056	114046908	chr10:114044056	ADRB1	protein_coding	chr10	114043866	114046904	chr10:114043866	ENSG00000043591
AEN	1908.39617653657	0.748801032624782	0.198467850742183	3.77290845758944	0.000161355502906225	0.00399337507192595	ENSG00000181026	protein_coding	chr15	88621296	88632282	chr15:88621296	AEN	protein_coding	chr15	88621337	88632281	chr15:88621337	ENSG00000181026	ENSG00000181026	protein_coding	chr15	88621296	88632282	chr15:88621296	AEN	protein_coding	chr15	88621337	88632281	chr15:88621337	ENSG00000181026
AFF3	1737.67259966952	1.61271966178498	0.234639610208962	6.87317738189533	6.27874114682192e-12	6.22461406797001e-10	ENSG00000144218	protein_coding	chr2	99545419	100142739	chr2:99545419	AFF3	protein_coding	chr2	99545419	100192428	chr2:99545419	ENSG00000144218	ENSG00000144218	protein_coding	chr2	99545419	100142739	chr2:99545419	AFF3	protein_coding	chr2	99545419	100192428	chr2:99545419	ENSG00000144218
AGR2	328.519647870597	1.36898291611594	0.287984888238042	4.75366233447767	1.99764567189049e-06	9.16473080854014e-05	ENSG00000106541	protein_coding	chr7	16791811	16833433	chr7:16791811	AGR2	protein_coding	chr7	16791811	16833433	chr7:16791811	ENSG00000106541	ENSG00000106541	protein_coding	chr7	16791811	16833433	chr7:16791811	AGR2	protein_coding	chr7	16791811	16833433	chr7:16791811	ENSG00000106541
AHNAK	4584.08989380179	0.828092502352858	0.206621078748164	4.00778326862847	6.12913264305627e-05	0.00181350837208783	ENSG00000124942	protein_coding	chr11	62433542	62556235	chr11:62433542	AHNAK	protein_coding	chr11	62433542	62556235	chr11:62433542	ENSG00000124942	ENSG00000124942	protein_coding	chr11	62433542	62556235	chr11:62433542	AHNAK	protein_coding	chr11	62433542	62556235	chr11:62433542	ENSG00000124942
AK4	8087.92952431161	0.63048354458802	0.181400820650287	3.47563777455833	0.000509640137083147	0.010579172520679	ENSG00000162433	protein_coding	chr1	65147549	65232145	chr1:65147549	AK4	protein_coding	chr1	65147549	65232145	chr1:65147549	ENSG00000162433	ENSG00000162433	protein_coding	chr1	65147549	65232145	chr1:65147549	AK4	protein_coding	chr1	65147549	65232145	chr1:65147549	ENSG00000162433
AKAP1	4706.46678828452	0.71798438899391	0.203231208338321	3.53284515141333	0.000411113193158232	0.00888684534082644	ENSG00000121057	protein_coding	chr17	57085092	57121349	chr17:57085092	AKAP1	protein_coding	chr17	57085092	57121346	chr17:57085092	ENSG00000121057	ENSG00000121057	protein_coding	chr17	57085092	57121349	chr17:57085092	AKAP1	protein_coding	chr17	57085092	57121346	chr17:57085092	ENSG00000121057
ALB	220.787636947704	-0.971949562419932	0.29993009036828	-3.24058703555381	0.00119283851622049	0.0213892561380493	ENSG00000163631	protein_coding	chr4	73397114	73421412	chr4:73397114	ALB	protein_coding	chr4	73397114	73421482	chr4:73397114	ENSG00000163631	ENSG00000163631	protein_coding	chr4	73397114	73421412	chr4:73397114	ALB	protein_coding	chr4	73397114	73421482	chr4:73397114	ENSG00000163631
ALDH1A1	420.592282525271	1.06552943226045	0.246716272664435	4.31884537145915	1.56847622513848e-05	0.000560170080406602	ENSG00000165092	protein_coding	chr9	72900662	73080442	chr9:72900662	ALDH1A1	protein_coding	chr9	72900671	73080442	chr9:72900671	ENSG00000165092	ENSG00000165092	protein_coding	chr9	72900662	73080442	chr9:72900662	ALDH1A1	protein_coding	chr9	72900671	73080442	chr9:72900671	ENSG00000165092
ALDH1A3	1252.80537329942	0.634126235748097	0.200557869717861	3.16181178350252	0.00156790870509871	0.0265863769089033	ENSG00000184254	protein_coding	chr15	100877714	100916626	chr15:100877714	ALDH1A3	protein_coding	chr15	100877714	100916626	chr15:100877714	ENSG00000184254	ENSG00000184254	protein_coding	chr15	100877714	100916626	chr15:100877714	ALDH1A3	protein_coding	chr15	100877714	100916626	chr15:100877714	ENSG00000184254
ANGPT2	116.567323076451	3.6213706647804	0.429029302311343	8.44084691947778	3.15046526431307e-17	5.78143891589366e-15	ENSG00000091879	protein_coding	chr8	6499651	6563409	chr8:6499651	ANGPT2	protein_coding	chr8	6499632	6563409	chr8:6499632	ENSG00000091879	ENSG00000091879	protein_coding	chr8	6499651	6563409	chr8:6499651	ANGPT2	protein_coding	chr8	6499632	6563409	chr8:6499632	ENSG00000091879
ANKH	3834.12172073177	1.05817097045048	0.192295864308815	5.50282750101752	3.73748067230724e-08	2.2542497061993e-06	ENSG00000154122	protein_coding	chr5	14704804	14871778	chr5:14704804	ANKH	protein_coding	chr5	14704800	14871778	chr5:14704800	ENSG00000154122	ENSG00000154122	protein_coding	chr5	14704804	14871778	chr5:14704804	ANKH	protein_coding	chr5	14704800	14871778	chr5:14704800	ENSG00000154122
ANKHD1-EIF4EBP3	658.742807239585	1.20119767512273	0.261256690289304	4.59776809463742	4.27040938064532e-06	0.000180462601866352	ENSG00000254996	protein_coding	chr5	140401908	140549569	chr5:140401908	ANKHD1-EIF4EBP3	protein_coding	chr5	140401908	140549569	chr5:140401908	ENSG00000254996	ENSG00000254996	protein_coding	chr5	140401908	140549569	chr5:140401908	ANKHD1-EIF4EBP3	protein_coding	chr5	140401908	140549569	chr5:140401908	ENSG00000254996
ANTXR1	1176.53122796691	-0.920831796508544	0.234583494738937	-3.92539039259057	8.65891914844257e-05	0.00236713716815585	ENSG00000169604	protein_coding	chr2	69013178	69249327	chr2:69013178	ANTXR1	protein_coding	chr2	69013176	69249327	chr2:69013176	ENSG00000169604	ENSG00000169604	protein_coding	chr2	69013178	69249327	chr2:69013178	ANTXR1	protein_coding	chr2	69013176	69249327	chr2:69013176	ENSG00000169604
ANXA2	42.8246578200023	3.21509237621121	0.626340795451857	5.13313582566782	2.84954108290468e-07	1.50780931534067e-05	ENSG00000182718	protein_coding	chr15	60347134	60402883	chr15:60347134	ANXA2	protein_coding	chr15	60347134	60402883	chr15:60347134	ENSG00000182718	ENSG00000182718	protein_coding	chr15	60347134	60402883	chr15:60347134	ANXA2	protein_coding	chr15	60347134	60402883	chr15:60347134	ENSG00000182718
APLN	654.821235461955	0.740708542191545	0.22927111673612	3.23071022960151	0.00123483057627841	0.0219370004539676	ENSG00000171388	protein_coding	chrX	129645259	129654937	chrX:129645259	APLN	protein_coding	chrX	129645259	129654956	chrX:129645259	ENSG00000171388	ENSG00000171388	protein_coding	chrX	129645259	129654937	chrX:129645259	APLN	protein_coding	chrX	129645259	129654956	chrX:129645259	ENSG00000171388
APPBP2	2926.59997953579	0.954827448561427	0.200940792803631	4.75178501706484	2.01628688813225e-06	9.22571586744864e-05	ENSG00000062725	protein_coding	chr17	60443149	60526219	chr17:60443149	APPBP2	protein_coding	chr17	60443158	60526242	chr17:60443158	ENSG00000062725	ENSG00000062725	protein_coding	chr17	60443149	60526219	chr17:60443149	APPBP2	protein_coding	chr17	60443158	60526242	chr17:60443158	ENSG00000062725
AR	9692.55817686084	-0.969365547269673	0.210852685232007	-4.59735927101451	4.27879444425148e-06	0.000180462601866352	ENSG00000169083	protein_coding	chrX	67544032	67730619	chrX:67544032	AR	protein_coding	chrX	67544021	67730619	chrX:67544021	ENSG00000169083	ENSG00000169083	protein_coding	chrX	67544032	67730619	chrX:67544032	AR	protein_coding	chrX	67544021	67730619	chrX:67544021	ENSG00000169083
ARAP2	239.605480790722	1.10949265935333	0.328539701707275	3.37704287666846	0.000732696277803434	0.0143299442087406	ENSG00000047365	protein_coding	chr4	35948221	36244509	chr4:35948221	ARAP2	protein_coding	chr4	35948221	36244514	chr4:35948221	ENSG00000047365	ENSG00000047365	protein_coding	chr4	35948221	36244509	chr4:35948221	ARAP2	protein_coding	chr4	35948221	36244514	chr4:35948221	ENSG00000047365
ARF4	9622.05765226833	0.7059859683466	0.181335085266192	3.89326735810803	9.89030476399779e-05	0.00265744170060688	ENSG00000168374	protein_coding	chr3	57571363	57598220	chr3:57571363	ARF4	protein_coding	chr3	57571363	57598220	chr3:57571363	ENSG00000168374	ENSG00000168374	protein_coding	chr3	57571363	57598220	chr3:57571363	ARF4	protein_coding	chr3	57571363	57598220	chr3:57571363	ENSG00000168374
ARFGAP3	2836.21391460026	1.01974841289572	0.191339362040449	5.32952761011165	9.84685505838489e-08	5.58019074295532e-06	ENSG00000242247	protein_coding	chr22	42796502	42858106	chr22:42796502	ARFGAP3	protein_coding	chr22	42796502	42858106	chr22:42796502	ENSG00000242247	ENSG00000242247	protein_coding	chr22	42796502	42858106	chr22:42796502	ARFGAP3	protein_coding	chr22	42796502	42858106	chr22:42796502	ENSG00000242247
ARHGAP26	612.242670599044	0.810384226260965	0.251451498795908	3.22282519746967	0.0012693298980686	0.0224573751196751	ENSG00000145819	protein_coding	chr5	142770384	143229011	chr5:142770384	ARHGAP26	protein_coding	chr5	142770377	143229011	chr5:142770377	ENSG00000145819	ENSG00000145819	protein_coding	chr5	142770384	143229011	chr5:142770384	ARHGAP26	protein_coding	chr5	142770377	143229011	chr5:142770377	ENSG00000145819
ARHGAP28	1800.37434287831	1.78414416469546	0.244507166645049	7.2968992654743	2.94475092845067e-13	3.55223451159259e-11	ENSG00000088756	protein_coding	chr18	6729718	6915716	chr18:6729718	ARHGAP28	protein_coding	chr18	6729716	6915716	chr18:6729716	ENSG00000088756	ENSG00000088756	protein_coding	chr18	6729718	6915716	chr18:6729718	ARHGAP28	protein_coding	chr18	6729716	6915716	chr18:6729716	ENSG00000088756
ARHGEF26	9830.02035819219	-0.659063860449325	0.180176806335217	-3.65787291857723	0.000254317079700664	0.00586493265352467	ENSG00000114790	protein_coding	chr3	154121003	154257827	chr3:154121003	ARHGEF26	protein_coding	chr3	154121003	154257827	chr3:154121003	ENSG00000114790	ENSG00000114790	protein_coding	chr3	154121003	154257827	chr3:154121003	ARHGEF26	protein_coding	chr3	154121003	154257827	chr3:154121003	ENSG00000114790
ASAH1	6496.33589470208	0.634834363037674	0.184990346532072	3.43171616756559	0.000599774919873848	0.0120724823428517	ENSG00000104763	protein_coding	chr8	18056425	18084985	chr8:18056425	ASAH1	protein_coding	chr8	18055992	18084998	chr8:18055992	ENSG00000104763	ENSG00000104763	protein_coding	chr8	18056425	18084985	chr8:18056425	ASAH1	protein_coding	chr8	18055992	18084998	chr8:18055992	ENSG00000104763
ASAP2	567.456415213134	-0.895310023237553	0.295653058991942	-3.02824542485777	0.00245978229526217	0.0370255188422971	ENSG00000151693	protein_coding	chr2	9206765	9405683	chr2:9206765	ASAP2	protein_coding	chr2	9206765	9405683	chr2:9206765	ENSG00000151693	ENSG00000151693	protein_coding	chr2	9206765	9405683	chr2:9206765	ASAP2	protein_coding	chr2	9206765	9405683	chr2:9206765	ENSG00000151693
ASIC1	543.962089401402	-0.855565420193719	0.241770056836673	-3.53875674840782	0.000402016122011745	0.008719370252054	ENSG00000110881	protein_coding	chr12	50057548	50083611	chr12:50057548	ASIC1	protein_coding	chr12	50057548	50083611	chr12:50057548	ENSG00000110881	ENSG00000110881	protein_coding	chr12	50057548	50083611	chr12:50057548	ASIC1	protein_coding	chr12	50057548	50083611	chr12:50057548	ENSG00000110881
ASRGL1	790.31793471785	1.97214827181871	0.239970100373368	8.2183083173706	2.06393795433602e-16	3.59625552649458e-14	ENSG00000162174	protein_coding	chr11	62337448	62393412	chr11:62337448	ASRGL1	protein_coding	chr11	62337448	62393412	chr11:62337448	ENSG00000162174	ENSG00000162174	protein_coding	chr11	62337448	62393412	chr11:62337448	ASRGL1	protein_coding	chr11	62337448	62393412	chr11:62337448	ENSG00000162174
ATG101	2669.74097796782	1.20699372619298	0.228940758566295	5.27207882839029	1.34887115717219e-07	7.55455437052606e-06	ENSG00000123395	protein_coding	chr12	52069246	52077494	chr12:52069246	ATG101	protein_coding	chr12	52069246	52077495	chr12:52069246	ENSG00000123395	ENSG00000123395	protein_coding	chr12	52069246	52077494	chr12:52069246	ATG101	protein_coding	chr12	52069246	52077495	chr12:52069246	ENSG00000123395
ATG13	2941.72631527074	0.602707169937394	0.18884096804642	3.191612371894	0.00141481064564292	0.0244299135508913	ENSG00000175224	protein_coding	chr11	46617527	46674818	chr11:46617527	ATG13	protein_coding	chr11	46617527	46674818	chr11:46617527	ENSG00000175224	ENSG00000175224	protein_coding	chr11	46617527	46674818	chr11:46617527	ATG13	protein_coding	chr11	46617527	46674818	chr11:46617527	ENSG00000175224
ATP10A	278.764339164993	1.07960371374192	0.283828403433109	3.80371978520591	0.000142539411547534	0.00360652775472782	ENSG00000206190	protein_coding	chr15	25677273	25865172	chr15:25677273	ATP10A	protein_coding	chr15	25677273	25865184	chr15:25677273	ENSG00000206190	ENSG00000206190	protein_coding	chr15	25677273	25865172	chr15:25677273	ATP10A	protein_coding	chr15	25677273	25865184	chr15:25677273	ENSG00000206190
ATP1A1	35874.4139778962	2.00782604368706	0.184689513618996	10.8713592035826	1.57831793009937e-27	6.3316242544684e-25	ENSG00000163399	protein_coding	chr1	116372668	116410261	chr1:116372668	ATP1A1	protein_coding	chr1	116372668	116410261	chr1:116372668	ENSG00000163399	ENSG00000163399	protein_coding	chr1	116372668	116410261	chr1:116372668	ATP1A1	protein_coding	chr1	116372668	116410261	chr1:116372668	ENSG00000163399
ATP1B1	6495.29338160945	-0.742485355930698	0.18648055619135	-3.98156982741314	6.84616018190373e-05	0.00196173194581129	ENSG00000143153	protein_coding	chr1	169105697	169132722	chr1:169105697	ATP1B1	protein_coding	chr1	169105697	169310992	chr1:169105697	ENSG00000143153	ENSG00000143153	protein_coding	chr1	169105697	169132722	chr1:169105697	ATP1B1	protein_coding	chr1	169105697	169310992	chr1:169105697	ENSG00000143153
ATP2B1	4333.22065119548	-1.11647668222489	0.207795960381836	-5.37294700134357	7.74601016732171e-08	4.46885201960868e-06	ENSG00000070961	protein_coding	chr12	89588049	89709300	chr12:89588049	ATP2B1	protein_coding	chr12	89588049	89709300	chr12:89588049	ENSG00000070961	ENSG00000070961	protein_coding	chr12	89588049	89709300	chr12:89588049	ATP2B1	protein_coding	chr12	89588049	89709300	chr12:89588049	ENSG00000070961
ATP8A1	204.109931024339	-1.61340177131809	0.328626109572492	-4.9095361698952	9.12920612137933e-07	4.46115596582984e-05	ENSG00000124406	protein_coding	chr4	42408373	42657105	chr4:42408373	ATP8A1	protein_coding	chr4	42408373	42657121	chr4:42408373	ENSG00000124406	ENSG00000124406	protein_coding	chr4	42408373	42657105	chr4:42408373	ATP8A1	protein_coding	chr4	42408373	42657121	chr4:42408373	ENSG00000124406
ATP8B2	871.729469415461	1.58514506513201	0.240139195488987	6.60094268203169	4.08551501793677e-11	3.67057989892757e-09	ENSG00000143515	protein_coding	chr1	154325553	154351307	chr1:154325553	ATP8B2	protein_coding	chr1	154325525	154351304	chr1:154325525	ENSG00000143515	ENSG00000143515	protein_coding	chr1	154325553	154351307	chr1:154325553	ATP8B2	protein_coding	chr1	154325525	154351304	chr1:154325525	ENSG00000143515
B2M	9377.71559393719	1.35426211958443	0.201764588466573	6.71209021303952	1.91856011769011e-11	1.79865011033448e-09	ENSG00000166710	protein_coding	chr15	44711477	44718877	chr15:44711477	B2M	protein_coding	chr15	44711358	44718851	chr15:44711358	ENSG00000166710	ENSG00000166710	protein_coding	chr15	44711477	44718877	chr15:44711477	B2M	protein_coding	chr15	44711358	44718851	chr15:44711358	ENSG00000166710
B3GAT1	132.230242995675	1.18717970955414	0.359723048992839	3.30026033327037	0.000965951785913135	0.0179168476419372	ENSG00000109956	protein_coding	chr11	134378504	134411918	chr11:134378504	B3GAT1	protein_coding	chr11	134378504	134412242	chr11:134378504	ENSG00000109956	ENSG00000109956	protein_coding	chr11	134378504	134411918	chr11:134378504	B3GAT1	protein_coding	chr11	134378504	134412242	chr11:134378504	ENSG00000109956
