7485_IG1_20200906	7485_IG3_20200906	7485_ZX2_20200906	7485_ZX3_20200906	7481_IG1_20200906	7481_IG3_20200906	7481_ZX2_20200906	7481_ZX3_20200906	7486_IG1_20200906	7486_IG3_20200906	7486_ZX2_20200906	7486_ZX3_20200906
AB019441.29	3.17999	1.06219	1.07076	5.29788	2.11057	1.06616	4.23279	1.05152	1.05433	4.2473	3.21717	4.25412
ABALON	73.0778	89.785	86.8457	79.8289	41.5582	46.1294	40.0212	21.7526	56.0463	35.4991	42.0029	42.5869
ABAT	503.99954	403.99962	361	396.000000673998	277	354.00011	441.9999	351	132	150	188	215
ABC11-4932300O16.1	0	0	0	0	0	0	0	0	0	0	0	0
ABC12-47043100G14.2	0	0	0	0	0	0	0	0	0	0	0	0
ABC12-47964100C23.1	0	0	0	0	0	0	0	0	0.940862	0	0	0.931911
ABC12-49244600F4.4	0	0	4.40883	0	0.406728	2.71697	0	0	0	0	0	0
ABC7-42391500H16.4	0	0.260601	0	3.1326	0.0035318	0	0	0	0	0	0	2.25544e-06
ABC7-42404400C24.1	300.579	331.314	188.3948	176.936	162.1292	215.2782	216.0013	217.2819	139.5963	115.1027	85.3164	92.9663
ABC7-42418200C9.1	9.32837	5.8876	7.38682	3.05549	0	6.20442	1.95416	1.0009	5.99824	6.63257e-06	3.85677e-06	2.90886
ABC7-481722F1.1	0	0	0	0	0	0	0	0	0	0	0	0
ABC7-481722F1.2	0	2	0	0	0	0	0	1	0.397548	2	0	0.21918
ABCA1	903	1189.997	515	515.00042	457	553.99988	593	560.99992	128	246	269	294
ABCA10	0	8	6	2	0	1	0	0	2.01968	3.00822	0	0
ABCA11P	120.25391	118.337	86.56726	77.41267	93.41068	90.2041	56.3467	57.7804	90.93285	104.5582	72.49789	61.68014
ABCA12	2	2	2	2	1	4	4	0	2	5	1	2
ABCA13	19.3077	25.4448	16.8106	14.3285	23.0033	34.1932	52.6858	36.018	13.2249	15.0701	10.6057	7.16377
ABCA17P	4	0	2	1	0	0	1	2	1	0	2	6
ABCA2	2540.00175526272	1994.0009397	1376.0000152003	1397.00101175225	1807.00220694715	2042.00000064998	1656.9997	1473.9980322711	1943.00401188889	1953.003933212	1519.9990000158	1680.00072022951
ABCA3	186.02126	163.0332	167.0461	161.0742	34.00608759	40.00001	61	41	359.9996	353.99979	353.0002	364.133100772846
ABCA4	44	32	18.00001	32.99995	15	10	9	15	19.99999	19.99996	17	18.99999
ABCA5	120	121.99983	78	89	65	95.00004	57.99999	52	53	82.00001	75	59
ABCA6	3	5	6	3	2.000001	9	7	8	2	8	2	3
ABCA7	67.00003	61.00001925	72.00004	52	24.0000000735871	29	53	58	35	31	45.00000007431	55.000000313243
ABCA8	3.000004	2	6.40769	4	4.10598	4.01029	6.07859	2.999997	12	20.29751	43.62114	46.34366
ABCA9	9.68877	13.71715	9.07837	7.56683	12.42969	8.7496	11.65592	6.84623	4.2632	3.69704	8.58106	8.32072
ABCA9-AS1	0	0	0	0	0	0	0	0	0	0	0	0
ABCB1	11.2171	8	2	8	1	2	1	0	2	3	0	3
ABCB10	811.952	774	443.99	418.985	592.744	722.828	452.871	379.688	540.903	683.549	389.847	431.944
ABCB10P1	0	0	0	0	1.45664	4.64881	5.71357	9.71515	3.22622	8.20988	5.70482	1.77917
ABCB10P3	5.04789	0	0.0750909	0	0	6.41518	0	14.5968	0	0	6.04765	16.2765
ABCB10P4	3.87318e-06	0	0.93462	1.01487	20.7994	9.10756	17.4153	0	12.8711	19.241	11.4004	0
ABCB11	0	0	0	0	0	0	0	0	0	0	0	0
ABCB4	33.7829	21.00001137664	13	16	5	9	3	4	4	2	1	1
ABCB5	11.69296	13.18365	9.9627	6.45651	16.49545	12.0429	0	22.72874	8.4596	2.58264	6.80542	4.28091
ABCB6	272	204	191	222	269	351	409	349	284	316	271	319
ABCB7	375	355	315.99982	320.9997	370.0007	442.99954	446	389.9996	286.0002	327	338.99985	311.99959
ABCB8	842.0002	707.9996	594.9996	598.0001	558.0006	704.999095	655.9997	548.9997	624.9999	583.9998	461.9997	500.9997
ABCB9	88.271620305559	107.655985339	55.6631	68.810956566	55.00000652368	95.5161	85.696600464684	71.2076200200885	60.50269231	75.43633	81.5408	66.348998
ABCC1	3063.9953	2767	2356.9998	2302.00000002831	2373.0000117545	2843.00000028133	2602.9975	2103	1633.0034	1702.0021	1426.00000016384	1495.997
ABCC10	1191.004	1024	818.9564	894	747.9998	873	885	797	801	749.0002	734	721.9995
ABCC11	4	5	6	5	10	4	7	3	2	2	4	4
ABCC12	1	0	0	1	0	0	0	1	0	0	0	1
ABCC13	0	0	0	0	0	0	0	0	0	0	0	0
ABCC2	24	18	21	16	32	34	32	17	23	15	15	21
ABCC3	263.9995	264	306	278.0001	344	450	767	644	233.0003	224	284.00095	338
ABCC4	1472.00001	1348.99711	1279.5694	1317.20737	995.9996	1287.6567	1402.07639	1214.32385	658.31804	849.64134	898.1124	935.0005
ABCC5	1041.0233	1081.030619038	918.1025	985.0003	725.99911345	845.00907	975.0468	746.999751	674.00021	762.0593	736.0257	759.000146
ABCC5-AS1	1	0	0	0	0	0	0	0	0	0	0	0
ABCC6	22.792	21.64068	13.063571884	9.21992	15.371	11.6801	15.2119	4.52239	14.40300614616	10.0439	14.4608	10.2089
ABCC6P1	2.59715	0	0	0	0	0	0	1	0	0	0	0
ABCC6P2	1.40285	4.20592	1.99923	7	1	0	0	0	1.999994	0	0	4
ABCC8	0	0	0	0	0	0	0	0	0	0	0	0
ABCC9	324.87164	278.09205	241.9186	259.9101	1630.0807	1922.8036	1690.85188	1364.9597	704.5784	722.01733	689.567	627.32425
ABCD1	946.99997	899.99964	572.99955	541	749.9997	843.00031	692.9998	536.99978	881.99957	917.00033	629.99977	677.99952
ABCD1P2	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P3	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P4	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P5	0	0	0	0	0	0	0	0	0	0	0	0
ABCD2	0	1	2	0	0	0	0	0	0	0	0	3
ABCD3	2439.0447	2260.3096	1687.1649	1828.2286	1869.2908	2371.5508	2005.228	1620.0216	1479.745	1787.04214	1482.3127	1619.079
ABCD4	349.0002	342.9997	326.0001	321.9998	230.99978	300	357.00049	308	294.9996	283.99956	308.99976	307.00037
ABCE1	4312.99	4234.97	3788.97	3809.86	2538.99	3522	3107.96	2684.85	2058.99	2901.99	2585.99	2769.97
ABCF1	2978.004	3074.004	2475.997	2802.998	2492.005	2898	2891.9989	2350.001	2107.995	2183.004946	2043.0043	2231.0039
ABCF2	3582.16	3161.92	2896.504	2951.597	2479.837	3140.25	3009.29	2442.881	2337.123	2558.576	2208.437	2535.522
ABCF2P1	0	0	0	0	0	0	0	0	0	0	0	0
ABCF2P2	0	0	0	0	0	0	0	0	0	0	0	0
ABCF3	1720	1607.003	1259.9992	1468.0000427862	1257.999	1424.0049	1426.0032	1186.00000001142	1272.99523479	1322.9986181	1193.996831	1240.003222
ABCG1	1	1	0	0	0	2	2	2	3	0	2	1
ABCG2	9	12	21	16	0	3	2	3	3	4	14	2
ABCG4	7	9	4	3.000004	6	7	5	8	8	6	4	2
ABCG5	0	0	0	0	0	0	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0	0	0	0	0	0	0
ABHD1	1	3	0	0	0	4	2	1	1	0	4	2
ABHD10	846.99999	876	748.9997	779.9996	626.9996	803.0003	731	545.0003	508.0004	648.9999	575.9998	608.0001
ABHD11	216.7658424	185.6195	150.11271	118.96773	132.59536	167.39275	122.9340536325	104.83368	145.7797	139.9513	86.7483	127.07826
ABHD11-AS1	30	26	15	21	10	19	21	12	10	9	12	17
ABHD12	2154.998	2007.002	1706.995	1700.995	2142.995	2555.002	2404.998	2054.003	1398.998	1398.003	1201.0045	1117.9996
ABHD12B	3.00014	2.28851	1.46738	3	6.16615	4.93044	6	6	0	1.1833	2.13089	1.19704
ABHD13	554	523	421	429	368	472	474	387	355	451	410	380
ABHD14A	162.155	176	171.67205	165.00007	191.00039	209	256.99972	207.79795	151	157.03386	138.99977	170.9997
ABHD14A-ACY1	7.11476	0	12.5682	0	0	0	0	23.9998	0	7.48028	0	0
ABHD14B	965.0001	913.82528	860.99975	926.00003	879.99952	991.85157	1229.9993	1107.0007	604.94332	645.9997	821.00009	763.99996176957
ABHD15	625.221	614.304	512.355	464.838	524.613	589.321	561.055	421.448	553.739	534.566	504.394	556.093
ABHD15-AS1	0	0	0	0	0	0	0	0	0	0	0	0
ABHD16A	927.9998	799.00011	848.9998	836.99976	554.00034	684.00044	823	671	782.0004	765.0001	727.9995	688.0001
ABHD16B	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17A	1373.3541	1215.7016	1071.002769	1079.00000879755	924.1809	1048.3037	1046.6895	810.0004	1094.99961	1082.5441	939.883	914.000025
ABHD17AP1	1.40099	2.90117	0	0	1.61388	1.45154	0	0	0	1.4471	0	0
ABHD17AP3	1.12691	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP4	0	1.19004	0	0	0	0	0	0	0	0	0	0
ABHD17AP5	1.1146	1.2102	0	0	0	0	0	0	0	0	0	0
ABHD17AP6	0	0	0	0	2.20457	2.2455	3.31087	0	0	0	1.11659	0
ABHD17AP7	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP8	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP9	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17B	404.217	439.204	257.0395	313.4631	265.5354	284.7101	324.6943	256.6187	238.3328	361.9828	264.3598	245.0142
ABHD17C	192	180.99963	120.999604	123.99958	292	400.0001	316.9999	272.9997	228.9998	302.00011	242	235.00022
ABHD18	209.7125	253.7435	257.8517	210.5104	149.7874	193.99581	250.4798	166.0822	106.2881	151.3594	194.9217	192.6254
ABHD2	5091.54932	4668.26	3789.448	4007.409	3780.0093	4280.17637	3975.62942	3298.4452	1951.1815	2249.24	1998.181	2316.513
ABHD3	133.0001	129.9996	131	134.9998	85	106.00002	100.99998	80	55.00005	60	87	84.00005
ABHD4	1023	1096	792	787	807	937	948	819	645	631.99968	489	530
ABHD5	1285	1333	1418	1291	910	1095	1099	800	762	744	711	751
ABHD6	265.9999	269	256	247	242	252	303.0002	265	220	275.000131721	296	298.9999
ABHD8	139.743	162	68.3991	64.1441	95	94.3705	60.9664	77	105	76.1527	50.3216	66.0996
ABI1	3795.0031	3792.8798	2936.73274	2896.86846076	2373.0001	2965.9998	2718.00851	2264.00205120308	1950.99998	2328.99817	2026.999767271	2065.8314
ABI2	1638.9427	1474.599882	1168.0536	1133.72800003056	1402.79800014685	1847.282	1540.065	1286.0987	1276.143	1608.9215	1482.8819	1379.7210005587
ABI3	76	66	76	81	3	2	4	0	1	1	0	1
ABI3BP	4276	3564.003	3402.001	3563.9999	10473.997	11797.998	9192.002	8436.996	8954.003	9569	7901.002	8164.001
ABL1	6637	6372	5373	5282	3700	4167.003	4129	3360.997	3322.998	3831.999	3134.004	3709.003
ABL2	11780.7947	12200.7142055452	10395.5879	9404.8167	4403.8315563967	5599.5578	5415.46608001815	4096.1059	4112.93949	4867.63832	3873.905913163	4459.67107
ABLIM1	2372.3244	2356.304	2016.013	1819.3051	439.1044	521.3799	509.10921	435.0654	861.128	1047.18923	909.2182	960.6288
ABLIM2	2	5	3.000004	3	2	1	0	1	3	5.000007	0	3.000003
ABLIM3	2260.0027475	1983.9982	1746.0047	1770.9961	1213.9987	1306.0049	1380.0022	1123.99906	891.9999	1050.0000325715	902.997500030022	963.9999
ABO	0	0	0	0	0	0	0	0	0	0	0	0
ABR	5371.1341	4519.0851	3182.9002	3366.30137	2880.00132	3097.26217	2560.80391	2220.2094	3180.89548	3036.5912	2494.8971	2685.6239
ABRA	1.00023	1	2.14674	2	0	1.00054	0	0	0	2.01053	1	3.00673
ABRACL	473	481.00007	453	433	347	407.00007	475	375	358.99972	420	360	388
ABT1	512	545	445	433	374	402	432	341	387	387	331	323
ABT1P1	0	1	1	0	1	0	0	0	0	0	0	0
ABTB1	323.9996	290.9999	238.9999	190.9999	264.9998	283.0002	306.9995	196.9997	158	169	149	142.99993
ABTB2	511	443	332	369	405	444	527	429	245	273	258	249
AC000003.1	0	0	0	0	0	0	0	0	0	0	0	0
AC000029.1	0	0	0	0	0	0	0	0	0	0	0	0
AC000032.2	1.31346	0	0	0	0	1.20569	0	0	0.903839	2.79874	0	0
AC000035.3	0	0	0	0	0	0	0	0	0	0	0	0
AC000036.4	0	1.00006	4	3.0031	1	0	5.0045	1	1.0346	0	0	1
AC000041.10	0	0	0	0	0	1	0	0	0	0	0	0
AC000041.8	4.27319	13.8403	4.36649	7.67899	10.3152	17.1747	16.5707	17.6918	0	6.57399	0	0
AC000067.1	0	0	0	0	0	0	0	0	0	0	0	0
AC000068.10	0	1	0	0	0	0	0	1	0	0	0	0
AC000068.5	7.02347	5.06118	1.00476	2.03243	1.02178	3.05653	2.0304	5.0177	1.00322	1.01812	4.21444	6.02161
AC000068.9	13.5338	16.294	11.1976	8.43494	10.6898	13	7	8	16.9693	6	8	7.79937
AC000077.2	0	0	0	0	0	0	0	0	0	0	0	0
AC000078.5	9	14	5	4	1	6	7	1	0	4	0	0
AC000081.2	0	0	0	0	0	0	0	0	0	0	0	0
AC000089.3	1.02965	1.02553	0	1.03083	0	2.23852	0	0	0	2.56882	3.08363	1.02871
AC000095.11	0	0	0	0	0	0	0	0	0	2	0	0
AC000095.9	0	0	0	0	0	0	0	0	1	0	0	0
AC000099.1	1	0	1	0	1	0	0	0	0	2	0	0
AC000111.3	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.4	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.5	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.6	0	0	0	0	0	0	0	0	0	1	0	0
AC000120.7	2.37589	5.77761	6.31712	7.64622	2.56212	1.07729	4.64631	5.12209	7.09209	0	2.27593	3.91011
AC000123.2	165	126	121	106	105	140	135	109	83.0317	122	119	113
AC000123.3	6	18.3536	11	8	5	6	14	5	10	11.484	14	8
AC000123.4	17	9.64641	5	9	3	18	8	14	9	13.516	14	10
AC000124.1	0	0	0	0	0	0	0	0	0	0	0	0
AC000354.1	0	0	0	0	0	0	0	0	0	0	0	0
AC000362.1	0	0	0	0	0	0	0	0	0	0	0	0
AC000367.1	7.09384	7.09682	3.06602	6.06334	4.17808	6.48748	5.04994	6.9957	5.41204	1.00781	5.21667	11.2391
AC000370.2	0	0	0	0	0	0	0	0	0	0	0	0
AC000374.1	0	0	0	0	0	0	0	0	0	0	0	0
AC000403.1	0	3	1.74067	0	0	1	1	2.16685	6.41968	1	2	7
AC000403.4	29	9	21	31	49	75	74	69	39	60	65	41
AC001226.7	0	2	0	1	0	0	0	0	0	0	0	3
AC002044.1	0	1.00154	1.0003	4.01154	1.00119	2.00151	2.00052	0	1.00335	0	0	0
AC002044.3	1.03373	3.26926	0.542685	0	0	1.14588	3.57381	1.17693	0	0	2.48461	1.24665
AC002044.4	0	1	0	0	0	0	0	0	0	0	0	0
AC002056.3	1.15378	0	0	0	0	0	0	0	2.27429	2.30446	0	0
AC002056.5	0	0	0	0	0	0	0	0	0	0	0	0
AC002059.10	0	1	2	0	0	0	0	1	0	1	0	0
AC002064.4	0	0	0	0	0	0	0	0	0	0	0	0
AC002064.5	0	0	0	0	0	0	0	0	0	0	0	0
AC002064.7	0	0	0	0	0	0	0	0	0	0	0	0
AC002066.1	8	13	14	15.68239	2	4	9	1	4	12	8.968147	6.00937
AC002069.5	0	0	0	0	0	0	0	0	0	0	0	0
AC002069.6	0	0	0	0	0	0	0	0	0	0	0	0
AC002070.1	0	0	0	0	0	0	0	0	0	0	0	0
AC002072.1	0	0	0	0	0	0	0	1	0	0	0	0
AC002075.3	0	0	0	0	0	0	0	0	0	0	0	0
AC002075.4	0	0	0	0	0	0	0	1.04748	1.0413	1.03948	0	0
AC002076.10	0.586363	0	0	0	1	0	0	1	0	0	1	0
AC002115.5	0	0	0	0	0	0	0	0	0	0	0	0
AC002115.9	0	0	0	0	0	0	0	0	0	0	0	0
AC002116.7	2	1.00277	1	0	1.00257	0	2	1.00221	1.00333	1	1	0
AC002116.8	87.6822	55.3207	54.9817	57.135	45.6405	38.4928	52.299	50.6411	69.8766	67.4102	47.9996	49.2116
AC002117.1	0	5.59444	0	0	0	2.8219	2.77158	0	0	0	3.2318	0
AC002127.2	0	0	0	0	0	0	0	0	0	0	0	0
AC002127.4	0	0	0	0	0	0	0	0	0	0	0	1
AC002128.5	0	0	0	0	0	0	0	0	0	0	0	0
AC002306.1	3.03849	3.01456	2.00145	1.00913	1.02767	5.14081	2.00067	1.05914	1.00447	5	1.00942	2.09779
AC002310.10	0	0	0	0	0	0	0	0	1.01216	0	0	0
AC002310.11	0	5.58264	5.35506	2.9751	2.14525e-06	7.37402	3.1975	9.68793	0	3.09609	3.6877	8.86377
AC002310.12	6.82723	9.15168	12.3397	3.71192	5.47047	12.1187	8.80077	6.62526	9.66316	9.15954	15.2193	6.36348
AC002310.13	0	0.287917	0	0	0	0	0	2.14302	0	0.0515837	0	0.644067
AC002310.14	7	12	6	8	13	8	7	11	9	7	4	15
AC002310.17	0	0	0	0	1.00247	0	0	1.00227	0	1.00298	0	0
AC002310.7	0	0	0	1.41255	0	0	0	0	0	0	0	0
AC002314.4	0	0	0	0	0	0	0	0	0	0	0	0
AC002331.1	0	0	0	0	0	0	0	0	0	0	0	0
AC002366.1	0	1	0	0	0	0	0	0	0	0	0	0
AC002366.3	0	0	0	0	0	0	0	0	0	0	0	0
AC002368.4	0	0	0	0	0	0	0	0	0	2	0	0
AC002383.2	0	0	0	0	0	0	0	0	0	0	0	0
AC002386.1	0	0	0	0	0	0	0	0	0	0	0	0
AC002389.1	0	0	0	0	0	0	0	0	0	0	0	0
AC002395.1	0	2.87395	7.50011	5.88089	0	3.08565	3.63999	1.0409	6.3469	7.33394	3.138	1.60914
AC002398.11	24.5838	22.7872	17.33	22.3985	10.4655	12.156	12.0099	8.55096	9.90098	15.7544	11.8644	8.8546
AC002398.12	18.9007	21.0439	41.4744	11.3478	11.9317	4.38304	8.26132	13.5438	24.2714	0	7.20445	14.1985
AC002398.13	31.5681	25.0273	34.7745	30.2327	20	23.911	20	36.3066	19.447	23	23.6215	19.4241
AC002398.9	62.8791	94.6168	57.4236	58.119	67.6419	60.9716	0.676506	42.8726	39.6367	20.7275	81.5005	48.2772
AC002400.1	1	1	0	2	0	0	0	0	0	3	1	0
AC002401.1	1.0103	0	0	0	0	0	0	0	0	0	0	0
AC002429.1	0	0	0	0	0	0	0	0	0	0	0	0
AC002429.4	0	0	0	0	0	0	0	0	0	0	0	0
AC002429.5	3.0897	3.00862	7.64588	0	3.01641	2.01026	2.0002	0	1.27161	1.16991	2.19182	2
AC002451.3	1	2	0	0	5	0	1	1	1	0	2	0
AC002454.1	23	24	17	23	4	6	1	6	8	2	5	2
AC002456.2	2	1	2	2	1	2	3	2	1	5	4	4
AC002463.3	2	1	1	1	1	0	3	2	1	1	0	1
AC002464.1	0	0	0	0	0	0	0	0	0	0	0	0
AC002465.2	0	0	0	0	0	0	0	0	0	0	0	0
AC002467.7	36	42	33	32	31	22	27	17	37	33	19	39
AC002472.11	1.03635	2.25182	2.71239	2.0345	0	3.00042	1.00014	1	0	2.00073	4.00041	2.17499
AC002480.2	0	0	0	0	0	0	0	0	0	0	0	0
AC002480.3	14.4969	16.7636	8	19	0	0	0	0	0	3	0	0
AC002480.4	1	0	0	0	0	0	0	0	0	0	1	0
AC002480.5	1.50308	2.23638	0	0	0	2	0	1	3	0	0	0
AC002486.2	0	0	0	0	0	0	0	0	0	0	0	0
AC002486.3	0	0	0	0	0	0	0	0	0	0	0	0
AC002511.2	1	0	0	1	0	0	2	0	1	0	0	0
AC002511.3	0	0	0	0	0	0	0	0	0	0	0	0
AC002519.6	0	0	0	0	0	0	0	0	0	0	0	1.00084
AC002519.8	5.01383	3.00446	4.00449	3.33486	1.00503	4.01426	3.02074	1.00046	2.02229	3.00219	1.02001	2.01774
AC002523.1	0	0	0	0	0	0	0	0	0	0	0	0
AC002530.1	0	0	0.13817	0	0.0994665	0	0.0859742	0	0	0	0	0
AC002539.1	0	0	0	0	0	0	0	0	0	0	0	0
AC002539.2	0	0	0	0	0	0	0	0	0	0	0	0
AC002542.2	0	0	0	0	0	0	0	0	0	0	0	0
AC002543.2	2	1	2	0	0	1	0	1	0	0	1	0
AC002550.5	0	0	0	0	0	0	2.66242	0	0	2.95999	0	0
AC002550.6	6	6	5	5	2	2	5	2	1	5	2	1
AC002551.1	2.74383	4.90749	1	3.90531	0	2	2.00034	0	3.80165	3	4	3.06554
AC002553.4	0	0	0	0	0	0	0	0	0	0	1	0
AC002558.1	0	0	0	0	0	0	0	0	0	0	0	0
AC002978.1	0	0	0	0	0	0	0	0	0	0	0	0
AC002979.1	0	1.15088	0.882748	2.16656	1.44334	0	0.645927	0	5.08633	0	0.761958	1.17142
AC002981.1	0	0	0	0	0	0	0	0	0	0	0	0
AC002984.2	0	0	0	0	0	0	0	1	0	0	0	1
AC002985.3	4.79149	5.27084	1.89272	0	6.99345	13.309	3.30098	0	1.81713	0	3.40095	0
AC003001.1	0	0	0	0	0	0	0	0	0	0	0	0
AC003002.4	0	0	0	0	0	0	0	0	0	0	0	0
AC003002.6	0	0	0	0	0	1.36187	0	0	0	0	0	0
AC003003.5	8.34638	8.22284	6.34607	6.14215	4.08961	6.11632	13.3615	11.3297	3.06134	15.0682	9.62581	10.1664
AC003005.2	1	4	3	1	2	4	3	1	0	1	1	0
AC003005.4	0	0	0	0	0	0	0	0	0	0	0	0
AC003006.1	0	0	0	0	0	0	0	0	0	0	0	0
AC003006.7	0	2.16209	0	0	0	0	0	0	0	0	0	0
AC003009.1	0	0	0	0	0	0	0	0	0	0	0	0
AC003045.1	0	0	0	0	0	0	0	0	0	0	0	0
AC003075.4	19.45608	3.17344	7.02101	8.28591	9.07791	8.35128	13.28278	12.58416	6.39826	7.22826	12.64009	6.16123
AC003080.4	0	0	0	0	0	0	0	0	0	0	0	0
AC003084.2	0	0	0	0	0	0	0	0	0	0	0	0
AC003088.1	0	0	2	2	0	1	3	0	0	0	0	1
AC003090.1	0	0	0	0	0	0	1	0	0	0	0	0
AC003092.1	18.00005	21.00005	12	17.99996	22.99996	18.99996	13.00001	9	3	7	2	1
AC003092.2	0	1	0	0	1	1	0	0	0	0	2	0
AC003101.1	3	0	1	0	0	0	1	1	0	0	0	0
AC003104.1	0	0	3	0	0	2	0	1	1	0	0	2
AC003658.1	0	0	0	0	0	0	0	0	0	0	0	0
AC003664.1	1.72158	2.11681	1.68361	0	2.05361	2	3.06093	4.03693	8.14016	1.5302	2.66996	1.05496
AC003666.1	0	0	0	0	0	0	0	0	0	0	0	0
AC003681.1	0	0	0	0	0	0	0	0	0	0	0	0
AC003682.16	2	1	2	1	0	1	0	0	3	2	1	0
AC003682.17	0	0	0	0	0	0	0	0	0	0	0	0
AC003688.1	0.35486	0	0	4	0.720922	1	0	0	0	1.36771	0.743673	1.88082
