7496_IG1_20201218	7496_IG3_20201218	7496_ZFX2_ZFY1_20201218	7496_ZFX3_ZFY2_20201218	7497_IG1_20201218	7497_IG3_20201218	7497_ZFX2_ZFY1_20201218	7497_ZFX3_ZFY2_20201218	7506_IG1_20201218	7506_IG3_20201218	7506_ZFX2_ZFY1_20201218	7506_ZFX3_ZFY2_20201218
ABHD2	6486.21	7853.06181	6421.68301	8193.0147	5278.7248	7429.171	7546.8163	8557.6401	7307.1396	5081.3	4745.9591	5358.829
ABHD3	111	100	113	193.0001	151.99964	300.0001	291.0005	336.0002	180	129.0001	99	117.99985
ABHD4	1406	2089.99	1893.98	1453.99	1626	2132	2165.99	2568.00251	2322.99815	1414	1674	1789
ABHD5	1861	2255	2049	2310	1734	2281	2682	3100	3447	2400	2332	2539
ABHD6	477	622	474	581	246.0004	385	383.9998	467	850	499	614	553
ABHD8	200	236.065	172.206	152.592	182.864	238.654	252.071	249.489	278.638	165.527	167.244	194.824
ABI1	4756.996156	6197.8834	5761.90100149345	5424.9991605	3544.9924	5032.006	4977.73018010161	5841.446	6766.8009	4511.004	4643.5095	4916.9959
ABI2	3141.4872	4320.9056	4038.9786	3420.411161806	2561.5685	3188.5836	3492.92875	3669.23630013768	3627.0324	2290.3901	2679.728	3071.7565
ABI3	0	2	0	6	9	10	5.000004	6	0	0	0	0
ABI3BP	8373.005	12912.999	9048.994	7931.994	10822.997	13442.004	2787.0012	2947.001	5917.994	3411.993	6172.002	6875.996
ABL1	8082	10358	9032	8771	4341.004	5966	4181	4633	9052	5499	6173	6676
ABL2	9180.6502	12400.0465	9803.939	11953.6565	6320.1332	8741.6129	7361.99611	8716.61852	13141.2532	9478.56642137	7029.0663	8142.47759
ABLIM1	1557.40669	2287.39030262874	1949.737	1972.7536467	36.025721992	63.0409937	58.03532	57.03905	1550.3126758	1139.07670469484	1214.81481	1256.83585
ABLIM2	1	1	0	1	5	2	0	1	5.0000045	4	4.000002	1
ABLIM3	3269.99442	4070.9974	3045.00013	3492.99887	2488.0005	3692.0028	3351.00142	3831.9988	2075.0007	1487.0047	1443.99898316426	1548.0003
ABO	0	0	0	0	0	0	0	0	0	0	0	0
ABR	6250.8708	7352.3733	5243.2358	5753.6809	4847.86085	6379.06841	4563.4911	5257.9805	6018.2845	3595.6002	3766.6884	4231.71214
ABRA	1.00013	2.20032	3.00049	1.00304	0	0	1.00214	0	0	0	0	0
ABRACL	876	1269	1068	1189	710.00037	917.00042	1176	1331	1783	1258	1202	1251
ABT1	839	1078	865	965	599	915	893	1144	1375	955	922	952
ABT1P1	0	0	1	2	0	0	1	0	0	0	0	0
ABTB1	502.9997	574	434	407.9997	310.9998	365.9996	397	430.9997	622.9997	310.99963	319.9996	356
ABTB2	825	1186	1196	852	426	510	524	549	889	571	637	646
AC000003.1	0	0	0	0	0	0	0	0	0	0	0	0
AC000029.1	0	0	0	0	0	0	0	0	0	0	0	0
AC000032.2	5.31766	2.63621	4.05878	2.50448	0	2.6884	1.30682	0	6.71396	0	0	1.57176
AC000035.3	0	0	0	0	0	0	0	0	0	0	0	0
AC000036.4	0	6	4.38462	0	0	6	0	0	3	2	3	0
AC000041.10	0	0	0	0	0	0	0	0	0	0	0	1
AC000041.8	29.3545	57.9492	52.5948	46.9825	34.4752	94.4433	27.6477	67.7663	61.9094	45.1456	34.9975	73.4055
AC000067.1	0	0	0	0	0	0	0	0	0	0	0	0
AC000068.10	4.01469	0	0	0	0	0	0	0	0	0	0	0
AC000068.5	4.09527	13.1779	12.0236	3.12804	7.17124	15.3129	3.04213	13.0278	0	6.01605	11.0143	10.121
AC000068.9	8	12.589	9.13248	2.73792	10.5824	17.2215	0	1.53833	5.18937	2.60046	5.49161	3.17851
AC000077.2	0	0	0	0	0	0	0	0	0	0	0	0
AC000078.5	9	5	3	2	6	2	3	2	9	0	1	0
AC000081.2	3	0	0	0	0	0	0	0	0	0	0	0
AC000089.3	0	6.4832	4.0117	0	0	1.27649	1.17942	1.02602	3.75615	6.71406	4.33354	4.11135
AC000095.11	0	0	0	2	1	0	0	0	0	0	0	0
AC000095.9	0	0	0	0	0	0	0	0	0.492231	0	0	0
AC000099.1	1	3	1	0	2	0	6	2	1	0	0	0
AC000111.3	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.4	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.5	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.6	0	1	0	0	0	0	0	0	0	0	0	0
AC000120.7	7.88755	11.364	3.57696	0	0	1.25571	4.43489	0	0	0	4.44045	2.49296
AC000123.2	186	319	224	216	156	122	174	202	219	110	136	175
AC000123.3	7	13	7	5	1	6	7.52807	7	4.14054	11.5482	10	4.57542
AC000123.4	14	16	7	7	5	10	7.47193	8	27.8595	10.4518	15	12.4246
AC000124.1	0	0	0	0	0	0	1	0	0	0	0	0
AC000354.1	0	0	0	0	0	0	0	0	0	0	0	0
AC000362.1	0	0	0	0	0	0	0	0	0	0	0	0
AC000367.1	8.22934	24.3273	9.51751	26.8401	6.03426	22.3417	8.21211	12.6725	13.7651	7.38123	8.24414	4.20045
AC000370.2	0	0	0	0	0	0	0	0	0	0	0	0
AC000374.1	0	0	0	0	0	0	0	0	0	0	0	0
AC000403.1	0	4.32294	2	0	0	4	4	4.19024	14.558	6	5	8.83286
AC000403.4	77	136	127	112	36	51	64	92	138	104	108	116
AC001226.7	0	8	0	2	0	3	0	1	0	1	0	4
AC002044.1	2.04022	4.00494	7.15038	2.00386	2.05281	3.00545	1.00408	0	1.00079	0	0	0
AC002044.3	2.25154	1.38307	1.09039	5.28883	0	0	2.06278	1.0073	1.16511	1.00147	0	0
AC002044.4	0	0	0	0	0	0	0	0	0	0	2	0
AC002056.3	3.47224	0	1.1806	0	0	0	0	1.17639	0	0	0	0
AC002056.5	0	0	0	0	0	0	0	0	0	0	0	0
AC002059.10	0	0	0	0	0	0	0	0	0	0	0	0
AC002064.4	3	0	1	0	0	0	0	0	0	0	0	0
AC002064.5	7	0	1	0	0	0	0	1	0	1	0	0
AC002064.7	0	0	0	0	0	0	0	0	0	0	0	0
AC002066.1	31.45775	31	25.7293	16.13536	55.03192	43	56.80409	73.78383	16.29778	9	5	5.84756
AC002069.5	0	0	0	0	0	0	0	0	0	0	0	0
AC002069.6	0	0	0	0	0	0	0	0	0	0	0	0
AC002070.1	0	0	0	0	0	0	0	0	0	0	0	0
AC002072.1	0	0	0	0	1	1	0	0	0	0	0	0
AC002075.3	0	0	0	0	0	0	0	0	0	0	0	0
AC002075.4	2.15143	3.63286	2.7987	1.05445	1.06151	0	0	0	2.32843	5.2785	4.59003	0
AC002076.10	0	0	0	0	0	3	1	5.89371	0	2	5	1
AC002115.5	0	0	0	0	0	0	0	0	0	0	0	0
AC002115.9	0	0	0	0	0	0	0	0	0	0	0	1
AC002116.7	3.00866	2.00276	0	7.0139	3.02085	5.00546	2.0027	0	4	3.00601	2.00287	3.01166
AC002116.8	42.999	106.173	84.4156	59.8495	43.8609	71.3134	50.6609	37.498	119.405	79.201	79.6935	65.9298
AC002117.1	0	0	0	0	0	0	0	0	0	0	0	3.95925
AC002127.2	0	0	0	0	0	0	0	0	0	0	0	0
AC002127.4	0	0	0	0	1	0	0	0	0	0	0	0
AC002128.5	0	0	0	0	0	0	0	0	0	0	0	0
AC002306.1	4	4.16222	14.1	5.41842	1	4	1.03824	3.01947	1.06178	4.14021	3.06578	2.00863
AC002310.10	0	0	1.01084	0	0	1.00925	0	0	1.01251	0	0	2.03873
AC002310.11	0	20.6804	23.1338	0	0	5.7623	7.41925	8.90682	5.84223e-06	25.377	25.43	0
AC002310.12	12.1139	17.4224	8.59473	11.0762	17.1363	17.3424	3.85663	22.3822	18.634	7.89135	18.968	20.4924
AC002310.13	0	0	0	0	0	0	0	5.51008	0	0	0	0
AC002310.14	26	32	20	7	11	11	6	10	14	20	12	9
AC002310.17	0	2.01115	0	1.00476	0	0	1.00688	0	1.0074	1.00708	0	2.01169
AC002310.7	0	8.6269	2.84597	0	0	0	0	0	0	0	1.6397	1.31665
AC002314.4	0	0	0	0	0	0	0	0	0	0	0	0
AC002331.1	0	0	0	0	0	0	0	0	0	0	0	0
AC002366.1	0	0	0	0	0	0	0	0	0	0	0	0
AC002366.3	0	2	0	0	0	0	0	0	0	0	0	0
AC002368.4	2	0	0	0	0	0	0	0	0	0	0	0
AC002383.2	0	0	0	0	0	0	0	0	0	0	0	0
AC002386.1	0	0	0	0	0	0	0	0	0	0	0	0
AC002389.1	0	0	0	0	0	0	0	0	0	0	0	0
AC002395.1	0	2.63479	2.08023	3.594	3.01077	1.90307	6.684	3.602	0	0	0	9.33086
AC002398.11	7.72322	13.0181	14.109	8.50551	13.2972	14.0692	0	1.13472	2.25382	3.37515	0	4.2813
AC002398.12	104.394	117.617	74.2663	99.6069	48.479	107.346	74.0603	38.3265	53.1318	17.3296	43.8832	22.855
AC002398.13	38.4383	49.9527	33.4214	49.3013	37.7482	24.2743	28.2727	21.1176	20.0312	16.2478	7	25.5076
AC002398.9	111.342	143.037	38.9471	64.0218	111.813	130.379	97.7551	121.816	108.8	81.921	107.041	61.5655
AC002400.1	0	0	0	0	0	0	0	0	1	0	0	0
AC002401.1	2.0723	0	0	0	0	0	0	0	0	0	0	0
AC002429.1	0	0	0	0	0	0	0	0	0	0	0	0
AC002429.4	0	0	0	0	0	0	0	0	0	0	0	0
AC002429.5	3.11564	3.22385	8.01081	3.5282	0	3.08778	5.01479	1.00007	2	2	0	5.45983
AC002451.3	1	1	2	0	1	0	0	0	0	1	0	0
AC002454.1	8	14	16	8	6	19	7	7	8	3	2	13
AC002456.2	4	5	11	0	9	5	4	12	24.00004	8	14.99995	17.00001
AC002463.3	1.00506	4.00415	1	1	0	0	0	0	8.01147	1.00498	1	0
AC002464.1	0	0	0	0	0	0	0	0	0	0	0	0
AC002465.2	0	0	0	0	0	0	0	0	0	0	0	0
AC002467.7	58	50	50	58	27	65	53	79	85	53	60	57
AC002472.11	3.00013	5.00544	0	0	0	6.00028	0	5.03151	1.02374	0	0	2
AC002480.2	0	2	0	0	0	0	0	0	0	0	0	0
AC002480.3	4	2.60592	0	2.0972	49	65.3277	40	66.3986	0	0	2	0
AC002480.4	1	0	2	0	6	1	8	4	0	0	0	0
AC002480.5	1	5.39408	5	4.9028	0	2.67226	0	3.60137	1	1	0	0
AC002486.2	1	0	0	0	0	0	0	0	0	0	0	0
AC002486.3	0	0	0	0	0	0	0	0	0	0	0	0
AC002511.2	2	0	0	0	1	0	0	0	1	0	0	0
AC002511.3	0	0	0	0	0	0	0	0	0	0	0	0
AC002519.6	1.00737	1.00917	0	0	0	0	0	0	0	0	0	0
AC002519.8	15.0134	4.012	5.01696	8.06398	5.03402	3.04404	2.0089	1.12435	1.00297	0	0	3.02038
AC002523.1	0	0	0	0	0	0	0	0	0	0	0	0
AC002530.1	0.110203	0.151032	0.237028	0	0	0	0.0917718	0	0	0	0	0
AC002539.1	0	0	0	0	0	0	0	0	0	0	0	0
AC002539.2	0	0	0	0	0	0	0	0	0	0	0	0
AC002542.2	0	0	0	0	0	0	0	0	0	0	0	2
AC002543.2	1	1	0	0	0	0	1	2	0	0	0	0
AC002550.5	0	5.5829	0	0	0	0	0	0	9.12596	4.54762	0	4.24954
AC002550.6	3	5	7	2	5	5	1	4	1	7	0	5
AC002551.1	2.63588	6.49664	5.90802	9.97828	2.00025	1	0	0	2	0	6	2
AC002553.4	0	0	0	0	0	0	0	0	0	0	0	0
AC002558.1	0	0	0	0	0	0	0	0	0	0	0	0
AC002978.1	0	0	0	0	0	0	0	0	0	0	0	0
AC002979.1	1.5636	0	2.02582	0	0.630434	0	0.308707	6.20204	5.4768	0	0	0
AC002981.1	0	0	0	0	0	0	0	0	0	0	0	0
AC002984.2	1	1	1	0	1	0	0	0	0	0	0	0
AC002985.3	0	2.07596	5.4988	1.81415	5.88087	5.6063	9.98544	10.0424	4.79622	4.29591	2.28466	0
AC003001.1	0	0	0	0	0	0	0	0	0	0	0	0
AC003002.4	0	0	0	0	0	0	0	0	0	5.329	0	0
AC003002.6	0	0	0	0	0	1.63241	0	0	0	0	0	0
AC003003.5	13.675	12.1607	17.1851	15.7477	14.053	21.6204	17.0742	13.0799	23.1672	6.2576	10.0541	7.0163
AC003005.2	3	2.25217	6	1.00892	3	4	7	6	4	1.37304	3	5
AC003005.4	0	0	0	0	0	0	0	0	1.53062	0	0	0
AC003006.1	0	0	0	0	0	0	0	0	0	0	0	0
AC003006.7	0	0	0	0	7.62466	0	0	2.46774	0	0	0	0
AC003009.1	0	0	0	0	0	0	0	0	0	0	0	0
AC003045.1	0	0	0	0	0	0	0	0	0	0	0	0
AC003075.4	8.27424	14.45248	20.01052	16.2402	7.13457	17.2767	8.58234	27.54572	31.6203	10.6879	17.04796	8.29608
AC003080.4	0	0	0	0	0	0	0	0	0	1	1.00002	1
AC003084.2	0	0	0	0	0	0	0	0	0	0	0	0
AC003088.1	5	10	9	3	2	8	8	7	11	7	3	4
AC003090.1	0	0	0	0	0	0	0	0	0	0	0	2
AC003092.1	89	84	50	77	46	74	30.00003	54	113	60	42	58
AC003092.2	0	0	0	0	0	0	0	0	1	6	0	0
