7485_IG1_20200906	7485_IG3_20200906	7485_ZX2_20200906	7485_ZX3_20200906	7481_IG1_20200906	7481_IG3_20200906	7481_ZX2_20200906	7481_ZX3_20200906	7486_IG1_20200906	7486_IG3_20200906	7486_ZX2_20200906	7486_ZX3_20200906
AADAT	8.463701	8.84625	5.94313	5.92705	4.3665	4.779937	2.690754	2.75928	4.455979	4.60153	3.547799	3.395544
AAED1	11.9188	11.8045	11.9499	11.9074	14.1863	15.9064	14.9285	14.1205	12.2612	12.4497	12.3223	11.8409
AAGAB	31.04065	33.7536	29.50719	33.0812	35.90745	34.8949	32.20571	28.75246	31.10649	35.43112	32.29409	34.79493
AAK1	32.359322	32.778726	29.034669	29.100986	27.050864	29.189828	26.120853	25.234793	25.838039	24.900441	25.258715	26.866972
AAMDC	40.013762	39.719554	33.98899	38.075664	42.841465	34.941927	33.369598	34.218659	50.411543	46.923686	48.013122	49.664282
AAMP	57.03562	51.53212	46.005312	45.64679	50.32677	48.4451	41.392511	40.179902	51.55464	48.7383	42.66422	42.46609
AANAT	0.0535307	0.0548554	0	0	0	0	0	0	0	0	0	0.07278247
AAR2	25.383981	25.2138	24.161616	24.417162	23.98848	22.934503	19.137364	20.41849	25.274295	22.682691	22.42415	21.800023
AARD	0.38753	0.152525	0.655823	0.191931	0.317437	0.308891	0.134552	0.106651	0.343288	0.565415	0.465048	0.74879
AARS	72.0042	70.9583	63.2255	62.0249	58.6017	60.4654	56.3375	58.5847	56.3218	57.3459	51.2475	55.0964
AARS2	5.43821	5.0419	6.11274	5.46172	4.69657	4.30497	3.94166	3.89555	4.67694	4.66695	4.85651	5.13584
AARSD1	29.9843	29.2596	39.0319	37.7148	28.2837	27.4827	31.8522	31.0327	27.9254	30.6606	35.9312	38.5699
AARSP1	0	0	0	0	0	0	0	0	0	0	0	0
AASDH	4.4089	4.421955	4.678735	4.49878	5.92412700091259	6.17709	5.949163	4.594167	5.401470169085	6.280425	6.2617	6.42522
AASDHPPT	27.2523	26.9469	20.655	19.5552	22.8459	25.3895	16.3317	15.8162	23.9181	31.2446	24.8557	21.3239
AASS	5.51776	6.457	5.32942	5.92015	7.55384	7.96771	6.21901	6.45429	5.85104	4.94826	4.04847	4.37913
AATBC	0.0728796	0.0659003	0.0965562	0.0305047	0.0672452	0.0686736	0.0642208	0.0640141	0.0736933	0.0356963	0.0877772	0.0713051
AATF	47.9758	48.967	41.495	41.0663	43.6556	43.1004	32.5765	31.263	43.4198	43.5158	34.9172	35.1475
AATK	0.0422815	0.0259299	0.0202488	0.00984414	0.0108502	0.00902237	0.0167416	0.00969606	0.0473674	0.021826	0.0120691	0.0693176
AATK-AS1	0	0	0	0	0	0	0	0	0	0	0	0
AB015752.3	0	0.321358	0	0.459329	0	0.135481	0	0.149252	0.371748	0.177524	0.188268	0
AB019438.66	0	0	0	0	0	0	0	0	0	0	0	0
AB019440.50	0	0	0	0	0	0	0	0	0	0	0	0
AB019441.29	0.360958	0.124179	0.146529	0.685975	0.297064	0.124721	0.459801	0.132046	0.165072	0.627134	0.519157	0.652379
ABALON	1.94044	2.42559	2.82135	2.45345	1.41353	1.29391	1.04869	0.660694	2.08948	1.21817	1.58476	1.53863
ABAT	5.326311	4.2714524	4.827568	4.7933500207969	3.70833	3.9635576	4.6120073	4.20764	1.94218	2.01809	2.78699	3.04666
ABC11-4932300O16.1	0	0	0	0	0	0	0	0	0	0	0	0
ABC12-47043100G14.2	0	0	0	0	0	0	0	0	0	0	0	0
ABC12-47964100C23.1	0	0	0	0	0	0	0	0	0.068245	0	0	0.0653892
ABC12-49244600F4.4	0	0	0.419896	0	0.0405605	0.220146	0	0	0	0	0	0
ABC7-42391500H16.4	0	0.184211	0	2.38094	0.00278282	0	0	0	0	0	0	2.05373e-06
ABC7-42404400C24.1	6.79466	6.96569	4.57713	4.32797	5.515881	5.10526	5.324536	4.80579	4.930269	3.945743	2.902412	2.75549
ABC7-42418200C9.1	0.192445	0.122742	0.185984	0.0727048	0	0.134872	0.039636	0.0235602	0.174179	1.75449e-07	1.12347e-07	0.0808106
ABC7-481722F1.1	0	0	0	0	0	0	0	0	0	0	0	0
ABC7-481722F1.2	0	0.6413	0	0	0	0	0	0.333676	0.169859	0.812778	0	0.0919569
ABCA1	4.53872	6.1180629	3.16914	3.205139	2.9395	3.0148232	2.94509	3.456986	0.906659	1.58737	1.91676	1.99914
ABCA10	0	0.0793469	0.0718786	0.0226905	0	0.0103743	0	0	0.0280052	0.0379097	0	0
ABCA11P	4.1467956	4.14341	3.625065	3.067653	4.1065897	3.27738	1.881258	2.28646	4.386899	4.576381	3.525511	2.850854
ABCA12	0.0161276	0.0124383	0.0150566	0.0186416	0.0102992	0.0260625	0.031792	0	0.022713	0.039482	0.0114126	0.0217608
ABCA13	0.0650771	0.0866989	0.0693363	0.0559133	0.0993498	0.122249	0.175385	0.139301	0.0628577	0.0652054	0.0506012	0.0325753
ABCA17P	0.0642528	0	0.0392538	0.0186039	0	0	0.0158841	0.0368704	0.022608	0	0.0455534	0.130248
ABCA2	13.8259848391385	11.120504761	9.25762010121787	8.87302607391295	12.64524308159	11.8820900037465	8.94223	9.191690199494	14.8364500898683	13.70654648956	11.8131500001215	12.4694545016886
ABCA3	1.403546	1.814513	2.401896	2.004569	0.4025157204	0.612582	0.976115	0.562231	4.240289	3.491038	4.032377	4.84762000736217
ABCA4	0.455533	0.290993	0.1918134	0.4384902	0.2004993	0.0966183	0.116011	0.1495376	0.2752866	0.218109	0.240876	0.230246
ABCA5	1.19412	1.2142747	0.947785	1.02207	0.826916	0.9909287	0.559481	0.574144	0.742989	1.0304342	0.98348	0.767683
ABCA6	0.0347907	0.0907241	0.0848273	0.0401381	0.0554537	0.2444349	0.1115231	0.106471	0.032703	0.178967	0.0327761	0.1333826
ABCA7	0.434342	0.4150836274	0.5847136	0.392578	0.203322000612711	0.200851	0.340521	0.430862	0.329552	0.259093	0.422883000686324	0.50685700281465
ABCA8	0.0376252	0.0380495	0.1150485	0.0652323	0.05842	0.0595299	0.0924733	0.0430163	0.2393128	0.363011	0.6968836	0.8304788
ABCA9	0.2504463	0.3288622	0.2453399	0.3074991	0.33009	0.2645552	0.2982303	0.1869837	0.1719676	0.1586297	0.2298842	0.3030076
ABCA9-AS1	0	0	0	0	0	0	0	0	0	0	0	0
ABCB1	0.141925	0.102618	0.0309742	0.114204	0.0161843	0.0267916	0.0125085	0	0.0355897	0.0487876	0	0.0512736
ABCB10	12.6357	12.1848	8.45138	7.53196	11.7801	11.9433	6.94028	6.73448	11.7777	13.6706	8.58458	9.07909
ABCB10P1	0	0	0	0	0.0443708	0.117698	0.134492	0.26421	0.10786	0.253091	0.193219	0.0577174
ABCB10P3	0.12221	0	0.00222736	0	0	0.164427	0	0.402192	0	0	0.207409	0.534883
ABCB10P4	9.28165e-08	0	0.0274478	0.0281004	0.635801	0.231399	0.411393	0	0.43175	0.595595	0.387155	0
ABCB11	0	0	0	0	0	0	0	0	0	0	0	0
ABCB4	0.51181	0.2989444203201	0.223065	0.28089	0.096798	0.144528	0.0424969	0.0693451	0.085194	0.03894	0.021454	0.0205242
ABCB5	0.2396029	0.1964892	0.2618599	0.1069834	0.346624	0.130464	0	0.468152	0.2103552	0.0722326	0.1994882	0.1172616
ABCB6	4.33973	3.32974	3.7519	4.12642	5.50882	5.95942	6.46356	6.38473	6.36454	6.50782	6.15952	6.92999
ABCB7	9.56736	9.14004	9.810701	9.451971	12.013632	11.891094	11.19353	11.29782	10.230022	10.71649	12.196795	10.722622
ABCB8	14.129602	12.328523	13.538765	12.936816	14.021924	14.66053356	12.975118	12.33553	16.3758	14.05103	13.172178	13.328344
ABCB9	1.18270790394521	1.57859743932	1.02259	0.9967897753	0.931271166028	1.327152	1.12292200547836	1.07232180029763	1.2790911515	1.251579	1.634867	1.14818236
ABCC1	21.91238	20.133823	20.724524	19.1349000002337	21.756900107048	21.5853000021223	18.388308	17.2756	16.424671	15.684117	14.5122000016554	14.530855
ABCC10	10.51611	9.22281	8.933049	9.20041	8.5047	8.24407	7.75567	8.096798	9.93856	8.527044	9.24066	8.70373
ABCC11	0.0435383	0.0551747	0.0801294	0.0631874	0.139155	0.0459683	0.07515	0.0374528	0.0306579	0.0280068	0.0617475	0.0589693
ABCC12	0.00959782	0	0	0.0111247	0	0	0	0.0110066	0	0	0	0.0129608
ABCC13	0	0	0	0	0	0	0	0	0	0	0	0
ABCC2	0.238957	0.181536	0.256427	0.184687	0.408119	0.358117	0.314335	0.194532	0.322884	0.191876	0.211676	0.28281
ABCC3	3.41697	4.10704	5.59546	4.58674	6.814562	7.118968	11.150393	10.287121	5.26132	5.04244	6.641954	7.30767
ABCC4	14.762793	13.834422	16.052905	15.488216	12.971174	13.648977	13.9807171	14.221626	9.437631	10.854012	13.073724	12.764423
ABCC5	11.276596	12.2674128392	12.413104	12.242674	10.0658324077	9.482113	10.245547	8.76059631	9.975121	10.978583	10.619849	11.1959494
ABCC5-AS1	0.198707	0	0	0	0	0	0	0	0	0	0	0
ABCC6	0.178208	0.424569	0.1254951582	0.0836723	0.154292	0.0970234	0.117719	0.0406378	0.158159829446	0.100983	0.538292	0.108851
ABCC6P1	0.203748	0	0	0	0	0	0	0.0890096	0	0	0	0
ABCC6P2	0.137455	0.417223	0.234833	0.78092	0.123074	0	0	0	0.309393	0	0	0.535493
ABCC8	0	0	0	0	0	0	0	0	0	0	0	0
ABCC9	2.6777298	2.168323	2.3128485	2.3807601	17.483697	16.649953	14.329517	13.549368	7.545527	7.574745	7.761716	6.7227342
ABCD1	11.644802	11.019619	8.756711	7.49959	12.013517	11.118256	8.98658	7.668401	15.031958	14.398096	10.94153	11.333115
ABCD1P2	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P3	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P4	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P5	0	0	0	0	0	0	0	0	0	0	0	0
ABCD2	0	0.0109359	0.0264408	0	0	0	0	0	0	0	0	0.043667
ABCD3	47.02014	45.0405	39.47003	39.69921	45.6486	48.50093	37.6759	36.24904	41.6314	42.86617	40.8065	41.10315
ABCD4	6.85556	7.27112	7.596192	7.176251	5.717987	5.47815	6.380299	6.08692	8.14763	6.640636	8.171827	7.446037
ABCE1	70.8131	70.3626	75.9457	72.1746	53.1808	61.2941	50.256	50.2972	47.4748	61.3177	60.1006	61.3484
ABCF1	42.91847	44.7912	43.71352	47.03525	45.98624	44.44163	40.759473	38.64784	42.73416	40.07434168	41.58762	43.34955
ABCF2	61.4564	55.1819	60.9452	58.511	55.0919	58.4446	52.3223	48.5648	54.9596	54.5853	54.7181	61.2749
ABCF2P1	0	0	0	0	0	0	0	0	0	0	0	0
ABCF2P2	0	0	0	0	0	0	0	0	0	0	0	0
ABCF3	32.3131	31.03101	29.1916	32.053000997261	30.5607	28.348017	26.492069	25.4523000002618	33.544347329	32.043380483	31.98181741	31.73100881
ABCG1	0.0169724	0.0172501	0	0	0	0.0358936	0.0334104	0.0387401	0.0714277	0	0.0481926	0.0229833
ABCG2	0.121781	0.164386	0.346736	0.249843	0	0.0451421	0.026659	0.0490441	0.0604578	0.0714952	0.267905	0.0384935
ABCG4	0.0801216	0.104727	0.0665046	0.04368368	0.144676	0.0953877	0.0566886	0.105448	0.202775	0.1212932	0.0651913	0.0311693
ABCG5	0	0	0	0	0	0	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0	0	0	0	0	0	0
ABHD1	0.0509193	0.155496	0	0	0	0.157587	0.0739734	0.0428251	0.0523571	0	0.2322419	0.102428
ABHD10	23.209695	26.64589	28.25442	25.26126	25.12936	24.97942	22.54738	18.22746	21.11614	26.66841	24.17419	24.71154
ABHD11	8.25524121	6.72142	6.616888	5.40322	6.164461	6.688824	4.331812482648	4.535239	7.299766	6.45176	4.37442	6.423196
ABHD11-AS1	3.68217	3.28542	2.21484	2.95333	1.526	2.34387	2.49186	1.62244	1.70577	1.45709	2.1016	2.8924
ABHD12	54.62973	52.20736	52.96843	50.30734	71.7535	69.6182	62.3384	61.6329	49.19639	45.43792	42.80398	38.07048
ABHD12B	0.122303	0.0943829	0.0726709	0.140326	0.31855	0.210002	0.239462	0.27784	0	0.0621714	0.122606	0.0658751
ABHD13	7.23611	6.88058	6.70054	6.45726	6.13472	6.53087	6.11356	5.77988	6.52705	7.54056	7.55443	6.6663
ABHD14A	8.21889	9.10594	10.782871	9.800273	12.461528	11.1618	12.828721	11.959865	10.7062	10.257431	10.097846	11.774055
ABHD14A-ACY1	0.20342	0	0.441512	0	0	0	0	0.784919	0	0.275104	0	0
ABHD14B	27.994286	27.138145	31.1044767	31.732782	32.9275078	31.0840457	35.993065	37.144424	24.712268	24.308491	33.6854771	30.7212760576832
ABHD15	8.7225	8.72627	8.76039	7.51725	9.35879	8.6933	7.71828	6.72875	10.8438	9.61658	9.98302	10.5296
ABHD15-AS1	0	0	0	0	0	0	0	0	0	0	0	0
ABHD16A	21.5548	18.778635	24.18623	22.414116	16.34433	16.730307	18.85773	17.89051	25.405339	22.88171	24.017696	21.76806
ABHD16B	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17A	39.48913	34.46678	36.66634198	35.639440308244	34.63797	31.3896	30.1889	25.414284	41.867913	41.60039	38.76732	34.7231151
ABHD17AP1	0.0855766	0.182675	0	0	0.125973	0.0942499	0	0	0	0.115361	0	0
ABHD17AP3	0.0544386	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP4	0	0.0788526	0	0	0	0	0	0	0	0	0	0
ABHD17AP5	0.0700452	0.0785657	0	0	0	0	0	0	0	0	0	0
ABHD17AP6	0	0	0	0	0.145137	0.122966	0.168523	0	0	0	0.0820804	0
ABHD17AP7	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP8	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP9	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17B	13.51969	14.47429	10.98349	11.27587	11.24464	9.97797	10.06663	9.53411	11.54316	14.8593	12.18406	11.34506
ABHD17C	4.92799	5.154818	3.903143	4.114952	9.58715	13.27933	8.95981	9.55369	9.72171	10.96017	8.83506	9.40527
ABHD18	4.22279	5.17698	6.337247	5.39848	4.60882	4.36803	5.03248	4.12149	3.579049	3.795869	5.4011	5.85571
ABHD2	30.704925	28.38716	27.86407	27.89194	29.523791	27.395429	23.731776	22.952119	16.60763	17.34685	17.01645	18.8237
ABHD3	4.212119	4.165544	5.05849	4.929839	3.53959	3.535938	3.183539	2.890234	2.447691	2.445862	3.904842	3.609389
ABHD4	14.6194	15.8647	13.8484	13.0098	14.7727	14.16	13.3746	13.4259	12.968	11.771371	9.90743	10.2752
ABHD5	47.849	49.9501	64.1094	55.3	42.9923	42.413	39.9737	33.7589	39.7994	35.4985	37.2539	37.5444
ABHD6	5.8166	6.00531	6.76514	6.294	6.78971	5.88503	6.49719	6.65569	6.65401	7.62466379382	9.22863	8.82874
ABHD8	3.23057	3.83869	1.94652	1.72774	2.81014	2.32523	1.39473	2.02756	3.38987	2.28042	1.66165	2.08705
ABI1	96.955441	101.116131	94.435877	92.4522646484	78.964273	82.216722	71.711359	69.4608671262527	75.06242	75.639333	72.05979031912	74.037533
ABI2	16.90443	15.6771519	16.188374	14.4860320008781	20.604814003786	20.596401	15.67825	16.189837	20.603925	22.313946	22.530851	19.8981140152892
ABI3	1.65161	1.701622	2.111843	2.28019	0.0836352	0.0576808	0.107644	0	0.0383015	0.0351456	0	0.0297114
ABI3BP	41.66572	35.09258	41.14014	40.56046	134.59306	126.87887	92.42012	98.83381	127.57573	122.78975	112.61276	112.96721
ABL1	56.9544	55.4505	57.6008	53.3172	41.7855	38.867	36.3927	34.2627	40.5805	43.0723	39.0484	44.9386
ABL2	59.651502	60.126500216199	64.461794	54.492068	29.341932990392	29.537529	27.1524207002459	23.944327	30.613064	30.77776	27.62964019906	31.790097
ABLIM1	18.155753	17.61922	18.24582	15.730849	4.652865	4.38119	3.708431	4.046609	9.969007	10.142079	9.499501	9.963513
ABLIM2	0.060001	0.1376861	0.07388671	0.0612554	0.0531394	0.0317509	0	0.0343955	0.126923	0.1167517	0	0.0819672
ABLIM3	26.73305259	23.953437	26.063873	24.993672	19.06364	16.607392	16.276759	15.679864	15.278548	16.149565464707	15.1997330004736	15.801949
ABO	0	0	0	0	0	0	0	0	0	0	0	0
ABR	58.956244	50.361959	43.127548	43.5247937	40.112307	35.848897	27.042173	27.808668	48.247683	42.131983	38.217234	39.57041
ABRA	0.0222433	0.0224634	0.0581964	0.0514003	0	0.0234552	0	0	0	0.0573539	0.0313957	0.089993
ABRACL	48.1054	49.489507	56.0151	50.6739	44.6091	43.560674	47.2549	43.1125	51.482672	55.2056	51.879	53.2054
ABT1	9.6182	10.3954	10.1921	9.3869	8.95307	7.94206	7.9775	7.31352	10.1946	9.35058	8.81598	8.19886
ABT1P1	0	0.071583	0.0861283	0	0.0893189	0	0	0	0	0	0	0
ABTB1	7.717654	7.046452	6.997352	5.267908	8.01821	7.104422	7.221888	5.330555	5.232828	5.183473	5.06042	4.649583
ABTB2	4.81922	4.25902	3.8613	4.05393	4.90354	4.4621	4.92697	4.63464	3.24048	3.31948	3.46938	3.20025
AC000003.1	0	0	0	0	0	0	0	0	0	0	0	0
AC000029.1	0	0	0	0	0	0	0	0	0	0	0	0
AC000032.2	0.198355	0	0	0	0	0.186903	0	0	0.190591	0.544661	0	0
AC000035.3	0	0	0	0	0	0	0	0	0	0	0	0
AC000036.4	0	0.0287571	0.139058	0.0988207	0.0362563	0	0.140328	0.032517	0.0413668	0	0	0.0384304
AC000041.10	0	0	0	0	0	1.67076	0	0	0	0	0	0
AC000041.8	5.90698	19.293	6.78991	11.6567	15.7012	21.2624	20.6897	24.3785	0	10.9544	0	0
AC000067.1	0	0	0	0	0	0	0	0	0	0	0	0
AC000068.10	0	0.18858	0	0	0	0	0	0.198921	0	0	0	0
AC000068.5	0.182971	0.133985	0.0320369	0.061349	0.0340356	0.0841751	0.0522702	0.149593	0.0367072	0.0340055	0.155655	0.212818
AC000068.9	2.62599	3.19064	2.58159	1.85675	2.54262	2.49706	1.29141	1.69194	4.57292	1.50815	2.18723	2.03548
AC000077.2	0	0	0	0	0	0	0	0	0	0	0	0
AC000078.5	0.839265	1.33448	0.561583	0.427517	0.116312	0.5746	0.627913	0.103716	0	0.483792	0	0
AC000081.2	0	0	0	0	0	0	0	0	0	0	0	0
AC000089.3	0.076984	0.0784063	0	0.0888406	0	0.173444	0	0	0	0.249886	0.325402	0.104366
AC000095.11	0	0	0	0	0	0	0	0	0	0.374696	0	0
AC000095.9	0	0	0	0	0	0	0	0	0.0862815	0	0	0
AC000099.1	0.0367873	0	0.0447339	0	0.0466995	0	0	0	0	0.0944725	0	0
AC000111.3	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.4	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.5	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.6	0	0	0	0	0	0	0	0	0	0.36321	0	0
AC000120.7	0.0984768	0.24282	0.318908	0.36518	0.135675	0.0471712	0.189607	0.241301	0.410163	0	0.133104	0.219155
AC000123.2	2.07498	1.5951	1.85374	1.53746	1.68601	1.85756	1.67016	1.56985	1.4732	1.96181	2.11171	1.90936
AC000123.3	1.34366	4.17082	2.9473	2.02934	1.39034	1.35516	3.02743	1.23861	3.12124	3.33633	4.38298	2.42059
AC000123.4	3.45511	1.9918	1.22023	2.07096	0.757134	3.70451	1.56916	3.15204	2.5457	3.55664	3.95595	2.71474
AC000124.1	0	0	0	0	0	0	0	0	0	0	0	0
AC000354.1	0	0	0	0	0	0	0	0	0	0	0	0
AC000362.1	0	0	0	0	0	0	0	0	0	0	0	0
AC000367.1	0.282209	0.283718	0.14775	0.276868	0.211118	0.269763	0.197325	0.316798	0.301154	0.0512973	0.292111	0.598658
AC000370.2	0	0	0	0	0	0	0	0	0	0	0	0
AC000374.1	0	0	0	0	0	0	0	0	0	0	0	0
AC000403.1	0	10.1864	7.74017	0	0	3.93493	3.60813	8.15445	29.8165	3.85963	10.1624	32.6835
AC000403.4	0.486104	0.152209	0.429087	0.599144	1.05041	1.32556	1.22098	1.32303	0.920843	1.28886	1.53829	0.925285
AC001226.7	0	0.332451	0	0.186453	0	0	0	0	0	0	0	0.654971
AC002044.1	0	0.0675525	0.0803661	0.305625	0.0837553	0.137017	0.129053	0	0.0917911	0	0	0
AC002044.3	0.174431	0.557876	0.109214	0	0	0.196713	0.578783	0.220519	0	0	0.584291	0.2821
AC002044.4	0	1.68913	0	0	0	0	0	0	0	0	0	0
AC002056.3	0.115171	0	0	0	0	0	0	0	0.315675	0.298719	0	0
AC002056.5	0	0	0	0	0	0	0	0	0	0	0	0
AC002059.10	0	0.155708	0.36545	0	0	0	0	0.173085	0	0.198421	0	0
AC002064.4	0	0	0	0	0	0	0	0	0	0	0	0
AC002064.5	0	0	0	0	0	0	0	0	0	0	0	0
AC002064.7	0	0	0	0	0	0	0	0	0	0	0	0
AC002066.1	1.023061	1.54481	2.1423	2.230515	0.277071	0.540714	1.054694	0.124939	0.623859	1.777205	1.4661	1.022898
AC002069.5	0	0	0	0	0	0	0	0	0	0	0	0
AC002069.6	0	0	0	0	0	0	0	0	0	0	0	0
AC002070.1	0	0	0	0	0	0	0	0	0	0	0	0
AC002072.1	0	0	0	0	0	0	0	3.47296	0	0	0	0
AC002075.3	0	0	0	0	0	0	0	0	0	0	0	0
AC002075.4	0	0	0	0	0	0	0	0.671797	0.882818	0.827484	0	0
AC002076.10	0.100134	0	0	0	0.209878	0	0	0.188944	0	0	0.241021	0
AC002115.5	0	0	0	0	0	0	0	0	0	0	0	0
AC002115.9	0	0	0	0	0	0	0	0	0	0	0	0
AC002116.7	0.195075	0.10129	0.117468	0	0.122604	0	0.18871	0.109198	0.135792	0.127656	0.137248	0
AC002116.8	3.85739	2.4807	2.95637	2.90321	2.56539	1.78384	2.26614	2.55196	4.30001	3.83539	3.00337	2.95098
AC002117.1	0	1.15104	0	0	0	0.576125	0.548778	0	0	0	0.92219	0
AC002127.2	0	0	0	0	0	0	0	0	0	0	0	0
AC002127.4	0	0	0	0	0	0	0	0	0	0	0	0.120974
AC002128.5	0	0	0	0	0	0	0	0	0	0	0	0
AC002306.1	0.199529	0.201325	0.159181	0.0761302	0.0852893	0.351857	0.127825	0.0785673	0.0915992	0.425562	0.0934346	0.186186
AC002310.10	0	0	0	0	0	0	0	0	0.133457	0	0	0
AC002310.11	0	0.185029	0.21259	0.111573	8.86689e-08	0.253219	0.102218	0.358732	0	0.129896	0.170172	0.391619
AC002310.12	0.283579	0.386003	0.620465	0.177237	0.284947	0.523726	0.355245	0.310623	0.558061	0.49098	0.892213	0.357161
AC002310.13	0	0.0706496	0	0	0	0	0	0.551324	0	0.0160345	0	0.208623
AC002310.14	0.258912	0.453361	0.270798	0.340964	0.61108	0.309932	0.253152	0.463057	0.467925	0.335137	0.210978	0.754009
AC002310.17	0	0	0	0	0.684486	0	0	0.608181	0	0.754338	0	0
AC002310.7	0	0	0	0.0576421	0	0	0	0	0	0	0	0
AC002314.4	0	0	0	0	0	0	0	0	0	0	0	0
AC002331.1	0	0	0	0	0	0	0	0	0	0	0	0
AC002366.1	0	1.23541	0	0	0	0	0	0	0	0	0	0
AC002366.3	0	0	0	0	0	0	0	0	0	0	0	0
AC002368.4	0	0	0	0	0	0	0	0	0	0.562948	0	0
AC002383.2	0	0	0	0	0	0	0	0	0	0	0	0
AC002386.1	0	0	0	0	0	0	0	0	0	0	0	0
AC002389.1	0	0	0	0	0	0	0	0	0	0	0	0
AC002395.1	0	8.42769	27.3787	21.6938	0	9.97143	10.9931	3.3781	25.8563	24.0317	12.4371	6.39033
AC002398.11	0.695513	0.654009	0.599762	0.733493	0.378782	0.362342	0.33491	0.278019	0.392789	0.571277	0.476186	0.340406
AC002398.12	1.67606	1.8925	4.40449	1.14297	1.31465	0.389754	0.706802	1.33693	2.98998	0	0.897202	1.70311
AC002398.13	6.98075	5.68108	10.4038	8.60329	6.21212	6.11241	4.8436	10.1751	6.7762	6.64775	8.31419	5.78684
AC002398.9	3.34651	5.12434	3.69954	3.55099	4.53787	3.35022	0.0350543	2.57369	2.93508	1.42995	6.14696	3.47613
AC002400.1	0.105911	0.107271	0	0.241853	0	0	0	0	0	0.411045	0.1499	0
AC002401.1	0.156407	0	0	0	0	0	0	0	0	0	0	0
AC002429.1	0	0	0	0	0	0	0	0	0	0	0	0
AC002429.4	0	0	0	0	0	0	0	0	0	0	0	0
AC002429.5	0.0698294	0.068679	0.210941	0	0.0871222	0.0478317	0.0444801	0	0.040452	0.0339429	0.0701646	0.0610872
AC002451.3	0.0854667	0.173825	0	0	0.539939	0	0.083374	0.0966791	0.119591	0	0.241376	0
AC002454.1	3.96702	4.17754	3.53672	4.52938	0.865294	1.0683	0.167363	1.14691	1.89978	0.4465	1.20827	0.46551
