Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id.84	gene_type.84	chr	start	stop	loc.84	gene_name.107	gene_type.107	chr.107	start.107	stop.107	loc.107	gene_id.107
ABCC9	3755.85148408686	0.329813018048153	0.197973597288953	1.66594446211317	0.0957244767284247	0.54979572966541	ENSG00000069431	protein_coding	chr12	21797401	21941402	chr12:21797401	ABCC9	protein_coding	chr12	21797389	21942543	chr12:21797389	ENSG00000069431
ABCD3	4065.66602349405	0.106618770723541	0.0532039392568555	2.00396384577487	0.0450739334270752	0.424879636728794	ENSG00000117528	protein_coding	chr1	94418455	94518666	chr1:94418455	ABCD3	protein_coding	chr1	94418389	94518666	chr1:94418389	ENSG00000117528
ABCD4	894.40225610835	-0.0456875484857713	0.0716207063000009	-0.63790977283019	0.523532415689612	0.886463115912557	ENSG00000119688	protein_coding	chr14	74285423	74303056	chr14:74285423	ABCD4	protein_coding	chr14	74285269	74303055	chr14:74285269	ENSG00000119688
ABCE1	9540.90826418142	0.00690178709356447	0.0735902334441544	0.0937867264519829	0.925278575963041	0.985944748470272	ENSG00000164163	protein_coding	chr4	145097932	145129179	chr4:145097932	ABCE1	protein_coding	chr4	145098288	145129524	chr4:145098288	ENSG00000164163
ABCF1	4718.43799201277	-0.0587776748842645	0.0485471545712206	-1.2107336754008	0.225997491686443	0.723213819456712	ENSG00000204574	protein_coding	chr6	30571376	30597179	chr6:30571376	ABCF1	protein_coding	chr6	30571393	30597179	chr6:30571393	ENSG00000204574
ABCF2	5934.67435899867	-0.000546768914463686	0.0615659931018204	-0.00888102159839144	0.992914063130254	0.998987061801474	ENSG00000033050	protein_coding	chr7	151207837	151227230	chr7:151207837	ABCF2	protein_coding	chr7	151211484	151227205	chr7:151211484	ENSG00000033050
ABCF3	2315.81159070994	0.0401676224000806	0.0311280297387365	1.290400412015	0.196911669151315	0.697660019505476	ENSG00000161204	protein_coding	chr3	184186023	184194012	chr3:184186023	ABCF3	protein_coding	chr3	184186095	184194012	chr3:184186095	ENSG00000161204
ABHD10	1726.09114686518	0.0614729752682244	0.070734948122655	0.869060865947477	0.384813840153315	0.831746943102227	ENSG00000144827	protein_coding	chr3	111979010	111993363	chr3:111979010	ABHD10	protein_coding	chr3	111979010	111993368	chr3:111979010	ENSG00000144827
ABHD11	359.033164449368	0.212623834186418	0.115587349213609	1.83950783224108	0.0658405269756927	0.484069974641826	ENSG00000106077	protein_coding	chr7	73736094	73738867	chr7:73736094	ABHD11	protein_coding	chr7	73736094	73738852	chr7:73736094	ENSG00000106077
ABHD12	2658.63666452854	0.116661221657977	0.0943068923348589	1.23703812912999	0.216072927468972	0.712562255588623	ENSG00000100997	protein_coding	chr20	25294743	25390983	chr20:25294743	ABHD12	protein_coding	chr20	25294742	25390835	chr20:25294742	ENSG00000100997
ABHD13	1296.29938815431	-0.0377892422863034	0.0397543102297244	-0.95056968836673	0.341822861971497	0.808288988969029	ENSG00000139826	protein_coding	chr13	108218379	108234255	chr13:108218379	ABHD13	protein_coding	chr13	108218392	108234243	chr13:108218392	ENSG00000139826
ABHD14A	414.92450335287	-0.0842323407558234	0.0851887420513906	-0.988773149215065	0.322774144175061	0.797444119084276	ENSG00000248487	protein_coding	chr3	51971426	51981199	chr3:51971426	ABHD14A	protein_coding	chr3	51971426	51981196	chr3:51971426	ENSG00000248487
ABHD14B	2408.45174387723	0.104959846635261	0.066110857002733	1.58763403461737	0.112369117424122	0.578691819642115	ENSG00000114779	protein_coding	chr3	51968510	51983409	chr3:51968510	ABHD14B	protein_coding	chr3	51968510	51983409	chr3:51968510	ENSG00000114779
ABHD15	703.823669961424	0.162672909167582	0.0501699822700457	3.24243505393278	0.00118512956406509	0.057909541281734	ENSG00000168792	protein_coding	chr17	29560547	29567137	chr17:29560547	ABHD15	protein_coding	chr17	29560547	29567037	chr17:29560547	ENSG00000168792
ABHD16A	1304.1250417678	-0.0376705195509909	0.0438290837391592	-0.859486814170703	0.390071991682444	0.834613633647309	ENSG00000204427	protein_coding	chr6	31686949	31703444	chr6:31686949	ABHD16A	protein_coding	chr6	31686955	31703356	chr6:31686955	ENSG00000204427
ABHD17A	2440.70751782664	-0.352060191607495	0.163584457208603	-2.15216162718043	0.0313846267362972	0.36029061746168	ENSG00000129968	protein_coding	chr19	1876810	1885547	chr19:1876810	ABHD17A	protein_coding	chr19	1876810	1885496	chr19:1876810	ENSG00000129968
ABHD17B	806.68060725121	-0.0573744545363713	0.0566052229041943	-1.01358941088314	0.310778712535929	0.790679541999162	ENSG00000107362	protein_coding	chr9	71862452	71910931	chr9:71862452	ABHD17B	protein_coding	chr9	71862452	71911193	chr9:71862452	ENSG00000107362
ABHD17C	1202.5716021727	0.0953109678710812	0.0903036042988646	1.05545031797008	0.291219420236345	0.775297057251646	ENSG00000136379	protein_coding	chr15	80679684	80755621	chr15:80679684	ABHD17C	protein_coding	chr15	80679684	80755621	chr15:80679684	ENSG00000136379
ABHD18	383.249956475126	-0.0549746817004039	0.0574637682873185	-0.956684243635586	0.338726653312825	0.806027201035428	ENSG00000164074	protein_coding	chr4	127965306	128039711	chr4:127965306	ABHD18	protein_coding	chr4	127965306	128039953	chr4:127965306	ENSG00000164074
ABHD2	6405.56444789951	0.288942887521803	0.0938115511732779	3.08003528252188	0.00206976074394199	0.080591418502024	ENSG00000140526	protein_coding	chr15	89087459	89202360	chr15:89087459	ABHD2	protein_coding	chr15	89087459	89202355	chr15:89087459	ENSG00000140526
ABHD3	205.517281729248	-0.0674855633167627	0.12077150917913	-0.55878711606284	0.576307016433045	0.902618674476612	ENSG00000158201	protein_coding	chr18	21650897	21704805	chr18:21650897	ABHD3	protein_coding	chr18	21650901	21704780	chr18:21650901	ENSG00000158201
ABHD4	2652.12814142265	-0.0973000433676656	0.147055231692392	-0.661656455522754	0.508191417441415	0.881747408577878	ENSG00000100439	protein_coding	chr14	22598237	22613215	chr14:22598237	ABHD4	protein_coding	chr14	22598290	22612963	chr14:22598290	ENSG00000100439
ABHD5	1627.4729271751	0.201793385304625	0.0961956524059148	2.09773914161028	0.0359281951923668	0.382137478503872	ENSG00000011198	protein_coding	chr3	43690113	43734371	chr3:43690113	ABHD5	protein_coding	chr3	43690108	43734371	chr3:43690108	ENSG00000011198
ABHD6	419.48692151923	-0.105533708030791	0.0467731993629612	-2.25628585318371	0.0240527347861756	0.320751575063985	ENSG00000163686	protein_coding	chr3	58237506	58295693	chr3:58237506	ABHD6	protein_coding	chr3	58237532	58295693	chr3:58237532	ENSG00000163686
ABHD8	402.595850198764	-0.0780452600656214	0.109031857191707	-0.715802354245852	0.474113398536992	0.869870931862821	ENSG00000127220	protein_coding	chr19	17292131	17310236	chr19:17292131	ABHD8	protein_coding	chr19	17292131	17310236	chr19:17292131	ENSG00000127220
ABI1	4924.43963181044	0.0348473452679139	0.0345761252063956	1.00784414274009	0.313529290504259	0.791817376924762	ENSG00000136754	protein_coding	chr10	26746593	26861087	chr10:26746593	ABI1	protein_coding	chr10	26746593	26861087	chr10:26746593	ENSG00000136754
ABI2	3917.79120581033	-0.000745087898191662	0.0395483012592613	-0.0188399469627581	0.984968786402845	0.997212094435732	ENSG00000138443	protein_coding	chr2	203328219	203447723	chr2:203328219	ABI2	protein_coding	chr2	203328280	203447728	chr2:203328280	ENSG00000138443
ABI3BP	4686.93283070539	-0.18646998143021	0.226228831886875	-0.824253831286424	0.409795345753465	0.844567841384683	ENSG00000154175	protein_coding	chr3	100749156	100993515	chr3:100749156	ABI3BP	protein_coding	chr3	100749156	100993515	chr3:100749156	ENSG00000154175
ABL1	11037.3144810123	-0.0384841792320104	0.0648938283844788	-0.59303296153221	0.553159093368157	0.893698061949232	ENSG00000097007	protein_coding	chr9	130713946	130887675	chr9:130713946	ABL1	protein_coding	chr9	130713016	130887675	chr9:130713016	ENSG00000097007
ABL2	4833.31463126691	0.0219165533974166	0.0917559240899716	0.238857094130797	0.811216396547747	0.966257253207995	ENSG00000143322	protein_coding	chr1	179099327	179229684	chr1:179099327	ABL2	protein_coding	chr1	179099330	179229684	chr1:179099330	ENSG00000143322
ABLIM1	432.202333032055	0.468522807014993	0.22611967226255	2.07201258664035	0.0382642674033148	0.396165308017744	ENSG00000099204	protein_coding	chr10	114431113	114685003	chr10:114431113	ABLIM1	protein_coding	chr10	114431112	114768061	chr10:114431112	ENSG00000099204
ABLIM3	2312.28222150876	0.0638304277648069	0.108383574760367	0.588930821906681	0.555907680722579	0.893931945112825	ENSG00000173210	protein_coding	chr5	149141483	149260542	chr5:149141483	ABLIM3	protein_coding	chr5	149141483	149260542	chr5:149141483	ENSG00000173210
ABR	5442.89359211853	0.154187479625888	0.0467923388000591	3.2951436833436	0.000983713679345582	0.0500051306790564	ENSG00000159842	protein_coding	chr17	1003518	1229021	chr17:1003518	ABR	protein_coding	chr17	1003519	1229738	chr17:1003519	ENSG00000159842
ABRACL	949.653498878272	0.014318732149473	0.1091734066476	0.131155861021102	0.895652012060147	0.983411654689652	ENSG00000146386	protein_coding	chr6	139028682	139043302	chr6:139028682	ABRACL	protein_coding	chr6	139028745	139043302	chr6:139028745	ENSG00000146386
ABT1	1196.08890145667	-0.0251559827477082	0.0469200644693179	-0.536145528192066	0.59185797668041	0.907627499067837	ENSG00000146109	protein_coding	chr6	26596952	26600744	chr6:26596952	ABT1	protein_coding	chr6	26596953	26600739	chr6:26596953	ENSG00000146109
ABTB1	655.632509522249	0.177545937179547	0.0949912970945906	1.86907582704919	0.0616122655774068	0.47450936036644	ENSG00000114626	protein_coding	chr3	127672935	127680920	chr3:127672935	ABTB1	protein_coding	chr3	127672935	127680926	chr3:127672935	ENSG00000114626
ABTB2	1016.21476097933	0.0399697380695135	0.0904845978497289	0.441729742070498	0.658684784686573	0.92779459126341	ENSG00000166016	protein_coding	chr11	34150988	34358008	chr11:34150988	ABTB2	protein_coding	chr11	34150987	34358010	chr11:34150987	ENSG00000166016
AC002467.7	41.3552809435065	-0.00759818844049127	0.127234082568616	-0.0597181846805365	0.952380088301924	0.991346706700788	ENSG00000241764	antisense	chr7	107742817	107744581	chr7:107742817	CBLL1-AS1	lncRNA	chr7	107739999	107744581	chr7:107739999	ENSG00000241764
AC003956.1	8.05262869899933	0.007847239827006	0.249161859201448	0.031494546766331	0.974875141039361	0.996928160594651	ENSG00000268564	antisense	chr19	15124160	15126174	chr19:15124160	ILVBL-AS1	lncRNA	chr19	15124160	15126174	chr19:15124160	ENSG00000268564
AC004381.6	385.079178941414	0.271138785662005	0.156297721261434	1.73475840513682	0.0827836064870374	0.528946157186371	ENSG00000005189	protein_coding	chr16	20806429	20849668	chr16:20806429	REXO5	protein_coding	chr16	20806429	20849665	chr16:20806429	ENSG00000005189
AC005154.6	231.08895462593	0.0118374492427051	0.0933558824364364	0.126799178945847	0.899099345599491	0.983441745453667	ENSG00000196295	processed_transcript	chr7	30516309	30594809	chr7:30516309	GARS1-DT	lncRNA	chr7	30516309	30595286	chr7:30516309	ENSG00000196295
AC005592.2	24.6235895433329	0.228667178941283	0.196227374729913	1.16531742452357	0.243890528504799	0.740895004284764	ENSG00000231185	antisense	chr5	142325293	142672001	chr5:142325293	SPRY4-AS1	lncRNA	chr5	142325209	142672001	chr5:142325209	ENSG00000231185
AC005624.2	8.36263923136257	-0.0988881273929926	0.199426849302989	-0.495861654228675	0.619992022033466	0.916857272471162	ENSG00000267201	lincRNA	chr19	2458935	2462185	chr19:2458935	LINC01775	lncRNA	chr19	2458935	2462185	chr19:2458935	ENSG00000267201
AC005682.5	145.280956796364	0.0244326708689442	0.140929713543778	0.17336777500335	0.862362353348254	0.977041761355881	ENSG00000228649	processed_transcript	chr7	22854178	22861579	chr7:22854178	SNHG26	lncRNA	chr7	22854126	22872952	chr7:22854126	ENSG00000228649
AC006145.4	86.3062946717865	-0.104191430322112	0.0832270946842565	-1.25189315711896	0.210608798546359	0.708570606397651	ENSG00000223770	antisense	chr7	82009177	82029955	chr7:82009177	CACNA2D1-AS1	lncRNA	chr7	82009177	82029955	chr7:82009177	ENSG00000223770
AC007246.3	113.033957384303	0.0946445535042855	0.132312894125203	0.715308618483751	0.474418364232005	0.869870931862821	ENSG00000231312	antisense	chr2	39436637	39665343	chr2:39436637	MAP4K3-DT	lncRNA	chr2	39436530	39665343	chr2:39436530	ENSG00000231312
AC007383.3	89.0995728851978	0.1240189483566	0.11226538188358	1.10469448618817	0.269291993402412	0.759823950577661	ENSG00000227946	lincRNA	chr2	206084605	206086564	chr2:206084605	INO80D-AS1	lncRNA	chr2	206084605	206086863	chr2:206084605	ENSG00000227946
AC007879.7	59.00444065896	0.054693893239781	0.107434671480323	0.50908977973464	0.610689295273972	0.913268965422695	ENSG00000229647	lincRNA	chr2	207239650	207245887	chr2:207239650	MYOSLID	lncRNA	chr2	207166120	207248668	chr2:207166120	ENSG00000229647
AC009133.12	180.526128471108	-0.102422369840265	0.0651863683016217	-1.57122374675561	0.116130686034005	0.585494972192004	ENSG00000238045	antisense	chr16	29808636	29821252	chr16:29808636	MVP-DT	lncRNA	chr16	29808636	29821252	chr16:29808636	ENSG00000238045
AC009403.2	69.2616245991835	0.208932637242662	0.0777416289555393	2.68752584747294	0.00719835309029555	0.1711321214034	ENSG00000216895	antisense	chr7	155611231	155645205	chr7:155611231	RBM33-DT	lncRNA	chr7	155611231	155645205	chr7:155611231	ENSG00000216895
AC009506.1	77.7827334569859	-0.046766099948723	0.0949804042693301	-0.492376299179684	0.622453350918918	0.91802943396651	ENSG00000224152	antisense	chr2	159615296	159617082	chr2:159615296	BAZ2B-AS1	lncRNA	chr2	159615292	159618637	chr2:159615292	ENSG00000224152
AC009948.5	443.598985710165	-0.00325591937597522	0.0572954832669454	-0.0568268071115757	0.954683159450729	0.992125245150583	ENSG00000223960	antisense	chr2	178413939	178440243	chr2:178413939	CHROMR	lncRNA	chr2	178413635	178440243	chr2:178413635	ENSG00000223960
AC010127.3	20.5804782842266	-0.146651645536561	0.141306713500001	-1.03782503961894	0.2993515171148	0.782010808765866	ENSG00000236107	antisense	chr2	165957399	166301784	chr2:165957399	SCN1A-AS1	lncRNA	chr2	165957188	166390771	chr2:165957188	ENSG00000236107
AC010136.2	40.4537497443125	-0.0465281374460546	0.104989465108786	-0.443169582756173	0.657643078223314	0.927762018200207	ENSG00000223923	antisense	chr2	217978707	217992615	chr2:217978707	TNS1-AS1	lncRNA	chr2	217978707	217993747	chr2:217978707	ENSG00000223923
AC010226.4	21.4357763504183	-0.0630877095495758	0.122645559875985	-0.514390489255117	0.606979007339515	0.912405394633861	ENSG00000249249	antisense	chr5	115602057	115620659	chr5:115602057	TICAM2-AS1	lncRNA	chr5	115602057	115623897	chr5:115602057	ENSG00000249249
AC012146.7	75.7368748698604	0.176640425706742	0.111930793105409	1.57812180907531	0.114537628812269	0.582882227811103	ENSG00000234327	processed_transcript	chr17	5111468	5115004	chr17:5111468	ZNF232-AS1	lncRNA	chr17	5097223	5115004	chr17:5097223	ENSG00000234327
AC013461.1	12299.8641438213	0.2514157544689	0.0897552163306346	2.80112693999589	0.00509244830429956	0.140781211786085	ENSG00000091436	protein_coding	chr2	173075435	173268010	chr2:173075435	MAP3K20	protein_coding	chr2	173075435	173268015	chr2:173075435	ENSG00000091436
AC016747.3	786.940933718619	-0.129786612101688	0.05727785289369	-2.26591266161071	0.0234567312310992	0.316468706023653	ENSG00000212978	processed_transcript	chr2	61141592	61144969	chr2:61141592	C2orf74-DT	lncRNA	chr2	61141592	61144969	chr2:61141592	ENSG00000212978
AC017074.2	16.8743256659146	-0.117439528667656	0.207543285964909	-0.565855590662238	0.571491952748565	0.900362256463775	ENSG00000227359	lincRNA	chr2	113677702	113704078	chr2:113677702	LINC02936	lncRNA	chr2	113677702	113704078	chr2:113677702	ENSG00000227359
AC019117.2	6.82104013236096	0.203874102741161	0.312149146241302	0.653130419211717	0.51367220298961	0.883669673528863	ENSG00000236039	lincRNA	chr7	17434477	17460672	chr7:17434477	LINC02889	lncRNA	chr7	17405479	17558909	chr7:17405479	ENSG00000236039
AC025171.1	52.9459148620523	-0.0682280094428179	0.178253453039892	-0.382758416621242	0.701898896454013	0.94126208011211	ENSG00000215068	antisense	chr5	43041575	43045390	chr5:43041575	ANXA2R-AS1	lncRNA	chr5	43041572	43064272	chr5:43041572	ENSG00000215068
AC025335.1	117.028897095919	-0.32448885840607	0.0905500942191236	-3.58352866669398	0.000338983541625846	0.0236253687274181	ENSG00000179859	antisense	chr17	7913324	7915953	chr17:7913324	RNF227	protein_coding	chr17	7913339	7916289	chr17:7913339	ENSG00000179859
AC046143.3	72.9471738816497	-0.0551757385909848	0.108128655756815	-0.510278595482376	0.60985629619304	0.913155618618371	ENSG00000229334	antisense	chr3	194632923	194645401	chr3:194632923	TMEM44-AS2	lncRNA	chr3	194632904	194645407	chr3:194632904	ENSG00000229334
AC074117.10	201.411240428403	-0.144211019912043	0.119408683843165	-1.20770965117959	0.227158964394654	0.724597751384118	ENSG00000234072	antisense	chr2	27356246	27367622	chr2:27356246	GTF3C2-AS2	lncRNA	chr2	27356246	27367622	chr2:27356246	ENSG00000234072
AC074212.6	26.7374499543493	-0.243262836532132	0.161407559016612	-1.50713410210915	0.131776287184361	0.613035629026169	ENSG00000267395	antisense	chr19	45767796	45772504	chr19:45767796	DM1-AS	lncRNA	chr19	45767796	45772504	chr19:45767796	ENSG00000267395
AC079630.4	22.9070076772317	0.223113403669309	0.158374933894228	1.40876714631065	0.158904032750611	0.649167987902724	ENSG00000225342	antisense	chr12	40186009	40224915	chr12:40186009	LRRK2-DT	lncRNA	chr12	40186009	40224915	chr12:40186009	ENSG00000225342
AC084219.4	240.010836625805	0.0847802300082895	0.0753296565918801	1.12545621265222	0.260395762268929	0.752801826602854	ENSG00000186019	antisense	chr19	44105463	44113145	chr19:44105463	ZNF225-AS1	lncRNA	chr19	44103007	44113183	chr19:44103007	ENSG00000186019
